@400000005e62014d2a1aa790 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e62014e1876dd3b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6201e026261d34 #d,-,18,4529,2352,1977,155,0,277597,17211,4529,2352,1989,4529,2350,1952,96,100,0,500,4680;
@400000005e6201e226386072 #d,-,18,4529,2351,1988,157,0,277926,17231,4529,2352,1989,4529,2349,1956,96,100,0,500,4676;
@400000005e6201e2264452e8 #d,-,18,4528,2351,1973,158,0,278248,17251,4529,2353,1988,4528,2351,1958,96,100,0,500,4676;
@400000005e6201e42653ccc1 #d,-,18,4528,2352,1966,159,0,278564,17271,4528,2352,1988,4528,2350,1959,96,100,0,500,4678;
@400000005e6201e4265dd28c #d,-,18,4529,2351,1965,160,0,278877,17290,4529,2352,1987,4528,2350,1962,96,100,0,500,4680;
@400000005e6201e6266fc4c3 #d,-,18,4529,2350,1973,162,1,279371,17321,4529,2353,1986,4529,2350,1961,96,100,0,500,4685;
@400000005e6201e6267adc5d #d,-,18,4529,2352,1982,163,1,279495,17328,4529,2352,1983,4529,2350,1965,96,100,0,500,4680;
@400000005e6201e8268cba17 #d,-,18,4529,2351,1971,164,1,279797,17347,4529,2352,1982,4529,2350,1965,96,100,0,500,4678;
@400000005e6201e826976874 #d,-,18,4529,2352,1967,166,1,280092,17365,4529,2352,1984,4529,2350,1960,96,100,0,500,4678;
@400000005e6201ea26a7ebba #d,-,18,4529,2352,1967,167,1,280385,17383,4529,2352,1987,4529,2350,1961,96,100,0,500,4678;
@400000005e6201ea26b21d4b #d,-,18,4529,2351,1972,168,1,280675,17401,4529,2353,1984,4529,2351,1964,96,100,0,500,4683;
@400000005e6201ec26c619fa #d,-,18,4529,2352,1985,169,1,280962,17419,4529,2353,1985,4529,2351,1955,96,100,0,500,4680;
@400000005e6201ec26d19718 #d,-,18,4529,2352,1972,171,1,281246,17437,4529,2353,1987,4529,2351,1960,96,100,0,500,4678;
@400000005e6201ee26e0c2b6 #d,-,18,4528,2352,1967,172,1,281700,17465,4529,2353,1981,4528,2352,1959,96,100,0,500,4676;
@400000005e6201ee26ea4f6e #d,-,18,4529,2352,1963,173,1,281795,17471,4529,2353,1980,4528,2350,1963,96,100,0,500,4676;
@400000005e6201f026fd4759 #d,-,18,4529,2351,1965,174,1,282065,17488,4529,2353,1985,4529,2350,1955,96,100,0,500,4680;
@400000005e6201f02708d44c #d,-,18,4529,2352,1987,176,1,282337,17504,4529,2353,1993,4529,2350,1961,96,100,0,500,4683;
@400000005e6201f2271b275e #d,-,18,4528,2352,1974,177,1,282602,17521,4529,2352,1989,4528,2350,1961,96,100,0,500,4676;
@400000005e6201f22726044c #d,-,18,4527,2350,1970,178,1,282862,17537,4528,2352,1988,4527,2350,1955,96,100,0,500,4673;
@400000005e6201f42735a09a #d,-,18,4529,2350,1970,179,1,283129,17554,4529,2351,1991,4527,2348,1970,96,100,0,500,4685;
@400000005e6201f4273f0ade #d,-,18,4532,2348,1973,181,1,283388,17570,4532,2351,1998,4529,2346,1963,96,100,0,500,4697;
@400000005e6201f62753951d #d,-,18,4533,2350,1989,182,1,283817,17596,4533,2350,1990,4532,2347,1966,96,100,0,500,4690;
@400000005e6201f6275fe0fc #d,-,18,4533,2348,1986,183,1,283904,17602,4533,2350,1997,4533,2347,1967,96,100,0,500,4690;
@400000005e6201f8276f8d1f #d,-,18,4534,2350,1970,184,1,284154,17617,4534,2350,1995,4533,2348,1964,96,100,0,500,4690;
@400000005e6201f8277950ca #d,-,18,4535,2348,1970,186,1,284402,17632,4535,2350,1993,4534,2348,1966,96,100,0,500,4683;
@400000005e6201fa278e15b6 #d,-,18,4537,2349,1969,187,1,284648,17648,4537,2349,1997,4535,2347,1967,96,100,0,500,4692;
@400000005e6201fa279a232f #d,-,18,4537,2348,1983,188,1,284892,17663,4537,2349,1999,4537,2347,1967,96,100,0,500,4694;
@400000005e6201fc27acd098 #d,-,18,4537,2347,1996,189,1,285135,17678,4537,2349,1998,4537,2347,1967,96,100,0,500,4687;
@400000005e6201fc27b832b4 #d,-,18,4538,2349,1981,191,1,285373,17693,4538,2349,1998,4537,2347,1968,96,100,0,500,4690;
@400000005e6201fe27c83bf9 #d,-,18,4538,2347,1970,192,1,285604,17707,4538,2349,1996,4538,2347,1966,96,100,0,500,4687;
@400000005e6201fe27d25641 #d,-,18,4539,2346,1971,193,1,285998,17731,4539,2349,1997,4538,2346,1967,96,100,0,500,4692;
@400000005e62020027e662c6 #d,-,18,4540,2348,1971,195,1,286226,17746,4540,2348,2002,4539,2345,1963,96,100,0,500,4692;
@400000005e62020027f2f56c #d,-,18,4539,2347,1999,196,1,286295,17750,4540,2348,2002,4539,2346,1967,96,100,0,500,4690;
@400000005e6202022802a903 #d,-,18,4539,2348,1988,197,1,286520,17764,4539,2348,2001,4539,2346,1965,96,100,0,500,4687;
@400000005e620202280cb730 #d,-,18,4539,2346,1969,198,1,286741,17777,4539,2348,2005,4539,2346,1962,96,100,0,500,4692;
@400000005e620204281ad0fe #d,-,18,4540,2346,1976,200,1,286961,17791,4540,2348,2005,4539,2346,1962,96,100,0,500,4687;
@400000005e6202042824044f #d,-,18,4542,2348,1957,201,1,287175,17804,4542,2349,2000,4540,2346,1957,96,100,0,500,4699;
@400000005e6202062836c09f #d,-,18,4542,2346,1996,202,1,287393,17818,4542,2348,2007,4542,2346,1956,96,100,0,500,4697;
@400000005e62020628422ed6 #d,-,18,4541,2347,2002,203,1,287609,17831,4542,2348,2007,4541,2346,1959,96,100,0,500,4687;
@400000005e6202082850ec8e #d,-,18,4541,2347,1977,204,1,287974,17854,4541,2347,2006,4541,2344,1960,96,100,0,500,4687;
@400000005e620208285a908f #d,-,18,4540,2345,1966,206,1,288023,17857,4541,2347,2008,4540,2344,1958,96,100,0,500,4687;
@400000005e62020a286c631c #d,-,18,4542,2345,1979,207,1,288229,17870,4542,2346,2011,4540,2344,1956,96,100,0,500,4692;
@400000005e62020a28779a60 #d,-,18,4543,2344,1975,208,1,288431,17882,4543,2346,2010,4542,2344,1959,96,100,0,500,4697;
@400000005e62020c2889a026 #d,-,18,4542,2345,2007,209,1,288637,17895,4543,2345,2011,4542,2343,1964,96,100,0,500,4692;
@400000005e62020c289520fd #d,-,18,4542,2343,1988,211,1,288836,17907,4542,2345,2008,4542,2343,1968,96,100,0,500,4687;
@400000005e62020e28a47b2c #d,-,18,4541,2344,1970,212,1,289031,17919,4542,2344,2000,4541,2343,1969,96,100,0,500,4687;
@400000005e62020e28ade56f #d,-,18,4542,2343,1980,213,1,289227,17932,4542,2345,1999,4541,2343,1970,96,100,0,500,4692;
