@400000005e4cea761367490c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4cea7701b731ea #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4ceb010e21eb43 #d,-,18,4495,2335,1965,133,0,251214,15575,4495,2336,1969,4494,2333,1961,96,100,0,500,4640;
@400000005e4ceb030e315cb9 #d,-,18,4494,2336,1973,134,0,251734,15607,4495,2336,1973,4494,2332,1961,96,100,0,500,4638;
@400000005e4ceb030e3c6ce0 #d,-,18,4496,2329,1968,136,0,252070,15628,4496,2336,1979,4494,2329,1965,96,100,0,500,4652;
@400000005e4ceb050e4bb64b #d,-,18,4499,2337,1971,137,0,252583,15660,4499,2337,1989,4496,2324,1965,96,100,0,500,4654;
@400000005e4ceb050e55dcaf #d,-,18,4500,2336,1974,138,0,253089,15691,4500,2337,1979,4499,2333,1968,96,100,0,500,4652;
@400000005e4ceb070e651733 #d,-,18,4503,2336,1977,139,0,253771,15733,4503,2337,1985,4500,2334,1974,96,100,0,500,4666;
@400000005e4ceb070e6fc94a #d,-,18,4506,2336,1975,141,0,254268,15764,4506,2337,1987,4503,2334,1972,96,100,0,500,4673;
@400000005e4ceb090e7f97e3 #d,-,18,4508,2335,1976,142,0,254580,15784,4508,2337,1980,4506,2335,1972,96,100,0,500,4664;
@400000005e4ceb090e89b22b #d,-,18,4509,2335,1977,143,0,255063,15813,4509,2337,1981,4508,2335,1972,96,100,0,500,4666;
@400000005e4ceb0b0e993642 #d,-,18,4511,2336,1971,144,0,255537,15843,4511,2337,1980,4509,2335,1971,96,100,0,500,4666;
@400000005e4ceb0b0ea31d52 #d,-,18,4512,2336,1983,146,0,256008,15872,4512,2337,1985,4511,2335,1971,96,100,0,500,4668;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
