@400000005e7daf4701799b8e #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7daf472b6403eb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7dafd337a16cb5 #d,-,18,2585,2352,1186,97,0,183033,11348,2585,2352,1195,2585,2351,1184,90,100,0,500,2846;
@400000005e7dafd337aadab2 #d,-,18,2579,2352,1138,98,0,182985,11345,2585,2352,1189,2579,2351,1131,91,100,0,500,2813;
@400000005e7dafd537b7c308 #d,-,18,2443,2353,1138,99,0,182932,11341,2579,2353,1140,2443,2352,1131,89,100,0,500,2715;
@400000005e7dafd537c03b26 #d,-,18,2443,2351,1138,99,0,182879,11338,2443,2353,1141,2443,2351,1132,89,100,0,500,2720;
@400000005e7dafd737cd246a #d,-,18,2444,2350,1140,100,0,182831,11335,2444,2351,1146,2443,2349,1135,89,100,0,500,2723;
@400000005e7dafd737d5ced3 #d,-,18,2444,2351,1141,101,0,182783,11332,2444,2352,1147,2444,2350,1133,89,100,0,500,2723;
@400000005e7dafd937e27508 #d,-,18,2446,2351,1133,101,0,182731,11329,2446,2352,1146,2444,2351,1126,89,100,0,500,2732;
@400000005e7dafd937eb6639 #d,-,18,2444,2353,1133,102,0,182674,11325,2446,2353,1135,2444,2351,1127,90,100,0,500,2706;
@400000005e7dafdb37f7f8df #d,-,18,2443,2353,1132,103,0,182620,11322,2444,2354,1138,2443,2352,1130,90,100,0,500,2711;
@400000005e7dafdb3800848d #d,-,18,2442,2352,1136,103,0,182565,11319,2443,2353,1136,2442,2352,1130,90,100,0,500,2711;
@400000005e7dafdd380cadf6 #d,-,18,2440,2352,1128,104,0,182513,11315,2442,2353,1139,2440,2351,1128,90,100,0,500,2711;
@400000005e7dafdd3815c644 #d,-,18,2440,2353,1137,105,0,182460,11312,2440,2353,1138,2440,2352,1127,89,100,0,500,2713;
@400000005e7dafdf3821eebf #d,-,18,2439,2351,1129,105,0,182409,11309,2440,2354,1138,2439,2351,1127,90,100,0,500,2708;
@400000005e7dafdf382a8a42 #d,-,18,2439,2350,1135,106,0,182358,11306,2439,2352,1136,2439,2350,1129,90,100,0,500,2708;
@400000005e7dafe138376b23 #d,-,18,2438,2351,1134,107,0,182308,11303,2439,2352,1136,2438,2350,1129,90,100,0,500,2708;
@400000005e7dafe138401dee #d,-,18,2438,2352,1132,107,0,182258,11300,2438,2352,1138,2438,2350,1130,89,100,0,500,2711;
@400000005e7dafe3384cb808 #d,-,18,2437,2351,1135,108,0,182211,11297,2438,2353,1139,2437,2351,1129,89,100,0,500,2711;
@400000005e7dafe33855acf3 #d,-,18,2436,2351,1129,109,0,182161,11294,2437,2353,1138,2436,2351,1129,89,100,0,500,2708;
@400000005e7dafe538623be0 #d,-,18,2437,2349,1136,109,0,182115,11291,2437,2352,1139,2436,2348,1126,89,100,0,500,2711;
@400000005e7dafe5386adb1c #d,-,18,2436,2349,1134,110,0,182067,11288,2437,2349,1139,2436,2348,1128,89,100,0,500,2708;
@400000005e7dafe73877145a #d,-,18,2436,2349,1138,111,0,182023,11285,2436,2350,1142,2436,2348,1132,89,100,0,500,2713;
@400000005e7dafe7388037d6 #d,-,18,2437,2351,1133,111,0,181975,11282,2437,2351,1140,2436,2349,1128,89,100,0,500,2708;
@400000005e7dafe9388d571d #d,-,18,2436,2349,1132,112,0,181928,11279,2437,2351,1140,2436,2349,1129,89,100,0,500,2708;
@400000005e7dafe93895e684 #d,-,18,2435,2349,1134,113,0,181880,11276,2436,2350,1138,2435,2348,1128,89,100,0,500,2706;
@400000005e7dafeb38a2c3ac #d,-,18,2434,2349,1133,113,0,181946,11280,2435,2350,1139,2434,2348,1129,89,100,0,500,2708;
@400000005e7dafeb38ab71cf #d,-,18,2434,2351,1132,114,0,181789,11270,2434,2351,1136,2434,2348,1129,89,100,0,500,2706;
@400000005e7dafed38b82c82 #d,-,18,2433,2351,1135,115,0,181854,11274,2434,2352,1135,2433,2351,1127,89,100,0,500,2706;
@400000005e7dafed38c10dde #d,-,18,2432,2352,1131,115,0,181699,11265,2433,2352,1135,2432,2351,1127,89,100,0,500,2704;
@400000005e7dafef38cd90af #d,-,18,2432,2353,1137,116,0,181765,11269,2432,2353,1137,2432,2351,1129,89,100,0,500,2706;
@400000005e7dafef38d623d0 #d,-,18,2432,2353,1131,117,0,181611,11259,2432,2353,1139,2432,2351,1129,89,100,0,500,2708;
@400000005e7daff138e3a89b #d,-,18,2432,2351,1137,117,0,181678,11264,2432,2353,1137,2432,2351,1131,89,100,0,500,2708;
@400000005e7daff138ed5d60 #d,-,18,2432,2351,1131,118,0,181529,11254,2432,2352,1137,2432,2349,1128,89,100,0,500,2711;
@400000005e7daff338fb95ea #d,-,18,2432,2350,1275,119,0,181550,11256,2432,2351,1289,2432,2349,1129,89,100,0,500,2708;
@400000005e7daff33904aa7f #d,-,18,2763,2348,1346,120,0,181718,11266,2763,2350,1380,2432,2346,1245,93,100,0,500,2955;
@400000005e7daff53912a85d #d,-,18,2992,2349,1345,120,0,182014,11284,2992,2349,1354,2763,2348,1339,93,100,0,500,3213;
@400000005e7daff5391c39be #d,-,18,2991,2348,1211,121,0,182049,11287,2992,2349,1348,2991,2348,1211,93,100,0,500,3204;
@400000005e7daff739297408 #d,-,18,2679,2351,1191,122,0,182059,11287,2991,2352,1211,2679,2348,1172,90,100,0,500,2964;
@400000005e7daff73931ffb5 #d,-,18,2563,2352,1170,123,0,182062,11287,2679,2352,1191,2563,2351,1168,90,100,0,500,2825;
@400000005e7daff9393e7b13 #d,-,18,2559,2351,1157,123,0,182056,11287,2563,2353,1171,2559,2351,1157,91,100,0,500,2796;
@400000005e7daff939477b2a #d,-,18,2489,2352,1138,124,0,182020,11285,2559,2352,1157,2489,2351,1131,90,100,0,500,2761;
@400000005e7daffb39543997 #d,-,18,2483,2352,1140,125,0,181985,11283,2489,2352,1141,2483,2351,1134,91,100,0,500,2723;
@400000005e7daffb395cc456 #d,-,18,2479,2353,1138,125,0,181950,11280,2483,2353,1141,2479,2352,1136,91,100,0,500,2723;
@400000005e7daffd396b115d #d,-,18,2475,2354,1145,126,0,181916,11278,2479,2354,1145,2475,2352,1136,90,100,0,500,2723;
@400000005e7daffd3974d508 #d,-,18,2472,2355,1144,127,0,181886,11276,2475,2355,1147,2472,2354,1142,90,100,0,500,2727;
@400000005e7dafff39838e18 #d,-,18,2471,2353,1256,128,0,181932,11279,2472,2355,1301,2471,2353,1142,90,100,0,500,2739;
@400000005e7dafff398caec9 #d,-,18,2870,2352,1351,128,0,182105,11290,2870,2354,1374,2471,2352,1251,93,100,0,500,3062;
@400000005e7db001399a955e #d,-,18,2984,2353,1346,129,0,182281,11301,2984,2354,1352,2870,2352,1342,93,100,0,500,3208;
