@400000005e54d16139cb8850 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e54d162281cd404 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e54d1fe36074855 #d,-,18,3805,2356,1666,140,0,235657,14610,3805,2356,1685,3804,2354,1644,95,100,0,500,3986;
@400000005e54d1fe36114b55 #d,-,18,3805,2355,1677,141,0,235899,14625,3805,2356,1684,3805,2354,1644,95,100,0,500,3981;
@400000005e54d20036222bbd #d,-,18,3805,2355,1684,142,0,236138,14640,3805,2356,1688,3805,2355,1646,95,100,0,500,3976;
@400000005e54d200362c0f13 #d,-,18,3806,2355,1690,143,0,236378,14655,3806,2355,1690,3805,2355,1655,95,100,0,500,3981;
@400000005e54d202363bfc67 #d,-,18,3807,2353,1680,144,0,236610,14669,3807,2355,1690,3806,2353,1653,95,100,0,500,3983;
@400000005e54d202364683a7 #d,-,18,3806,2353,1666,145,0,236838,14683,3807,2354,1687,3806,2352,1647,95,100,0,500,3979;
@400000005e54d2043656cffa #d,-,18,3806,2354,1639,146,0,237058,14697,3806,2354,1690,3806,2352,1615,95,100,0,500,3976;
@400000005e54d2043660a37a #d,-,18,3805,2354,1651,147,0,237434,14720,3806,2355,1701,3805,2354,1639,95,100,0,500,3969;
@400000005e54d2063670a54c #d,-,18,3806,2353,1667,148,0,237515,14725,3806,2354,1685,3805,2351,1651,95,100,0,500,3979;
@400000005e54d206367a68f8 #d,-,18,3807,2352,1680,150,0,237740,14739,3807,2353,1688,3806,2352,1651,95,100,0,500,3983;
@400000005e54d208368a0546 #d,-,18,3808,2354,1677,151,0,237959,14753,3808,2354,1686,3807,2352,1651,95,100,0,500,3986;
@400000005e54d20836941bd4 #d,-,18,3807,2353,1674,152,0,238174,14766,3808,2355,1688,3807,2352,1653,95,100,0,500,3976;
@400000005e54d20a36a3c709 #d,-,18,3807,2354,1668,153,0,238387,14780,3807,2355,1685,3807,2353,1656,95,100,0,500,3981;
@400000005e54d20a36ae5202 #d,-,18,3808,2356,1671,154,0,238597,14793,3808,2356,1686,3807,2354,1655,95,100,0,500,3986;
@400000005e54d20c36beb958 #d,-,18,3809,2354,1672,155,0,238805,14805,3809,2356,1687,3808,2354,1652,95,100,0,500,3983;
@400000005e54d20c36c8ac82 #d,-,18,3809,2354,1682,156,0,239011,14818,3809,2355,1686,3809,2353,1649,95,100,0,500,3981;
@400000005e54d20e36d95d6b #d,-,18,3809,2355,1687,157,0,239213,14831,3809,2356,1687,3809,2354,1649,95,100,0,500,3981;
@400000005e54d20e36e373fa #d,-,18,3809,2353,1686,158,0,239411,14843,3809,2355,1688,3809,2352,1637,95,100,0,500,3983;
@400000005e54d21036f45f8e #d,-,18,3809,2354,1673,159,0,239608,14855,3809,2354,1690,3809,2352,1650,95,100,0,500,3976;
@400000005e54d21036fe7d91 #d,-,18,3808,2355,1657,160,0,239804,14867,3809,2355,1683,3808,2354,1656,95,100,0,500,3981;
@400000005e54d212370ec62a #d,-,18,3810,2355,1656,161,1,239999,14879,3810,2356,1685,3808,2354,1656,95,100,0,500,3983;
@400000005e54d2123718c83c #d,-,18,3809,2355,1659,162,1,240192,14891,3810,2356,1683,3809,2355,1656,95,100,0,500,3981;
@400000005e54d2143728ed71 #d,-,18,3809,2357,1676,163,1,240519,14912,3809,2357,1685,3809,2355,1655,95,100,0,500,3979;
@400000005e54d2143732c4ac #d,-,18,3809,2357,1673,164,1,240569,14915,3809,2357,1686,3809,2356,1652,95,100,0,500,3976;
@400000005e54d2163742ddc6 #d,-,18,3808,2354,1670,165,1,240888,14935,3809,2357,1685,3808,2354,1652,95,100,0,500,3981;
@400000005e54d216374c7e0d #d,-,18,3808,2353,1671,166,1,241070,14946,3808,2355,1685,3808,2353,1649,95,100,0,500,3981;
@400000005e54d218375cc6a7 #d,-,18,3808,2356,1665,168,1,241250,14957,3808,2356,1681,3808,2353,1647,95,100,0,500,3983;
@400000005e54d21837670f80 #d,-,18,3809,2356,1678,169,1,241297,14960,3809,2357,1682,3808,2356,1649,95,100,0,500,3983;
@400000005e54d21a3777a920 #d,-,18,3810,2355,1681,170,1,241474,14971,3810,2356,1694,3809,2354,1643,95,100,0,500,3981;
@400000005e54d21a3781ce96 #d,-,18,3810,2354,1681,171,1,241649,14982,3810,2355,1684,3810,2353,1658,95,100,0,500,3979;
@400000005e54d21c3792cea8 #d,-,18,3810,2355,1680,172,1,241823,14993,3810,2355,1681,3810,2354,1661,95,100,0,500,3983;
@400000005e54d21c379d5d5a #d,-,18,3810,2355,1668,173,1,241994,15003,3810,2356,1682,3810,2354,1660,95,100,0,500,3983;
@400000005e54d21e37adef87 #d,-,18,3810,2353,1656,174,1,242163,15014,3810,2355,1686,3810,2353,1646,95,100,0,500,3986;
@400000005e54d21e37b87b6e #d,-,18,3810,2355,1655,175,1,242332,15024,3810,2356,1690,3810,2353,1655,95,100,0,500,3981;
@400000005e54d22037c8c6d3 #d,-,18,3811,2356,1668,176,1,242501,15035,3811,2356,1684,3810,2355,1655,95,100,0,500,3983;
