@400000005e73256210bf9cd8 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7325623ab25da9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7325e50b2178ed #d,-,18,3496,2349,1451,105,0,210875,13074,3496,2350,1717,3495,2346,1219,96,100,0,501,3605;
@400000005e7325e70b31fb44 #d,-,18,3144,2348,1172,106,0,210908,13076,3496,2351,1451,3144,2347,1139,96,100,0,501,3251;
@400000005e7325e70b3c8283 #d,-,18,2720,2349,1169,106,0,210623,13058,3144,2350,1172,2720,2347,1166,98,100,0,501,2749;
@400000005e7325e90b476060 #d,-,18,2719,2348,1169,107,0,210503,13051,2720,2350,1169,2719,2348,1167,98,100,0,501,2751;
@400000005e7325e90b525496 #d,-,18,2719,2349,1191,108,0,210389,13044,2719,2350,1191,2719,2347,1167,99,100,0,501,2746;
@400000005e7325eb0b5f58dc #d,-,18,2722,2349,1170,109,0,210282,13037,2722,2350,1200,2719,2347,1160,97,100,0,501,2780;
@400000005e7325eb0b69cc8c #d,-,18,2720,2350,1168,109,0,210165,13030,2722,2350,1170,2720,2348,1166,99,100,0,501,2744;
@400000005e7325ed0b7a5eb9 #d,-,18,2720,2349,1166,110,0,210050,13023,2720,2351,1169,2720,2348,1166,98,100,0,501,2748;
@400000005e7325ed0b84af06 #d,-,18,2719,2348,1169,111,0,209938,13016,2720,2350,1170,2719,2346,1165,99,100,0,501,2746;
@400000005e7325ef0b94479a #d,-,18,2718,2347,1177,112,0,209826,13009,2719,2348,1177,2718,2346,1166,98,100,0,501,2746;
@400000005e7325ef0b9f7edf #d,-,18,2722,2348,1167,112,0,209729,13003,2722,2348,1200,2718,2346,1160,98,100,0,501,2776;
@400000005e7325f10bada020 #d,-,18,2720,2346,1168,113,0,209770,13005,2722,2349,1170,2720,2346,1166,99,100,0,501,2744;
@400000005e7325f10bb8178b #d,-,18,2719,2348,1167,114,0,209514,12989,2720,2349,1170,2719,2346,1167,99,100,0,501,2746;
@400000005e7325f30bc70b47 #d,-,18,2718,2347,1168,115,0,209409,12983,2719,2348,1169,2718,2346,1166,98,100,0,501,2746;
@400000005e7325f30bd167af #d,-,18,2718,2348,1169,115,0,209451,12985,2718,2348,1170,2718,2346,1166,98,100,0,501,2746;
@400000005e7325f50be11eff #d,-,18,2721,2346,1165,116,0,209217,12971,2721,2348,1200,2718,2345,1160,98,100,0,501,2773;
@400000005e7325f50bec3788 #d,-,18,2720,2347,1168,117,0,209117,12965,2721,2348,1171,2720,2345,1165,98,100,0,501,2749;
@400000005e7325f70bf779f9 #d,-,18,2719,2345,1169,118,0,209017,12959,2720,2347,1169,2719,2345,1168,99,100,0,501,2746;
@400000005e7325f70c01edaa #d,-,18,2718,2347,1168,118,0,209060,12961,2719,2347,1170,2718,2344,1167,98,100,0,501,2748;
@400000005e7325f90c141e47 #d,-,18,2718,2347,1168,119,0,208821,12946,2718,2348,1169,2718,2345,1167,98,100,0,501,2746;
@400000005e7325f90c1f5945 #d,-,18,2908,2346,1537,120,0,209029,12959,2908,2348,1544,2718,2344,1168,100,100,0,501,2908;
@400000005e7325fb0c2905a8 #d,-,18,3453,2345,1583,121,0,209257,12973,3453,2348,1591,2908,2345,1318,98,100,0,501,3504;
@400000005e7325fb0c2f2424 #d,-,18,3450,2343,1668,122,0,209608,12995,3453,2349,1693,3450,2338,1288,100,100,0,501,3450;
@400000005e7325fd0c37cad3 #d,-,18,3454,2345,1473,123,0,209795,13007,3454,2347,1668,3450,2343,1257,96,100,0,501,3575;
@400000005e7325fd0c3d3591 #d,-,18,3618,2347,1350,124,0,210121,13027,3618,2347,1710,3454,2343,1283,100,100,0,501,3618;
@400000005e7325ff0c443a16 #d,-,18,3442,2345,1315,125,0,210293,13038,3618,2347,1619,3442,2342,1245,97,100,0,501,3518;
@400000005e7325ff0c47996c #d,-,18,3632,2345,1252,126,0,210604,13057,3632,2346,1704,3442,2342,1252,98,100,0,501,3669;
@400000005e7326010c52ccf7 #d,-,18,3405,2344,1150,127,0,210743,13066,3632,2345,1609,3405,2341,1150,97,100,0,501,3483;
@400000005e7326010c5d4461 #d,-,18,2818,2343,1164,127,0,210640,13059,3405,2346,1179,2818,2343,1149,95,100,0,501,2936;
@400000005e7326030c6e349e #d,-,18,2708,2345,1166,128,0,210536,13053,2818,2345,1170,2708,2343,1164,98,100,0,501,2744;
@400000005e7326030c78a84f #d,-,18,2709,2343,1167,129,0,210448,13047,2709,2345,1199,2708,2343,1166,98,100,0,501,2748;
@400000005e7326050c84dce5 #d,-,18,2711,2344,1167,130,0,210344,13041,2711,2345,1169,2709,2342,1161,98,100,0,501,2764;
@400000005e7326050c8fbe7b #d,-,18,2711,2342,1167,130,0,210374,13043,2711,2345,1169,2711,2342,1166,98,100,0,501,2742;
