@400000005e843b78088f0255 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e843b78327b00c0 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e843be501ada08a #d,-,18,3904,2376,1148,90,0,217791,13503,3904,2376,1880,3657,2371,1148,90,100,0,500,4318;
@400000005e843be701b9c54b #d,-,18,2529,2378,1159,90,0,217431,13480,3904,2378,1164,2529,2375,1130,86,100,0,500,2924;
@400000005e843be701c23d69 #d,-,18,2475,2379,1157,91,0,217033,13456,2529,2379,1160,2475,2377,1044,89,100,0,500,2756;
@400000005e843be901ce9dc5 #d,-,18,2468,2376,1137,92,0,216663,13433,2475,2379,1158,2468,2376,1126,91,100,0,500,2711;
@400000005e843be901d7b614 #d,-,18,2466,2378,1129,92,0,216296,13410,2468,2378,1138,2466,2376,1127,90,100,0,500,2734;
@400000005e843beb01ec10d4 #d,-,18,2464,2378,1132,93,0,215935,13388,2466,2379,1135,2464,2377,1128,90,100,0,500,2737;
@400000005e843beb01f7f375 #d,-,18,2461,2377,1130,94,0,215580,13365,2464,2378,1135,2461,2376,1127,90,100,0,500,2730;
@400000005e843bed02084382 #d,-,18,2460,2374,2115,95,0,215467,13358,2461,2379,2133,2460,2373,1128,89,100,0,500,2734;
@400000005e843bed0212231e #d,-,18,3278,2377,1587,96,0,215891,13385,3278,2377,2115,2460,2374,1522,91,100,0,500,3573;
@400000005e843bef02215187 #d,-,18,3854,2374,1795,97,0,216429,13418,3854,2377,1878,3278,2373,1466,94,100,0,500,4088;
@400000005e843bef022ada86 #d,-,18,3733,2376,1518,98,0,216831,13443,3854,2377,1921,3733,2374,1413,95,100,0,500,3929;
@400000005e843bf10238ae7b #d,-,18,3822,2374,1597,99,0,217554,13488,3822,2377,1985,3733,2371,1427,94,100,0,500,4064;
@400000005e843bf102421c78 #d,-,18,3922,2375,1125,100,0,217713,13498,3922,2376,1958,3822,2372,1123,95,100,0,500,4095;
@400000005e843bf3024e9f49 #d,-,18,2665,2378,1141,100,0,217386,13477,3922,2378,1190,2665,2374,1125,85,100,0,500,3130;
@400000005e843bf30257423f #d,-,18,2463,2376,1134,101,0,217047,13456,2665,2378,1147,2463,2376,1128,89,100,0,500,2756;
@400000005e843bf5026426db #d,-,18,2460,2374,1126,102,0,216703,13435,2463,2376,1155,2460,2374,1083,89,100,0,500,2742;
@400000005e843bf5026cf4a8 #d,-,18,2458,2374,1129,102,0,216192,13403,2460,2375,1135,2458,2374,1122,90,100,0,500,2720;
@400000005e843bf7028268aa #d,-,18,2457,2374,1131,103,0,216037,13394,2458,2375,1134,2457,2374,1126,90,100,0,500,2730;
@400000005e843bf70290d0b3 #d,-,18,2455,2374,1133,104,0,215713,13374,2457,2375,1135,2455,2374,1126,89,100,0,500,2730;
@400000005e843bf902a33b0e #d,-,18,2454,2371,1640,104,0,215311,13349,2455,2376,1640,2454,2371,1128,89,100,0,500,2730;
@400000005e843bf902ada74c #d,-,18,3212,2373,1671,105,0,215781,13378,3212,2375,1949,2454,2371,1428,93,100,0,500,3441;
@400000005e843bfb02bc16c8 #d,-,18,3759,2374,1763,106,0,216181,13403,3759,2376,1880,3212,2373,1407,96,100,0,500,3910;
@400000005e843bfb02c4cd4d #d,-,18,3821,2376,1452,108,0,216713,13436,3821,2376,2041,3759,2373,1452,93,100,0,500,4107;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
