@400000005e7171e10d9d464f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7171e13794ca3a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7172500763a5a9 #d,-,18,2451,2392,1131,77,0,183348,11367,2537,2393,1132,2451,2391,1125,89,100,0,500,2751;
@400000005e717250076cd540 #d,-,18,2641,2390,1368,78,0,183592,11382,2641,2392,1372,2451,2390,1131,91,100,0,500,2877;
@400000005e717252077bec60 #d,-,18,2982,2391,1148,78,0,183967,11405,2982,2391,1368,2641,2389,1148,92,100,0,500,3213;
@400000005e71725207855e17 #d,-,18,2739,2391,1189,79,0,184030,11409,2982,2392,1235,2739,2389,1145,90,100,0,500,3033;
@400000005e71725407944f08 #d,-,18,2591,2392,1163,80,0,183848,11398,2739,2392,1189,2591,2391,1149,89,100,0,500,2879;
@400000005e717254079cf1fe #d,-,18,2539,2393,1128,81,0,183963,11405,2591,2393,1164,2539,2391,1124,89,100,0,500,2825;
@400000005e71725607acfefc #d,-,18,2451,2390,1135,81,0,183733,11391,2539,2393,1135,2451,2389,1124,89,100,0,500,2753;
@400000005e71725607b63e68 #d,-,18,2643,2389,1367,82,0,184121,11415,2643,2390,1371,2451,2389,1135,91,100,0,500,2879;
@400000005e71725807c67ea0 #d,-,18,2986,2392,1104,83,0,184155,11417,2986,2392,1367,2643,2388,1104,92,100,0,500,3213;
@400000005e71725807d04605 #d,-,18,2729,2392,1189,84,0,184208,11420,2986,2392,1253,2729,2392,1089,90,100,0,500,3021;
@400000005e71725a07e06781 #d,-,18,2609,2390,1178,84,0,184217,11421,2729,2392,1189,2609,2390,1168,90,100,0,500,2893;
@400000005e71725a07e9aaa7 #d,-,18,2606,2390,1128,85,0,184191,11419,2609,2391,1180,2606,2390,1118,90,100,0,500,2865;
@400000005e71725c07f70c0e #d,-,18,2461,2390,1133,86,0,184122,11415,2606,2392,1133,2461,2390,1127,88,100,0,500,2768;
@400000005e71725c07ff87e7 #d,-,18,2458,2392,1120,86,0,184042,11410,2461,2392,1136,2458,2390,1116,89,100,0,500,2739;
@400000005e71725e080e35ca #d,-,18,2455,2392,1120,87,0,183962,11405,2458,2393,1126,2455,2392,1117,90,100,0,500,2727;
@400000005e71725e0816d506 #d,-,18,2451,2392,1115,88,0,183883,11400,2455,2393,1124,2451,2392,1115,89,100,0,500,2725;
@400000005e7172600824b339 #d,-,18,2448,2391,1119,88,0,183806,11396,2451,2392,1121,2448,2391,1115,89,100,0,500,2723;
@400000005e717260082d2f11 #d,-,18,2445,2390,1120,89,0,183730,11391,2448,2392,1124,2445,2390,1115,89,100,0,500,2723;
@400000005e717262083c2776 #d,-,18,2443,2390,1121,90,0,183654,11386,2445,2391,1122,2443,2390,1117,89,100,0,500,2725;
@400000005e7172620844c2f8 #d,-,18,2441,2390,1122,90,0,183579,11381,2443,2391,1123,2441,2390,1117,89,100,0,500,2725;
@400000005e7172640852f7c9 #d,-,18,2439,2391,1119,91,0,183503,11377,2441,2392,1123,2439,2390,1119,89,100,0,500,2723;
@400000005e717264085b73a1 #d,-,18,2437,2392,1121,92,0,183430,11372,2439,2392,1124,2437,2391,1118,89,100,0,500,2727;
@400000005e717266086886cd #d,-,18,2435,2390,1119,92,0,183358,11368,2437,2393,1123,2435,2390,1117,89,100,0,500,2727;
@400000005e71726608712d7d #d,-,18,2434,2390,1122,93,0,183287,11363,2435,2392,1123,2434,2390,1117,89,100,0,500,2725;
@400000005e717268087f27a1 #d,-,18,2432,2391,1123,94,0,183216,11359,2434,2392,1124,2432,2390,1116,89,100,0,500,2725;
@400000005e717268088824ed #d,-,18,2431,2392,1121,94,0,183148,11355,2432,2393,1123,2431,2391,1117,89,100,0,500,2725;
@400000005e71726a0895d849 #d,-,18,2430,2392,1115,95,0,183079,11350,2431,2393,1124,2430,2392,1115,89,100,0,500,2720;
@400000005e71726a089e7012 #d,-,18,2429,2392,1121,96,0,183011,11346,2430,2393,1121,2429,2392,1115,89,100,0,500,2723;
@400000005e71726c08abd8ed #d,-,18,2428,2390,1119,96,0,182944,11342,2429,2392,1122,2428,2390,1117,89,100,0,500,2720;
@400000005e71726c08b4a300 #d,-,18,2428,2390,1122,97,0,183011,11346,2428,2391,1122,2428,2390,1117,89,100,0,500,2725;
@400000005e71726e08c4f6c7 #d,-,18,2427,2391,1274,98,0,183060,11349,2428,2391,1318,2427,2389,1118,89,100,0,500,2723;
@400000005e71726e08ceca47 #d,-,18,2886,2391,1354,99,0,183161,11356,2886,2391,1377,2427,2391,1256,93,100,0,500,3078;
@400000005e71727008de5f22 #d,-,18,2890,2391,1198,99,0,183376,11369,2890,2392,1354,2886,2390,1147,89,100,0,500,3223;
@400000005e71727008e7bd4a #d,-,18,2651,2390,1178,100,0,183401,11370,2890,2391,1209,2651,2389,1168,90,100,0,500,2917;
@400000005e71727208f856ea #d,-,18,2579,2389,1174,101,0,183415,11371,2651,2390,1181,2579,2389,1174,90,100,0,500,2860;
@400000005e71727209021b84 #d,-,18,2519,2392,1126,101,0,183358,11368,2579,2392,1174,2519,2389,1116,89,100,0,500,2817;
@400000005e71727409125714 #d,-,18,2451,2391,1258,102,0,183297,11364,2519,2392,1321,2451,2391,1125,89,100,0,500,2739;
@400000005e717274091bc157 #d,-,18,2936,2389,1352,103,0,183526,11378,2936,2391,1374,2451,2388,1258,93,100,0,500,3135;
@400000005e717276092d2aa6 #d,-,18,2878,2390,1197,104,0,183590,11382,2936,2390,1352,2878,2388,1140,90,100,0,500,3180;
@400000005e71727609366659 #d,-,18,2657,2391,1179,104,0,183613,11384,2878,2392,1210,2657,2389,1170,91,100,0,500,2917;
@400000005e7172780946b1bd #d,-,18,2585,2392,1164,105,0,183624,11384,2657,2392,1181,2585,2391,1164,90,100,0,500,2865;
@400000005e717278094fe50e #d,-,18,2513,2390,1129,106,0,183568,11381,2585,2392,1164,2513,2389,1117,89,100,0,500,2810;
@400000005e71727a095fd351 #d,-,18,2457,2391,1259,107,0,183634,11385,2513,2391,1325,2457,2388,1125,89,100,0,500,2744;
@400000005e71727a09693d94 #d,-,18,2946,2391,1351,107,0,183857,11399,2946,2391,1376,2457,2390,1259,93,100,0,500,3147;
@400000005e71727c097a8739 #d,-,18,2848,2390,1195,108,0,183903,11402,2946,2392,1351,2848,2390,1126,90,100,0,500,3149;
@400000005e71727c0983edc3 #d,-,18,2665,2391,1176,109,0,183924,11403,2848,2391,1211,2665,2389,1169,91,100,0,500,2926;
@400000005e71727e0993d84c #d,-,18,2587,2391,1151,110,0,183930,11403,2665,2392,1181,2587,2391,1151,90,100,0,500,2860;
@400000005e71727e099d0f56 #d,-,18,2507,2390,1127,110,0,183874,11400,2587,2392,1151,2507,2389,1118,89,100,0,500,2806;
@400000005e71728009adfaeb #d,-,18,2502,2390,1265,111,0,183944,11404,2507,2391,1322,2502,2389,1125,91,100,0,500,2749;
@400000005e71728009b7d314 #d,-,18,2960,2391,1344,112,0,184160,11417,2960,2391,1378,2502,2389,1265,93,100,0,500,3171;
@400000005e71728209c7c8ca #d,-,18,2844,2391,1201,113,0,184200,11420,2960,2392,1344,2844,2391,1133,90,100,0,500,3135;
@400000005e71728209d12338 #d,-,18,2647,2390,1159,113,0,184198,11420,2844,2392,1213,2647,2389,1143,90,100,0,500,2926;
@400000005e71728409de5e71 #d,-,18,2535,2391,1119,114,0,184172,11418,2647,2391,1164,2535,2389,1118,90,100,0,500,2815;
@400000005e71728409e74386 #d,-,18,2471,2391,1128,115,0,184119,11415,2535,2392,1135,2471,2391,1119,89,100,0,500,2770;
@400000005e71728609f7543f #d,-,18,2466,2390,1052,115,0,183997,11407,2471,2391,1130,2466,2389,1010,90,100,0,500,2734;
@400000005e7172860a00c23c #d,-,18,2308,2391,1125,116,0,183947,11404,2466,2392,1144,2308,2389,1052,88,100,0,500,2611;
@400000005e7172880a114582 #d,-,18,2439,2390,1123,117,0,183891,11401,2439,2392,1128,2308,2389,1121,89,100,0,500,2734;
@400000005e7172880a1a93d4 #d,-,18,2439,2391,1127,117,0,183839,11398,2439,2391,1128,2439,2389,1121,89,100,0,500,2737;
@400000005e71728a0a2c47a5 #d,-,18,2439,2391,1128,118,0,183786,11394,2439,2392,1128,2439,2391,1122,89,100,0,500,2734;
@400000005e71728a0a3595f8 #d,-,18,2438,2390,1123,119,0,183733,11391,2439,2392,1129,2438,2390,1122,89,100,0,500,2737;
@400000005e71728c0a45ab58 #d,-,18,2439,2392,1125,119,0,183682,11388,2439,2392,1127,2438,2390,1121,89,100,0,500,2737;
@400000005e71728c0a4f159c #d,-,18,2439,2392,1126,120,0,183632,11385,2439,2392,1128,2439,2392,1122,89,100,0,500,2734;
@400000005e71728e0a5ef7c3 #d,-,18,2439,2390,1125,121,0,183581,11382,2439,2392,1128,2439,2389,1122,89,100,0,500,2737;
@400000005e71728e0a686206 #d,-,18,2439,2390,1126,121,0,183639,11385,2439,2391,1127,2439,2390,1122,89,100,0,500,2737;
@400000005e7172900a7a2104 #d,-,18,2439,2391,1123,122,0,183483,11376,2439,2392,1128,2439,2390,1122,89,100,0,500,2734;
@400000005e7172900a8373ff #d,-,18,2439,2392,1127,123,0,183436,11373,2439,2393,1128,2439,2391,1122,89,100,0,500,2737;
@400000005e7172920a9390d3 #d,-,18,2439,2390,1121,123,0,183388,11370,2439,2393,1128,2439,2390,1121,89,100,0,500,2737;
@400000005e7172920a9d4d0b #d,-,18,2440,2390,1126,124,0,183447,11373,2440,2391,1128,2439,2390,1121,89,100,0,500,2737;
@400000005e7172940aaeec5f #d,-,18,2440,2393,1126,125,0,183298,11364,2440,2393,1129,2440,2390,1122,89,100,0,500,2739;
@400000005e7172940ab852e8 #d,-,18,2440,2391,1127,125,0,183252,11361,2440,2393,1129,2440,2391,1122,89,100,0,500,2739;
@400000005e7172960ac8b684 #d,-,18,2441,2390,1127,126,0,183208,11358,2441,2391,1129,2440,2390,1122,89,100,0,500,2739;
@400000005e7172960ad214ac #d,-,18,2441,2391,1153,127,0,183169,11356,2441,2392,1153,2441,2390,1122,89,100,0,500,2742;
@400000005e7172980ae1ad40 #d,-,18,2659,2389,1360,128,0,183329,11366,2659,2392,1373,2441,2389,1153,91,100,0,500,2896;
@400000005e7172980aeb4d88 #d,-,18,3002,2390,1159,128,0,183456,11374,3002,2390,1360,2659,2389,1152,93,100,0,500,3225;
@400000005e71729a0afc700f #d,-,18,2735,2394,1171,129,0,183494,11376,3002,2394,1226,2735,2390,1159,90,100,0,500,3028;
@400000005e71729a0b05da53 #d,-,18,2605,2392,1181,130,0,183505,11377,2735,2395,1182,2605,2392,1164,90,100,0,500,2886;
@400000005e71729c0b162e19 #d,-,18,2602,2393,1136,131,0,183487,11376,2605,2394,1181,2602,2392,1115,90,100,0,500,2865;
@400000005e71729c0b1f8c41 #d,-,18,2465,2393,1305,131,0,183491,11376,2602,2394,1305,2465,2393,1130,89,100,0,500,2765;
@400000005e71729e0b301341 #d,-,18,2739,2393,1328,132,0,183649,11386,2739,2394,1375,2465,2393,1259,92,100,0,500,2976;
@400000005e71729e0b394a4b #d,-,18,3042,2392,1235,133,0,183844,11398,3042,2393,1351,2739,2390,1134,93,100,0,500,3265;
@400000005e7172a00b4944a9 #d,-,18,2647,2394,1153,134,0,183761,11393,3042,2394,1237,2647,2392,1140,89,100,0,500,2952;
@400000005e7172a00b52dd7e #d,-,18,2545,2395,1156,134,0,183749,11392,2647,2395,1164,2545,2394,1153,89,100,0,500,2843;
@400000005e7172a20b62b832 #d,-,18,2539,2393,1132,135,0,183808,11396,2545,2395,1157,2539,2392,1122,90,100,0,500,2801;
@400000005e7172a20b6c1dcd #d,-,18,2457,2394,1315,136,0,183826,11397,2539,2394,1317,2457,2393,1125,89,100,0,500,2753;
@400000005e7172a40b7dd557 #d,-,18,2797,2394,1337,137,0,183884,11400,2797,2395,1370,2457,2394,1256,92,100,0,500,3012;
