@400000005e8c23a637fc7d93 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8c23a7264ca3e9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8c23f5302291af #d,-,18,2635,2386,1372,58,0,193827,12017,3140,2388,1372,2635,2385,1137,90,100,0,501,2924;
@400000005e8c23f73031cc34 #d,-,18,3090,2386,1207,59,0,194208,12040,3090,2388,1867,2635,2383,1207,93,100,0,501,3317;
@400000005e8c23f7303b80f8 #d,-,18,2671,2387,1141,60,0,194083,12033,3090,2388,1213,2671,2386,1139,90,100,0,501,2957;
@400000005e8c23f930498af2 #d,-,18,2467,2388,1125,60,0,193840,12018,2671,2388,1141,2467,2386,1119,88,100,0,501,2775;
@400000005e8c23f930521e12 #d,-,18,2461,2388,1120,61,0,193595,12002,2467,2388,1126,2461,2386,1119,90,100,0,501,2718;
@400000005e8c23fb305f60be #d,-,18,2457,2386,1124,62,0,193593,12002,2461,2388,1126,2457,2386,1119,90,100,0,501,2720;
@400000005e8c23fb306870ab #d,-,18,2452,2386,1121,62,0,193130,11974,2457,2388,1125,2452,2385,1118,90,100,0,501,2715;
@400000005e8c23fd307676ea #d,-,18,2449,2386,1121,63,0,192904,11960,2452,2387,1128,2449,2385,1116,90,100,0,501,2720;
@400000005e8c23fd307efdef #d,-,18,2446,2385,1122,64,0,192681,11946,2449,2387,1123,2446,2384,1116,90,100,0,501,2713;
@400000005e8c23ff308be733 #d,-,18,2442,2385,1122,64,0,192462,11932,2446,2387,1125,2442,2385,1119,89,100,0,501,2715;
@400000005e8c23ff3094fad9 #d,-,18,2439,2384,1121,65,0,192468,11933,2442,2387,1124,2439,2384,1117,89,100,0,501,2715;
@400000005e8c240130aa351e #d,-,18,2437,2385,1121,66,0,192038,11906,2439,2387,1121,2437,2384,1117,89,100,0,501,2711;
@400000005e8c240130b734bb #d,-,18,2434,2385,1118,66,0,191834,11893,2437,2387,1127,2434,2384,1118,89,100,0,501,2713;
@400000005e8c240330c8c8e2 #d,-,18,2940,2383,1340,67,0,192264,11920,2940,2386,1806,2434,2380,1118,95,100,0,501,3066;
@400000005e8c240330d1029a #d,-,18,2824,2384,1167,68,0,192269,11920,2940,2386,1340,2824,2382,1167,88,100,0,501,3197;
@400000005e8c240530dca31c #d,-,18,2619,2383,1247,69,0,192594,11940,2824,2386,1853,2619,2381,1134,90,100,0,501,2884;
@400000005e8c240530e0c518 #d,-,18,3176,2386,1190,70,0,192591,11940,3176,2387,1281,2619,2383,1190,92,100,0,501,3441;
@400000005e8c240730ebf4e9 #d,-,18,2583,2384,1837,70,0,192832,11955,3176,2387,1857,2583,2382,1136,90,100,0,501,2865;
@400000005e8c240730f03a48 #d,-,18,3132,2388,1193,71,0,192870,11957,3132,2388,1837,2583,2384,1192,92,100,0,501,3374;
@400000005e8c240930fc5023 #d,-,18,2643,2383,1460,72,0,192849,11956,3132,2388,1460,2643,2383,1136,90,100,0,501,2924;
@400000005e8c2409310393fd #d,-,18,3096,2386,1215,73,0,193149,11975,3096,2387,1859,2643,2383,1215,93,100,0,501,3327;
@400000005e8c240b310ee643 #d,-,18,2673,2386,1152,73,0,193053,11969,3096,2389,1215,2673,2385,1135,90,100,0,501,2955;
@400000005e8c240b31150fec #d,-,18,3054,2388,1238,74,0,193428,11992,3054,2388,1872,2673,2381,1152,95,100,0,501,3182;
@400000005e8c240d31205ac0 #d,-,18,2725,2388,1144,75,0,193362,11988,3054,2388,1238,2725,2385,1144,87,100,0,501,3118;
@400000005e8c240d3126b3e8 #d,-,18,2723,2386,1230,76,0,193663,12007,2725,2388,1859,2723,2381,1134,94,100,0,501,2896;
@400000005e8c240f3131c055 #d,-,18,3040,2385,1169,77,0,193819,12016,3040,2387,1243,2723,2384,1169,89,100,0,501,3379;
@400000005e8c240f31381d37 #d,-,18,2547,2383,1367,77,0,193897,12021,3040,2388,1856,2547,2382,1138,89,100,0,501,2841;
@400000005e8c2411314595e7 #d,-,18,3190,2387,1205,78,0,193876,12020,3190,2387,1367,2547,2383,1193,93,100,0,501,3415;
@400000005e8c2411314dc82c #d,-,18,2585,2384,1847,79,0,194068,12032,3190,2387,1855,2585,2383,1138,89,100,0,501,2881;
@400000005e8c2413315d19f9 #d,-,18,3140,2384,1198,80,0,194107,12034,3140,2386,1847,2585,2383,1196,93,100,0,501,3374;
@400000005e8c2413316697cb #d,-,18,2647,2385,1140,81,0,193988,12027,3140,2387,1204,2647,2383,1135,90,100,0,501,2929;
@400000005e8c241531741c96 #d,-,18,2443,2383,1120,81,0,193808,12016,2647,2387,1140,2443,2383,1117,88,100,0,501,2749;
@400000005e8c2415317d28ca #d,-,18,2441,2383,1125,82,0,193627,12004,2443,2385,1126,2441,2383,1117,89,100,0,501,2718;
@400000005e8c2417318ae0ce #d,-,18,2439,2384,1121,83,0,193450,11993,2441,2386,1128,2439,2383,1121,89,100,0,501,2715;
@400000005e8c241731938ef1 #d,-,18,2437,2385,1123,83,0,193276,11983,2439,2387,1124,2437,2383,1119,89,100,0,501,2720;
@400000005e8c241931a0b1f2 #d,-,18,2435,2385,1121,84,0,193106,11972,2437,2387,1126,2435,2384,1119,89,100,0,501,2713;
@400000005e8c241931a9c2cd #d,-,18,2434,2385,1124,85,0,192936,11962,2435,2387,1125,2434,2385,1119,89,100,0,501,2720;
@400000005e8c241b31b7a5a9 #d,-,18,2432,2385,1122,85,0,192774,11952,2434,2388,1126,2432,2384,1121,89,100,0,501,2718;
@400000005e8c241b31c038ca #d,-,18,2431,2386,1123,86,0,192610,11941,2432,2388,1123,2431,2385,1119,89,100,0,501,2718;
@400000005e8c241d31ce7d6f #d,-,18,2430,2386,1119,87,0,192451,11931,2431,2388,1125,2430,2386,1119,89,100,0,501,2718;
@400000005e8c241d31d6dd57 #d,-,18,2429,2384,1451,87,0,192540,11937,2430,2388,1451,2429,2384,1118,89,100,0,501,2713;
@400000005e8c241f31eb9d9a #d,-,18,3044,2388,1209,88,0,192619,11942,3044,2388,1799,2429,2383,1209,92,100,0,501,3275;
@400000005e8c241f31f6e0fa #d,-,18,2691,2388,1151,89,0,192704,11947,3044,2388,1209,2691,2386,1135,90,100,0,501,2971;
@400000005e8c242132063a3a #d,-,18,2946,2388,1289,90,0,192836,11955,2946,2388,1851,2691,2383,1148,96,100,0,501,3064;
@400000005e8c2421320fb099 #d,-,18,2785,2388,1155,90,0,192784,11952,2946,2388,1289,2785,2386,1155,87,100,0,501,3197;
@400000005e8c2423321f50a1 #d,-,18,2587,2388,1172,91,0,193152,11975,2785,2388,1841,2587,2383,1143,90,100,0,501,2843;
@400000005e8c24233228b282 #d,-,18,3126,2387,1197,92,0,193000,11966,3126,2389,1300,2587,2386,1172,91,100,0,501,3403;
@400000005e8c24253238528a #d,-,18,2581,2382,1874,93,0,193165,11976,3126,2388,1876,2581,2382,1136,89,100,0,501,2870;
@400000005e8c2425324245b5 #d,-,18,3108,2385,1195,94,0,193357,11988,3108,2387,1874,2581,2382,1165,92,100,0,501,3365;
@400000005e8c2427325233f8 #d,-,18,2657,2383,1749,94,0,193216,11979,3108,2388,1749,2657,2383,1132,90,100,0,501,2926;
@400000005e8c2427325bbcf7 #d,-,18,3144,2385,1240,95,0,193433,11992,3144,2388,1850,2657,2382,1229,92,100,0,501,3403;
@400000005e8c2429326ba3c7 #d,-,18,2673,2388,1143,96,0,193357,11988,3144,2388,1240,2673,2385,1141,88,100,0,501,3009;
@400000005e8c24293274ee60 #d,-,18,3074,2387,1232,97,0,193649,12006,3074,2388,1874,2673,2383,1143,95,100,0,501,3225;
@400000005e8c242b32832aa4 #d,-,18,2687,2389,1137,98,0,193576,12001,3074,2389,1232,2687,2385,1132,87,100,0,501,3064;
@400000005e8c242b328c6656 #d,-,18,2824,2387,1290,98,0,193853,12018,2824,2389,1887,2687,2383,1137,95,100,0,501,2962;
@400000005e8c242d32961ed4 #d,-,18,2978,2388,1158,99,0,193817,12016,2978,2389,1290,2824,2385,1158,88,100,0,501,3363;
@400000005e8c242d329ad12b #d,-,18,2579,2388,1230,100,0,194034,12030,2978,2390,1887,2579,2384,1133,90,100,0,501,2846;
@400000005e8c242f32a8f715 #d,-,18,3212,2389,1143,101,0,194005,12028,3212,2390,1286,2579,2387,1143,92,100,0,501,3467;
@400000005e8c242f32b268cb #d,-,18,2529,2389,1127,101,0,193877,12020,3212,2389,1157,2529,2386,1110,89,100,0,501,2827;
@400000005e8c243132bfe623 #d,-,18,2419,2388,1119,102,0,193728,12011,2529,2390,1127,2419,2388,1115,88,100,0,501,2723;
@400000005e8c243132c91974 #d,-,18,2419,2388,1123,103,0,193583,12002,2419,2390,1123,2419,2386,1118,89,100,0,501,2711;
@400000005e8c243332d6b588 #d,-,18,2418,2388,1115,103,0,193437,11993,2419,2389,1124,2418,2387,1115,89,100,0,501,2715;
@400000005e8c243332df932a #d,-,18,2418,2388,1123,104,0,193296,11984,2418,2390,1123,2418,2387,1115,89,100,0,502,2711;
@400000005e8c243532ec740c #d,-,18,2418,2388,1120,105,0,193156,11975,2418,2388,1124,2418,2385,1119,89,100,0,502,2713;
@400000005e8c243532f55cdb #d,-,18,2418,2386,1120,105,0,193017,11967,2418,2388,1123,2418,2385,1118,89,100,0,502,2715;
@400000005e8c2437330382c5 #d,-,18,2418,2385,1122,106,0,192884,11958,2418,2389,1126,2418,2385,1117,89,100,0,501,2711;
@400000005e8c2437330c4476 #d,-,18,2419,2389,1121,107,0,192750,11950,2419,2389,1123,2418,2385,1118,89,100,0,501,2715;
@400000005e8c2439331a599c #d,-,18,2419,2388,1120,107,0,192619,11942,2419,2390,1127,2419,2387,1119,88,100,0,501,2718;
@400000005e8c243933227c0c #d,-,18,2419,2384,1542,108,0,192787,11952,2419,2388,1797,2419,2382,1119,89,100,0,501,2715;
@400000005e8c243b332c9a0e #d,-,18,3216,2386,1231,109,0,192829,11955,3216,2387,1542,2419,2384,1211,94,100,0,501,3410;
@400000005e8c243b33325e34 #d,-,18,2649,2384,1196,110,0,192757,11950,3216,2388,1231,2649,2384,1135,89,100,0,501,2955;
@400000005e8c243d33439091 #d,-,18,3078,2386,1221,110,0,193004,11966,3078,2388,1854,2649,2382,1196,94,100,0,501,3265;
@400000005e8c243d334d6c73 #d,-,18,2673,2386,1138,111,0,192950,11962,3078,2387,1221,2673,2374,1138,89,100,0,501,3002;
@400000005e8c243f335e15e8 #d,-,18,2559,2386,1267,112,0,193147,11975,2673,2387,1833,2559,2381,1136,90,100,0,501,2820;
@400000005e8c243f33676c9c #d,-,18,3124,2386,1209,113,0,193112,11972,3124,2387,1267,2559,2384,1185,90,100,0,501,3457;
@400000005e8c24413376fccf #d,-,18,2579,2380,1876,114,0,193370,11988,3124,2387,1876,2579,2380,1147,89,100,0,501,2877;
@400000005e8c2441338086bd #d,-,18,3186,2385,1222,114,0,193293,11984,3186,2386,1876,2579,2380,1163,93,100,0,501,3415;
@400000005e8c2443338fc8b4 #d,-,18,2611,2383,1326,115,0,193250,11981,3186,2387,1326,2611,2383,1138,90,100,0,501,2896;
@400000005e8c2443339936b1 #d,-,18,3136,2385,1233,116,0,193486,11996,3136,2386,1878,2611,2381,1222,92,100,0,501,3381;
@400000005e8c244533a87135 #d,-,18,2689,2384,1147,117,0,193432,11992,3136,2386,1237,2689,2384,1147,88,100,0,501,3035;
@400000005e8c244533b26bd3 #d,-,18,3006,2387,1219,118,0,193665,12007,3006,2387,1874,2689,2380,1140,96,100,0,501,3128;
@400000005e8c244733c21bb0 #d,-,18,2753,2387,1134,118,0,193611,12003,3006,2388,1219,2753,2385,1134,87,100,0,501,3163;
@400000005e8c244733cbb83e #d,-,18,2651,2386,1313,119,0,193828,12017,2753,2387,1894,2651,2381,1133,92,100,0,501,2860;
@400000005e8c244933d9c9ab #d,-,18,3152,2386,1191,120,0,193809,12016,3152,2386,1313,2651,2384,1191,89,100,0,501,3533;
@400000005e8c244933df293b #d,-,18,2575,2383,1517,121,0,193989,12027,3152,2387,1863,2575,2381,1145,89,100,0,501,2881;
@400000005e8c244b33ee20b1 #d,-,18,3204,2384,1219,122,0,193970,12026,3204,2386,1517,2575,2383,1168,93,100,0,501,3434;
@400000005e8c244b33f7ae58 #d,-,18,2583,2385,1124,122,0,193879,12020,3204,2386,1219,2583,2384,1122,89,100,0,501,2874;
@400000005e8c244d34054a6c #d,-,18,2447,2385,1127,123,0,193761,12013,2583,2387,1128,2447,2384,1122,89,100,0,501,2742;
@400000005e8c244d340e0864 #d,-,18,2445,2384,1125,124,0,193645,12006,2447,2386,1130,2445,2384,1120,89,100,0,501,2723;
@400000005e8c244f341b8976 #d,-,18,2443,2386,1125,124,0,193647,12006,2445,2386,1130,2443,2383,1122,89,100,0,501,2723;
@400000005e8c244f34243ffa #d,-,18,2441,2385,1127,125,0,193418,11991,2443,2386,1128,2441,2383,1123,89,100,0,501,2723;
@400000005e8c2451343147fa #d,-,18,2440,2386,1123,126,0,193420,11992,2441,2386,1130,2440,2384,1121,89,100,0,501,2723;
