@400000005e3139f71a2e39fd #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3139f8087e7c44 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e313a9a16f41989 #d,-,18,4349,2361,1912,162,1,261841,16234,4481,2361,2182,4349,2358,1734,97,99,0,499,4474;
@400000005e313a9a16fd0aba #d,-,18,4352,2361,2150,163,1,262199,16256,4352,2362,2171,4349,2360,1726,94,99,0,499,4614;
@400000005e313a9c170bb7ae #d,-,18,4605,2359,1929,164,1,262481,16273,4605,2363,2150,4352,2359,1731,97,99,0,499,4725;
@400000005e313a9c17154555 #d,-,18,4481,2361,1745,166,1,262864,16297,4605,2363,2174,4481,2359,1745,96,99,0,499,4623;
@400000005e313a9e17230d2f #d,-,18,4324,2362,1898,167,1,263252,16321,4481,2363,2159,4324,2360,1726,97,99,0,499,4457;
@400000005e313a9e172bcee0 #d,-,18,4409,2361,2150,168,1,263584,16342,4409,2363,2150,4324,2360,1727,95,99,0,500,4640;
@400000005e313aa0173a51ec #d,-,18,4595,2362,1884,169,1,263855,16359,4595,2362,2150,4409,2359,1731,97,99,0,500,4709;
@400000005e313aa017439512 #d,-,18,4477,2362,1765,170,1,264229,16382,4595,2362,2167,4477,2358,1765,97,99,0,500,4609;
@400000005e313aa217513126 #d,-,18,4318,2359,1906,172,1,264593,16404,4477,2362,2136,4318,2358,1727,96,99,0,500,4462;
@400000005e313aa2175a1281 #d,-,18,4421,2358,2147,173,1,265074,16434,4421,2361,2167,4318,2357,1732,95,99,0,499,4647;
@400000005e313aa41768f39d #d,-,18,4591,2358,1912,174,1,265326,16450,4591,2361,2147,4421,2358,1729,97,99,0,499,4704;
@400000005e313aa4177288b8 #d,-,18,4475,2362,1751,175,1,265523,16462,4591,2362,2162,4475,2358,1751,97,99,0,499,4612;
@400000005e313aa6177ff63b #d,-,18,4337,2361,1908,177,1,265874,16484,4475,2362,2164,4337,2358,1726,97,99,0,499,4467;
@400000005e313aa61788cb7b #d,-,18,4391,2360,2117,178,1,266190,16503,4391,2362,2163,4337,2359,1726,94,99,0,499,4626;
@400000005e313aa81797bb7e #d,-,18,4599,2360,1964,179,1,266431,16518,4599,2361,2117,4391,2359,1730,97,99,0,499,4716;
@400000005e313aa817a1ed0f #d,-,18,4481,2360,1735,180,1,266757,16538,4599,2362,2170,4481,2357,1735,96,99,0,499,4623;
@400000005e313aaa17afc877 #d,-,18,4373,2360,1915,182,1,267103,16560,4481,2361,2173,4373,2358,1728,97,99,0,499,4484;
@400000005e313aaa17b8e839 #d,-,18,4370,2360,2078,183,1,267407,16579,4373,2363,2165,4370,2359,1727,95,99,0,499,4593;
@400000005e313aac17c8364c #d,-,18,4599,2360,2001,184,1,267786,16602,4599,2363,2078,4370,2360,1724,97,99,0,499,4730;
@400000005e313aac17d22d30 #d,-,18,4483,2362,1727,185,1,268082,16621,4599,2362,2154,4483,2359,1727,96,99,0,499,4623;
@400000005e313aae17dfc1d1 #d,-,18,4371,2358,1911,187,1,268269,16632,4483,2363,2136,4371,2357,1727,97,99,0,499,4484;
@400000005e313aae17e8be2f #d,-,18,4368,2359,2055,188,1,268562,16650,4371,2361,2164,4368,2356,1732,95,99,0,499,4576;
@400000005e313ab017f8b02b #d,-,18,4593,2354,2050,189,1,268783,16664,4593,2361,2055,4368,2354,1725,97,99,0,500,4730;
@400000005e313ab01803a90a #d,-,18,4483,2359,1729,190,1,269205,16690,4593,2360,2179,4483,2354,1727,96,99,0,500,4623;
@400000005e313ab218118384 #d,-,18,4409,2357,1921,192,1,269385,16701,4483,2359,2169,4409,2357,1729,97,99,0,500,4507;
@400000005e313ab2181a4624 #d,-,18,4312,2357,2061,193,1,269664,16719,4409,2360,2167,4312,2356,1729,94,99,0,500,4540;
@400000005e313ab41828bd14 #d,-,18,4591,2356,2047,194,1,269880,16732,4591,2359,2061,4312,2356,1733,96,99,0,500,4740;
@400000005e313ab41832e9fd #d,-,18,4493,2360,1727,195,1,270139,16748,4591,2360,2165,4493,2356,1727,97,99,0,500,4628;
@400000005e313ab61840a5bb #d,-,18,4373,2357,1915,196,1,270596,16776,4493,2360,2171,4373,2355,1727,97,99,0,499,4474;
@400000005e313ab6184944f7 #d,-,18,4369,2358,2047,198,1,270721,16784,4373,2359,2167,4369,2356,1734,95,99,0,499,4574;
@400000005e313ab818581284 #d,-,18,4589,2356,2047,199,1,270925,16797,4589,2359,2047,4369,2356,1729,96,99,0,499,4732;
