@400000005e7324d82f4725e5 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7324d91d991671 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e73253127aff188 #d,-,18,2815,2359,1183,62,0,186942,11590,3092,2360,1317,2815,2358,1180,92,100,0,501,3059;
@400000005e73253327bf3f9b #d,-,18,2814,2359,1422,63,0,187308,11613,2815,2361,1432,2814,2358,1183,92,100,0,501,3043;
@400000005e73253327c8b50b #d,-,18,3100,2361,1315,64,0,187583,11630,3100,2361,1422,2814,2358,1186,93,100,0,501,3306;
@400000005e73253527d914ed #d,-,18,2850,2361,1224,65,0,187746,11640,3100,2361,1366,2850,2358,1224,91,100,0,501,3118;
@400000005e73253527e28e17 #d,-,18,2779,2360,1387,66,0,187997,11655,2850,2361,1404,2779,2357,1188,92,100,0,501,3000;
@400000005e73253727f1ebff #d,-,18,3086,2361,1218,67,0,188312,11675,3086,2361,1421,2779,2358,1218,93,100,0,501,3303;
@400000005e73253727fb2f25 #d,-,18,2932,2359,1249,67,0,188495,11686,3086,2361,1358,2932,2357,1218,92,100,0,501,3185;
@400000005e732539280861fb #d,-,18,2707,2358,1131,68,0,188392,11680,2932,2359,1249,2707,2356,1119,90,100,0,501,2986;
@400000005e73253928116a75 #d,-,18,2421,2359,1127,69,0,188439,11683,2707,2360,1140,2421,2357,1124,89,100,0,501,2708;
@400000005e73253b281ead20 #d,-,18,2421,2358,1124,69,0,188094,11661,2421,2360,1134,2421,2357,1124,89,100,0,501,2706;
@400000005e73253b282753d0 #d,-,18,2422,2358,1129,70,0,187947,11652,2422,2359,1134,2421,2357,1124,89,100,0,501,2704;
@400000005e73253d28347a8b #d,-,18,2421,2358,1131,71,0,187804,11643,2422,2360,1133,2421,2357,1126,89,100,0,501,2704;
@400000005e73253d283d582d #d,-,18,2421,2359,1126,71,0,187661,11635,2421,2360,1133,2421,2357,1124,89,100,0,501,2706;
@400000005e73253f284aae68 #d,-,18,2422,2358,1132,72,0,187710,11638,2422,2360,1132,2421,2357,1123,89,100,0,501,2704;
@400000005e73253f28534da4 #d,-,18,2421,2357,1125,73,0,187385,11617,2422,2360,1133,2421,2357,1125,89,100,0,501,2701;
@400000005e732541286070a5 #d,-,18,2421,2358,1133,73,0,187254,11609,2421,2359,1133,2421,2356,1125,89,100,0,501,2704;
@400000005e732541286956a9 #d,-,18,2421,2359,1124,74,0,187123,11601,2421,2360,1133,2421,2357,1122,89,100,0,501,2704;
@400000005e7325432876ea5b #d,-,18,2422,2359,1129,75,0,186996,11593,2422,2360,1133,2421,2357,1123,89,100,0,501,2704;
@400000005e732543287f79c2 #d,-,18,2421,2359,1126,75,0,187050,11597,2422,2360,1132,2421,2358,1122,89,100,0,501,2701;
@400000005e732545288c6a79 #d,-,18,2422,2359,1129,76,0,186751,11578,2422,2360,1133,2421,2357,1126,89,100,0,501,2704;
@400000005e73254528951d44 #d,-,18,2422,2359,1131,77,0,186633,11571,2422,2360,1134,2422,2358,1127,89,100,0,501,2706;
@400000005e73254728a2e42f #d,-,18,2422,2358,1127,77,0,186516,11563,2422,2361,1134,2422,2358,1122,89,100,0,501,2708;
@400000005e73254728ab64af #d,-,18,2423,2358,1128,78,0,186403,11557,2423,2360,1134,2422,2357,1124,89,100,0,501,2704;
@400000005e73254928b933fc #d,-,18,2423,2356,1127,79,0,186289,11549,2423,2358,1132,2423,2356,1124,89,100,0,501,2706;
@400000005e73254928c1e21f #d,-,18,2424,2357,1129,79,0,186182,11543,2424,2358,1133,2423,2355,1126,89,100,0,501,2704;
@400000005e73254b28d17251 #d,-,18,2424,2358,1133,80,0,186075,11536,2424,2358,1136,2424,2355,1125,89,100,0,501,2704;
@400000005e73254b28daa1e8 #d,-,18,2424,2357,1377,81,0,186077,11536,2424,2358,1377,2424,2356,1125,89,100,0,501,2706;
@400000005e73254d28ea9c47 #d,-,18,2824,2356,1383,82,0,186365,11554,2824,2358,1422,2424,2355,1300,93,100,0,501,3019;
@400000005e73254d28f4218c #d,-,18,3074,2357,1318,83,0,186598,11569,3074,2359,1400,2824,2355,1230,92,100,0,501,3308;
@400000005e73254f29040c15 #d,-,18,2892,2356,1207,83,0,186828,11583,3074,2359,1318,2892,2355,1175,92,100,0,501,3126;
@400000005e73254f290d9515 #d,-,18,2791,2357,1406,84,0,186935,11589,2892,2358,1421,2791,2356,1207,92,100,0,501,3024;
@400000005e732551291dc577 #d,-,18,3082,2357,1327,85,0,187137,11602,3082,2358,1406,2791,2356,1175,93,100,0,501,3284;
@400000005e7325512926f8c8 #d,-,18,2822,2357,1202,86,0,187250,11609,3082,2359,1353,2822,2356,1202,91,100,0,501,3095;
@400000005e73255329367a14 #d,-,18,2765,2357,1366,87,0,187423,11620,2822,2358,1382,2765,2357,1189,92,100,0,501,2988;
@400000005e732553293febca #d,-,18,3068,2357,1191,87,0,187675,11635,3068,2358,1428,2765,2356,1191,93,100,0,501,3280;
@400000005e732555294f5899 #d,-,18,2900,2358,1237,88,0,187940,11652,3068,2359,1349,2900,2356,1165,91,100,0,501,3154;
@400000005e7325552958bb69 #d,-,18,2661,2357,1320,89,0,187866,11647,2900,2360,1381,2661,2357,1159,90,100,0,501,2950;
@400000005e7325572967af26 #d,-,18,2994,2356,1400,90,0,188141,11664,2994,2358,1423,2661,2354,1303,94,100,0,501,3163;
@400000005e73255729717006 #d,-,18,2926,2356,1266,91,0,188233,11670,2994,2358,1400,2926,2355,1166,91,100,0,501,3197;
@400000005e732559297e7805 #d,-,18,2777,2358,1128,91,0,188346,11677,2926,2358,1297,2777,2356,1127,91,100,0,501,3040;
@400000005e7325592987226e #d,-,18,2445,2358,1129,92,0,188234,11670,2777,2358,1136,2445,2355,1125,89,100,0,501,2732;
@400000005e73255b29942e27 #d,-,18,2442,2358,1130,93,0,187977,11654,2445,2359,1133,2442,2356,1125,90,100,0,501,2704;
@400000005e73255b299d2312 #d,-,18,2440,2358,1132,93,0,187869,11647,2442,2359,1133,2440,2356,1126,90,100,0,501,2704;
@400000005e73255d29aba61d #d,-,18,2438,2358,1130,94,0,187764,11641,2440,2359,1133,2438,2356,1126,90,100,0,501,2706;
@400000005e73255d29b4e589 #d,-,18,2437,2356,1133,95,0,187659,11634,2438,2358,1134,2437,2354,1128,89,100,0,501,2708;
@400000005e73255f29c27de4 #d,-,18,2435,2354,1128,95,0,187556,11628,2437,2357,1135,2435,2354,1126,89,100,0,501,2706;
@400000005e73255f29cc268d #d,-,18,2435,2354,1133,96,0,187457,11622,2435,2357,1134,2435,2353,1128,90,100,0,501,2704;
@400000005e73256129d9f994 #d,-,18,2433,2355,1128,97,0,187357,11616,2435,2357,1134,2433,2354,1126,89,100,0,501,2704;
@400000005e73256129e36b4a #d,-,18,2432,2354,1133,97,0,187259,11610,2433,2357,1134,2432,2353,1127,89,100,0,501,2706;
@400000005e73256329f211ba #d,-,18,2432,2356,1127,98,0,187162,11604,2432,2357,1135,2432,2354,1125,89,100,0,501,2704;
@400000005e73256329fbd91f #d,-,18,2431,2357,1132,99,0,187204,11606,2432,2357,1133,2431,2353,1127,89,100,0,501,2704;
@400000005e7325652a0a5fe4 #d,-,18,2430,2357,1129,99,0,187108,11600,2431,2357,1133,2430,2354,1127,89,100,0,501,2704;
@400000005e7325652a1506ce #d,-,18,2429,2358,1131,100,0,186879,11586,2430,2358,1133,2429,2355,1127,89,100,0,501,2704;
@400000005e7325672a23cfb3 #d,-,18,2428,2357,1131,100,0,186785,11580,2429,2358,1134,2428,2355,1127,89,100,0,501,2706;
@400000005e7325672a2df16f #d,-,18,2427,2355,1127,101,0,186692,11574,2428,2357,1134,2427,2355,1126,89,100,0,501,2706;
@400000005e7325672a364629 #d,-,18,2426,2355,1129,102,0,186602,11569,2427,2357,1132,2426,2355,1125,89,100,0,501,2701;
@400000005e7325692a441576 #d,-,18,2426,2355,1128,102,0,186642,11571,2426,2357,1131,2426,2355,1125,89,100,0,501,2699;
@400000005e7325692a4cc841 #d,-,18,2425,2355,1134,103,0,186424,11558,2426,2357,1136,2425,2355,1122,89,100,0,501,2699;
@400000005e73256b2a5be6d5 #d,-,18,2425,2357,1133,104,0,186336,11552,2425,2357,1134,2425,2355,1123,89,100,0,501,2704;
@400000005e73256b2a65da00 #d,-,18,2641,2355,1433,105,0,186528,11564,2641,2357,1433,2425,2353,1133,92,100,0,501,2851;
@400000005e73256d2a753f5b #d,-,18,3070,2355,1272,105,0,186716,11576,3070,2355,1433,2641,2353,1206,93,100,0,501,3282;
@400000005e73256d2a7ee091 #d,-,18,2940,2354,1241,106,0,186854,11584,3070,2355,1404,2940,2353,1241,92,100,0,501,3194;
@400000005e73256f2a8f7deb #d,-,18,2723,2352,1326,107,0,187093,11599,2940,2356,1385,2723,2352,1176,91,100,0,501,2976;
@400000005e73256f2a991305 #d,-,18,3070,2353,1335,108,0,187214,11607,3070,2354,1435,2723,2351,1326,94,100,0,501,3261;
@400000005e7325712aa9a8eb #d,-,18,2966,2354,1300,109,0,187315,11613,3070,2354,1358,2966,2352,1204,92,100,0,501,3201;
@400000005e7325712ab2f0b9 #d,-,18,2749,2353,1335,110,0,187412,11619,2966,2354,1383,2749,2351,1186,90,100,0,501,3031;
@400000005e7325732ac2f9fe #d,-,18,3008,2353,1412,110,0,187649,11634,3008,2353,1436,2749,2351,1315,94,100,0,501,3178;
@400000005e7325732acc86b7 #d,-,18,3002,2352,1277,111,0,187740,11639,3008,2354,1412,3002,2351,1183,93,100,0,501,3225;
@400000005e7325752adc1f4c #d,-,18,2809,2350,1388,112,0,187919,11651,3002,2354,1388,2809,2350,1143,91,100,0,501,3064;
