@400000005e8ad2e42b286afe #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8ad2e519792657 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8ad36d25a24348 #d,-,18,3321,2365,1365,108,0,209635,12997,3503,2365,1942,3321,2359,1207,93,100,0,499,3533;
@400000005e8ad36d25ac130f #d,-,18,3315,2362,1388,109,0,209904,13014,3321,2365,1866,3315,2360,1263,93,100,0,499,3564;
@400000005e8ad36f25bf4871 #d,-,18,3244,2362,1392,110,0,210173,13030,3315,2365,1986,3244,2359,1259,90,100,0,499,3566;
@400000005e8ad36f25cbcc31 #d,-,18,3407,2363,1662,111,0,210405,13045,3407,2366,1903,3244,2360,1190,92,100,0,499,3668;
@400000005e8ad37125dafa9a #d,-,18,3479,2360,1852,112,0,210623,13058,3479,2364,1867,3407,2360,1252,92,100,0,499,3751;
@400000005e8ad37125e4ba8b #d,-,18,3478,2363,1173,113,0,210662,13061,3479,2364,1852,3478,2360,1173,94,100,0,499,3678;
@400000005e8ad37325f20d0c #d,-,18,2601,2364,1125,113,0,210405,13045,3478,2366,1173,2601,2363,1083,88,100,0,499,2931;
@400000005e8ad37325faa3e6 #d,-,18,2445,2365,1149,114,0,210175,13030,2601,2365,1166,2445,2362,1125,89,100,0,499,2737;
@400000005e8ad3752607cf4a #d,-,18,2447,2363,1134,115,0,210079,13024,2447,2365,1149,2445,2363,1127,89,100,0,499,2737;
@400000005e8ad37526107d6c #d,-,18,2447,2363,1135,115,0,209695,13001,2447,2365,1140,2447,2363,1132,89,100,0,499,2732;
@400000005e8ad377261d7a3f #d,-,18,2448,2365,1134,116,0,209461,12986,2448,2365,1138,2447,2363,1131,89,100,0,499,2734;
@400000005e8ad377262657e1 #d,-,18,2448,2363,1133,117,0,209229,12972,2448,2365,1140,2448,2363,1132,89,100,0,499,2732;
@400000005e8ad3792633a200 #d,-,18,2448,2365,1134,117,0,209003,12958,2448,2366,1137,2448,2363,1131,89,100,0,499,2732;
@400000005e8ad379263c38da #d,-,18,2449,2365,1135,118,0,208778,12944,2449,2365,1136,2448,2363,1131,89,100,0,499,2732;
@400000005e8ad37b26465a96 #d,-,18,2449,2360,1685,119,0,208631,12935,2449,2365,1685,2449,2360,1131,89,100,0,499,2727;
@400000005e8ad37b264bba26 #d,-,18,3198,2364,1262,120,0,208850,12948,3198,2364,1873,2449,2359,1262,93,100,0,499,3419;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
