@400000005e1d72a1179942a6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1d72a205e5f705 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d7318113cb819 #d,-,18,2667,2334,1155,87,0,192522,11936,2667,2336,1156,2667,2332,1151,98,100,0,500,2701;
@400000005e1d731a114a67bb #d,-,18,2668,2334,1156,88,0,192515,11935,2668,2334,1159,2667,2333,1155,98,100,0,500,2707;
@400000005e1d731a1154d3f9 #d,-,18,2669,2331,1157,89,0,192507,11935,2669,2334,1157,2668,2331,1155,98,100,0,500,2707;
@400000005e1d731c11653794 #d,-,18,2669,2331,1187,89,0,192515,11935,2669,2332,1188,2669,2330,1156,98,100,0,500,2703;
@400000005e1d731c116f647d #d,-,18,2673,2331,1157,90,0,192506,11935,2673,2332,1187,2669,2331,1151,97,100,0,500,2735;
@400000005e1d731e11785e10 #d,-,18,2673,2331,1157,91,0,192498,11934,2673,2332,1159,2673,2329,1157,98,100,0,500,2703;
@400000005e1d731e117d85bf #d,-,18,2673,2330,1157,92,0,192490,11934,2673,2331,1158,2673,2329,1157,98,100,0,500,2705;
@400000005e1d7320118624fb #d,-,18,2673,2334,1157,92,0,192482,11933,2673,2334,1159,2673,2330,1156,98,100,0,500,2705;
@400000005e1d7320118c14e6 #d,-,18,2672,2333,1186,93,0,192488,11934,2673,2334,1186,2672,2332,1155,98,100,0,500,2705;
@400000005e1d73221194abc0 #d,-,18,2676,2334,1157,94,0,192483,11933,2676,2334,1186,2672,2332,1149,97,100,0,500,2733;
@400000005e1d7322119d5270 #d,-,18,2675,2334,1165,95,0,192481,11933,2676,2334,1168,2675,2333,1156,98,100,0,500,2703;
@400000005e1d732411a68e22 #d,-,18,2676,2333,1157,95,0,192475,11933,2676,2334,1165,2675,2332,1157,98,100,0,500,2717;
@400000005e1d732411ac23b7 #d,-,18,2676,2333,1159,96,0,192471,11933,2676,2334,1160,2676,2332,1157,98,100,0,500,2708;
@400000005e1d732611b4c2f3 #d,-,18,2676,2333,1187,97,0,192620,11942,2676,2333,1187,2676,2333,1158,98,100,0,500,2710;
@400000005e1d732611b9df75 #d,-,18,2680,2331,1159,97,0,192476,11933,2680,2333,1190,2676,2330,1150,97,100,0,500,2741;
@400000005e1d732811c9ae0d #d,-,18,2679,2333,1160,98,0,192472,11933,2680,2333,1161,2679,2330,1159,98,100,0,500,2707;
@400000005e1d732811d47fce #d,-,18,2679,2333,1168,99,0,192470,11933,2679,2333,1168,2679,2333,1158,98,100,0,500,2710;
