@400000005e12e71b3ab2a471 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e12e71c29037f74 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e12e7783369aa4e #d,-,18,3080,2367,1311,73,0,207354,12855,3080,2367,1342,3079,2366,1308,99,99,0,500,3109;
@400000005e12e77a33728c98 #d,-,18,3082,2366,1308,74,0,207270,12850,3082,2367,1311,3080,2365,1300,98,99,0,500,3128;
@400000005e12e77a337cd92b #d,-,18,3081,2368,1310,75,0,207412,12859,3082,2368,1311,3081,2366,1306,99,99,0,500,3105;
@400000005e12e77c338d1102 #d,-,18,3080,2366,1308,75,0,207551,12868,3081,2368,1310,3080,2366,1307,99,99,0,500,3105;
@400000005e12e77c339809e0 #d,-,18,3080,2368,1308,76,0,207687,12876,3080,2368,1310,3080,2366,1307,99,99,0,500,3105;
@400000005e12e77e33a613d9 #d,-,18,3079,2365,1321,77,0,207843,12886,3080,2368,1339,3079,2365,1307,99,99,0,500,3104;
@400000005e12e77e33b0878a #d,-,18,3082,2366,1309,78,0,207970,12894,3082,2366,1321,3079,2364,1302,98,99,0,500,3132;
@400000005e12e78033b96084 #d,-,18,3081,2364,1310,79,0,208097,12902,3082,2366,1311,3081,2364,1308,99,99,0,500,3105;
@400000005e12e78033c43e60 #d,-,18,3080,2364,1309,80,0,208224,12909,3081,2365,1311,3080,2363,1309,99,99,0,500,3105;
@400000005e12e78233cd4a93 #d,-,18,3080,2366,1308,80,0,208347,12917,3080,2367,1310,3080,2364,1308,99,99,0,500,3105;
@400000005e12e78233d48252 #d,-,18,3080,2365,1335,81,0,208489,12926,3080,2367,1341,3080,2364,1308,99,99,0,500,3105;
@400000005e12e78433dd5792 #d,-,18,3082,2365,1312,82,0,208808,12946,3082,2366,1335,3080,2357,1301,98,99,0,500,3134;
@400000005e12e78433e36727 #d,-,18,3082,2363,1311,83,0,208720,12940,3082,2365,1312,3082,2363,1307,99,99,0,500,3104;
@400000005e12e78633ec5c12 #d,-,18,3081,2364,1309,84,0,208833,12947,3082,2365,1311,3081,2363,1308,99,99,0,500,3105;
@400000005e12e78633f2e011 #d,-,18,3080,2366,1309,85,0,208943,12954,3081,2366,1311,3080,2363,1309,99,99,0,500,3104;
@400000005e12e78834010153 #d,-,18,3079,2365,1342,86,0,209069,12962,3080,2366,1342,3079,2363,1308,99,99,0,500,3104;
@400000005e12e788340b652f #d,-,18,3082,2364,1311,86,0,209176,12968,3082,2366,1342,3079,2363,1301,98,99,0,500,3134;
@400000005e12e78a341ae946 #d,-,18,3082,2364,1310,87,0,209278,12975,3082,2364,1311,3082,2363,1309,99,99,0,500,3102;
@400000005e12e78a3425171d #d,-,18,3081,2362,1310,88,0,209381,12981,3082,2365,1312,3081,2361,1309,99,99,0,500,3105;
@400000005e12e78c343080ac #d,-,18,3080,2364,1310,89,0,209671,12999,3081,2364,1312,3080,2361,1309,99,99,0,500,3105;
@400000005e12e78c343b65fc #d,-,18,3079,2362,1354,90,0,209597,12995,3080,2364,1354,3079,2361,1309,99,99,0,500,3104;
@400000005e12e78e34444758 #d,-,18,3085,2362,1313,91,0,209709,13002,3085,2363,1359,3079,2361,1305,97,99,0,500,3153;
@400000005e12e78e344c26b9 #d,-,18,3084,2364,1317,92,0,209811,13008,3085,2364,1317,3084,2361,1312,99,99,0,500,3107;
@400000005e12e790345beddf #d,-,18,3084,2362,1314,92,0,209910,13014,3084,2364,1317,3084,2361,1313,99,99,0,500,3114;
@400000005e12e79034662b8b #d,-,18,3084,2361,1313,93,0,210007,13020,3084,2364,1316,3084,2361,1313,99,99,0,500,3114;
@400000005e12e792346ed5f4 #d,-,18,3084,2362,1339,94,0,210108,13026,3084,2363,1339,3084,2361,1313,99,99,0,500,3111;
@400000005e12e79234794d5e #d,-,18,3088,2361,1316,95,0,210213,13033,3088,2363,1349,3084,2360,1307,98,99,0,500,3144;
@400000005e12e79434828557 #d,-,18,3087,2363,1315,96,0,210482,13049,3088,2363,1316,3087,2361,1312,99,99,0,500,3109;
@400000005e12e794348a2299 #d,-,18,3087,2361,1316,97,0,210573,13055,3087,2363,1316,3087,2361,1314,99,99,0,500,3114;
@400000005e12e796349aa4f1 #d,-,18,3086,2364,1314,98,0,210487,13050,3087,2364,1316,3086,2361,1314,99,99,0,500,3114;
@400000005e12e79634a4fd9f #d,-,18,3086,2362,1329,98,0,210578,13055,3086,2364,1329,3086,2362,1312,99,99,0,500,3114;
@400000005e12e79834b2e07b #d,-,18,3090,2361,1315,99,0,210679,13062,3090,2362,1348,3086,2360,1307,98,99,0,500,3146;
@400000005e12e79834bd20f2 #d,-,18,3089,2361,1315,100,0,210765,13067,3090,2361,1317,3089,2359,1315,99,99,0,500,3111;
@400000005e12e79a34c5fe94 #d,-,18,3089,2361,1315,101,0,210849,13072,3089,2362,1317,3089,2361,1314,99,99,0,500,3114;
@400000005e12e79a34cc020e #d,-,18,3088,2359,1315,102,0,210933,13077,3089,2361,1317,3088,2359,1315,99,99,0,500,3114;
@400000005e12e79c34da6570 #d,-,18,3088,2358,1320,103,0,211014,13082,3088,2360,1320,3088,2358,1313,99,99,0,500,3114;
@400000005e12e79c34e53ea4 #d,-,18,3091,2360,1314,104,0,211109,13088,3091,2360,1349,3088,2358,1309,98,99,0,500,3141;
@400000005e12e79e34f21bcc #d,-,18,3090,2358,1316,104,0,211188,13093,3091,2360,1318,3090,2358,1314,99,99,0,500,3114;
@400000005e12e79e34fc738c #d,-,18,3089,2359,1317,105,0,211267,13098,3090,2359,1318,3089,2358,1315,99,99,0,500,3114;
@400000005e12e7a035053272 #d,-,18,3089,2361,1316,106,0,211504,13113,3089,2361,1317,3089,2358,1316,99,99,0,500,3114;
@400000005e12e7a035103df1 #d,-,18,3089,2358,1316,107,0,211580,13117,3089,2361,1317,3089,2358,1315,99,99,0,500,3114;
@400000005e12e7a23520e855 #d,-,18,3092,2361,1310,108,0,211507,13113,3092,2361,1350,3089,2358,1308,98,99,0,500,3136;
@400000005e12e7a2352b38a1 #d,-,18,3029,2359,1303,109,0,211524,13114,3092,2361,1312,3029,2359,1242,98,99,0,500,3080;
@400000005e12e7a4353bb386 #d,-,18,3027,2359,1300,109,0,211567,13117,3029,2361,1308,3027,2359,1286,99,99,0,500,3038;
@400000005e12e7a43545e8d0 #d,-,18,3032,2361,1317,110,0,211646,13122,3032,2361,1332,3027,2359,1300,98,99,0,500,3088;
@400000005e12e7a6354e9b9b #d,-,18,3084,2360,1317,111,0,211717,13126,3084,2361,1319,3032,2359,1316,98,99,0,500,3116;
@400000005e12e7a635584bb8 #d,-,18,3087,2360,1305,112,0,211801,13131,3087,2361,1349,3084,2359,1305,98,99,0,500,3128;
@400000005e12e7a835614cbe #d,-,18,3087,2362,1306,113,0,211863,13135,3087,2362,1314,3087,2359,1305,98,99,0,500,3125;
@400000005e12e7a8356870ed #d,-,18,3084,2360,1308,114,0,211920,13139,3087,2363,1309,3084,2359,1306,99,99,0,500,3098;
@400000005e12e7aa35719bdc #d,-,18,3083,2361,1309,115,0,212135,13152,3084,2362,1319,3083,2359,1308,99,99,0,500,3104;
@400000005e12e7aa357898ee #d,-,18,3082,2361,1313,115,0,212043,13146,3083,2362,1313,3082,2360,1308,99,99,0,500,3105;
@400000005e12e7ac35817a4a #d,-,18,3083,2360,1306,116,0,212267,13160,3083,2361,1345,3082,2359,1306,99,99,0,500,3111;
@400000005e12e7ac358b84bd #d,-,18,3084,2361,1311,117,0,212176,13154,3084,2362,1314,3083,2360,1303,98,99,0,500,3127;
@400000005e12e7ae35967d9c #d,-,18,3083,2360,1311,118,0,212234,13158,3084,2362,1313,3083,2360,1310,99,99,0,500,3105;
@400000005e12e7ae35a0af2c #d,-,18,3082,2362,1311,119,0,212292,13162,3083,2362,1313,3082,2359,1310,99,99,0,500,3105;
@400000005e12e7b035b04b7b #d,-,18,3081,2364,1310,120,0,212347,13165,3082,2365,1311,3081,2362,1308,99,99,0,500,3104;
@400000005e12e7b035bb20f5 #d,-,18,3081,2362,1316,121,0,212419,13170,3081,2364,1342,3081,2361,1310,99,99,0,500,3107;
@400000005e12e7b235c440b7 #d,-,18,3083,2362,1311,121,0,212472,13173,3083,2362,1316,3081,2360,1303,98,99,0,500,3130;
@400000005e12e7b235ca72c2 #d,-,18,3082,2360,1312,122,0,212526,13176,3083,2363,1313,3082,2359,1310,99,99,0,500,3107;
@400000005e12e7b435daf8d3 #d,-,18,3083,2362,1311,123,0,212729,13189,3083,2362,1331,3082,2359,1311,98,99,0,500,3116;
@400000005e12e7b435e58fe7 #d,-,18,3083,2360,1317,124,0,212644,13183,3083,2362,1317,3083,2359,1311,99,99,0,500,3114;
@400000005e12e7b635f640d0 #d,-,18,3083,2362,1332,125,0,212855,13197,3083,2362,1348,3083,2359,1315,99,99,0,500,3114;
@400000005e12e7b63600a59a #d,-,18,3087,2358,1318,126,0,212908,13200,3087,2362,1332,3083,2358,1308,98,99,0,500,3141;
@400000005e12e7b8360a2adf #d,-,18,3086,2358,1317,127,0,212823,13195,3087,2359,1318,3086,2357,1315,99,99,0,500,3112;
@400000005e12e7b8361513e8 #d,-,18,3086,2357,1317,127,0,212878,13198,3086,2358,1319,3086,2356,1316,99,99,0,500,3114;
@400000005e12e7ba361eb076 #d,-,18,3086,2360,1316,128,0,212931,13201,3086,2360,1319,3086,2357,1315,99,99,0,500,3112;
@400000005e12e7ba3625cd33 #d,-,18,3086,2358,1347,129,0,212996,13205,3086,2360,1350,3086,2356,1314,99,99,0,500,3114;
@400000005e12e7bc362ed966 #d,-,18,3089,2354,1319,130,0,213046,13208,3089,2358,1347,3086,2354,1309,98,99,0,500,3139;
@400000005e12e7bc36360d6a #d,-,18,3088,2356,1319,131,0,213231,13220,3089,2357,1320,3088,2354,1318,99,99,0,500,3114;
@400000005e12e7be363f30e6 #d,-,18,3088,2355,1318,132,0,213148,13215,3088,2356,1321,3088,2353,1318,99,99,0,500,3112;
@400000005e12e7be36484cee #d,-,18,3088,2357,1318,132,0,213199,13218,3088,2358,1319,3088,2354,1317,99,99,0,500,3114;
@400000005e12e7c0365817cd #d,-,18,3087,2356,1350,133,0,213391,13230,3088,2359,1350,3087,2356,1316,99,99,0,500,3116;
@400000005e12e7c03662ed48 #d,-,18,3091,2359,1320,134,0,213311,13225,3091,2359,1350,3087,2356,1310,98,99,0,500,3144;
@400000005e12e7c2366c1cdf #d,-,18,3090,2361,1315,135,0,213359,13228,3091,2362,1320,3090,2359,1314,99,99,0,500,3114;
@400000005e12e7c2367655e3 #d,-,18,3089,2363,1316,136,0,213406,13231,3090,2363,1316,3089,2360,1313,99,99,0,500,3111;
@400000005e12e7c43680e1ca #d,-,18,3089,2363,1314,137,0,213452,13234,3089,2363,1316,3089,2360,1313,99,99,0,500,3116;
@400000005e12e7c4368b51c1 #d,-,18,3088,2362,1343,138,0,213504,13237,3089,2364,1343,3088,2361,1313,99,99,0,500,3111;
@400000005e12e7c6369b37a2 #d,-,18,3091,2364,1316,138,0,213681,13248,3091,2364,1346,3088,2362,1306,98,99,0,500,3143;
@400000005e12e7c636a5657a #d,-,18,3090,2361,1316,139,0,213726,13251,3091,2364,1316,3090,2360,1314,99,99,0,500,3111;
@400000005e12e7c836b43e34 #d,-,18,3089,2363,1314,140,0,213769,13253,3090,2363,1316,3089,2360,1314,99,99,0,500,3114;
@400000005e12e7c836bed0a0 #d,-,18,3089,2362,1315,141,0,213688,13248,3089,2363,1316,3089,2361,1314,99,99,0,500,3114;
@400000005e12e7ca36cd7356 #d,-,18,3088,2364,1336,142,0,213736,13251,3089,2364,1336,3088,2361,1314,99,99,0,500,3114;
@400000005e12e7ca36d7e707 #d,-,18,3092,2362,1315,143,0,213786,13254,3092,2364,1345,3088,2362,1307,98,99,0,500,3144;
@400000005e12e7cc36e81edd #d,-,18,3090,2363,1314,144,0,213829,13257,3092,2363,1316,3090,2361,1314,99,99,0,500,3111;
@400000005e12e7cc36f267b6 #d,-,18,3090,2361,1314,144,0,213871,13260,3090,2363,1316,3090,2361,1313,99,99,0,500,3114;
@400000005e12e7ce3701f7e9 #d,-,18,3089,2361,1313,145,0,213912,13262,3090,2362,1315,3089,2361,1313,99,99,0,500,3112;
@400000005e12e7ce370cc5f0 #d,-,18,3088,2362,1326,146,0,213953,13265,3089,2364,1326,3088,2361,1313,99,99,0,500,3112;
@400000005e12e7d0371d4847 #d,-,18,3092,2361,1314,147,0,214004,13268,3092,2362,1347,3088,2360,1307,98,99,0,500,3143;
@400000005e12e7d03727cf87 #d,-,18,3090,2362,1317,148,0,214044,13270,3092,2362,1318,3090,2360,1314,99,99,0,500,3112;
@400000005e12e7d237331a5a #d,-,18,3089,2360,1316,149,0,214083,13273,3090,2362,1317,3089,2359,1314,99,99,0,500,3112;
@400000005e12e7d2373d6b95 #d,-,18,3089,2361,1317,150,0,214122,13275,3089,2362,1317,3089,2359,1314,99,99,0,500,3112;
@400000005e12e7d4374b522b #d,-,18,3088,2361,1316,150,0,214161,13278,3089,2362,1317,3088,2361,1315,99,99,0,500,3114;
@400000005e12e7d437563eed #d,-,18,3092,2360,1312,151,0,214210,13281,3092,2361,1347,3088,2360,1307,98,99,0,500,3139;
@400000005e12e7d637621574 #d,-,18,3090,2362,1314,152,0,214248,13283,3092,2363,1316,3090,2360,1312,99,99,0,500,3116;
@400000005e12e7d6376c3bd7 #d,-,18,3089,2362,1315,153,0,214285,13285,3090,2362,1316,3089,2360,1314,99,99,0,500,3112;
@400000005e12e7d8377a7f8f #d,-,18,3088,2361,1313,154,0,214321,13287,3089,2363,1315,3088,2361,1313,99,99,0,500,3112;
@400000005e12e7d837856898 #d,-,18,3088,2364,1314,155,0,214357,13290,3088,2364,1314,3088,2361,1313,99,99,0,500,3111;
@400000005e12e7da3792a3d0 #d,-,18,3090,2363,1307,156,0,214403,13293,3090,2365,1348,3088,2361,1306,98,99,0,500,3128;
@400000005e12e7da379d07ac #d,-,18,3089,2363,1313,157,0,214438,13295,3090,2364,1316,3089,2360,1307,98,99,0,500,3123;
