@400000005e328b663529dd3f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e328b672389b72c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e328bbb2e0bc3ae #d,-,18,4634,2367,2007,82,0,259041,16060,4634,2368,2008,4633,2365,2003,96,100,0,501,4792;
@400000005e328bbb2e164734 #d,-,18,4636,2368,2007,84,0,259938,16116,4636,2368,2012,4634,2366,2006,96,100,0,501,4792;
@400000005e328bbd2e274746 #d,-,18,4638,2367,2005,85,0,260812,16170,4638,2368,2012,4636,2364,2005,96,100,0,501,4796;
@400000005e328bbd2e31e987 #d,-,18,4639,2366,2006,86,0,261663,16223,4639,2367,2008,4638,2365,2002,96,100,0,501,4792;
@400000005e328bbf2e42f4c6 #d,-,18,4640,2365,2006,87,0,262497,16274,4640,2368,2009,4639,2365,2004,96,100,0,501,4789;
@400000005e328bbf2e4df8d2 #d,-,18,4642,2365,2005,89,0,263311,16325,4642,2367,2009,4640,2364,2003,96,100,0,501,4794;
@400000005e328bc12e5f9ccd #d,-,18,4642,2367,2005,90,0,264109,16374,4642,2367,2011,4642,2364,2003,96,100,0,501,4792;
@400000005e328bc12e6a4771 #d,-,18,4644,2365,2017,91,0,264902,16423,4644,2368,2022,4642,2365,2005,96,100,0,500,4796;
@400000005e328bc32e7b69f8 #d,-,18,4647,2366,2015,93,0,265680,16472,4647,2367,2019,4644,2365,2013,96,100,0,500,4815;
@400000005e328bc32e863f73 #d,-,18,4650,2368,2012,94,0,266436,16519,4650,2368,2015,4647,2365,2010,96,100,0,500,4808;
@400000005e328bc52e973e96 #d,-,18,4651,2368,2009,95,0,267172,16564,4651,2368,2015,4650,2366,2008,96,100,0,501,4806;
@400000005e328bc52ea21057 #d,-,18,4652,2366,2013,97,0,267897,16609,4652,2369,2014,4651,2366,2009,96,100,0,501,4804;
@400000005e328bc72eb30bc1 #d,-,18,4654,2365,2012,98,0,268601,16653,4654,2367,2014,4652,2365,2010,96,100,0,501,4806;
@400000005e328bc72ebe0859 #d,-,18,4654,2366,2014,99,0,269294,16696,4654,2367,2014,4654,2365,2011,96,100,0,501,4801;
@400000005e328bc92ecf3ab6 #d,-,18,4655,2367,2016,100,0,270252,16755,4655,2367,2016,4654,2364,2012,96,100,0,501,4806;
@400000005e328bc92eda13ea #d,-,18,4656,2366,2013,102,0,270636,16779,4656,2367,2016,4655,2364,2009,96,100,0,501,4806;
@400000005e328bcb2eeb59d5 #d,-,18,4657,2366,2013,103,0,271287,16819,4657,2367,2017,4656,2365,2010,97,100,0,501,4801;
@400000005e328bcb2ef5f94c #d,-,18,4657,2365,2013,104,0,271923,16859,4657,2366,2016,4657,2363,2011,97,100,0,501,4801;
@400000005e328bcd2f076a0e #d,-,18,4657,2366,2011,105,0,272817,16914,4657,2366,2018,4657,2363,2011,96,100,0,501,4804;
@400000005e328bcd2f11ba5b #d,-,18,4658,2365,2015,107,0,273429,16952,4658,2366,2017,4657,2363,2010,96,100,0,501,4804;
@400000005e328bcf2f22b5c5 #d,-,18,4658,2365,2012,108,0,273760,16973,4658,2366,2017,4658,2363,2008,96,100,0,501,4804;
@400000005e328bcf2f2d58f5 #d,-,18,4658,2364,2012,109,0,274348,17009,4658,2366,2014,4658,2363,2010,97,100,0,501,4799;
@400000005e328bd12f3e7f36 #d,-,18,4658,2363,2015,111,0,274925,17045,4658,2365,2016,4658,2363,2010,97,100,0,501,4801;
@400000005e328bd12f494983 #d,-,18,4659,2363,2011,112,0,275753,17096,4659,2366,2015,4658,2363,2008,96,100,0,501,4804;
@400000005e328bd32f5ad18f #d,-,18,4659,2365,2012,113,0,276306,17131,4659,2366,2014,4659,2363,2010,97,100,0,501,4801;
@400000005e328bd32f65f8fe #d,-,18,4659,2365,2013,114,0,276593,17148,4659,2366,2015,4659,2363,2011,97,100,0,501,4801;
@400000005e328bd52f771f3f #d,-,18,4659,2363,2014,116,0,277130,17182,4659,2365,2016,4659,2363,2011,96,100,0,501,4806;
@400000005e328bd52f81e4e5 #d,-,18,4659,2363,2014,117,0,277656,17214,4659,2365,2015,4659,2362,2010,97,100,0,501,4801;
@400000005e328bd72f933332 #d,-,18,4659,2367,2008,118,0,278171,17246,4659,2367,2014,4659,2363,2007,97,100,0,501,4801;
@400000005e328bd72f9e08ac #d,-,18,4660,2365,2015,120,0,278680,17278,4660,2367,2015,4659,2364,2008,97,100,0,501,4801;
@400000005e328bd92fafdef3 #d,-,18,4660,2363,2010,121,0,279425,17324,4660,2366,2016,4660,2363,2010,96,100,0,501,4806;
@400000005e328bd92fbac442 #d,-,18,4660,2363,2015,122,0,279668,17339,4660,2365,2018,4660,2362,2010,97,100,0,501,4801;
@400000005e328bdb2fcbd33b #d,-,18,4660,2366,2013,124,0,280148,17369,4660,2366,2017,4660,2362,2008,96,100,0,501,4806;
@400000005e328bdb2fd6ac6f #d,-,18,4660,2366,2012,125,0,280622,17398,4660,2366,2015,4660,2363,2008,97,100,0,501,4801;
@400000005e328bdd2fe87b42 #d,-,18,4660,2365,2014,126,0,281087,17427,4660,2366,2014,4660,2364,2009,97,100,0,501,4799;
@400000005e328bdd2ff2f666 #d,-,18,4660,2364,2013,127,0,281544,17455,4660,2366,2016,4660,2364,2011,97,100,0,501,4804;
@400000005e328bdf300434de #d,-,18,4660,2364,2012,129,0,281992,17483,4660,2366,2014,4660,2364,2007,97,100,0,501,4804;
@400000005e328bdf300f2dbc #d,-,18,4660,2366,2011,130,0,282669,17525,4660,2367,2015,4660,2364,2009,97,100,0,501,4804;
@400000005e328be13020a5f2 #d,-,18,4660,2367,2010,131,0,282871,17538,4660,2367,2018,4660,2364,2010,97,100,0,501,4804;
@400000005e328be1302b8efc #d,-,18,4661,2366,2017,133,0,283299,17564,4661,2367,2017,4660,2364,2008,96,100,0,501,4806;
@400000005e328be3303cdc5b #d,-,18,4661,2365,2016,134,0,283722,17590,4661,2367,2018,4661,2365,2009,97,100,0,501,4804;
@400000005e328be330478e71 #d,-,18,4661,2365,2015,135,0,284139,17616,4661,2367,2017,4661,2365,2010,96,100,0,501,4808;
@400000005e328be530587eae #d,-,18,4662,2366,2013,136,0,284777,17656,4662,2367,2017,4661,2365,2011,96,100,0,501,4808;
@400000005e328be5306348fc #d,-,18,4662,2367,2014,138,0,285177,17681,4662,2368,2015,4662,2365,2010,96,100,0,501,4808;
@400000005e328be7307467c9 #d,-,18,4663,2368,2013,139,0,285351,17691,4663,2368,2018,4662,2366,2012,96,100,0,501,4808;
@400000005e328be7307ec7eb #d,-,18,4664,2367,2011,140,0,285741,17715,4664,2369,2018,4663,2367,2009,96,100,0,501,4815;
@400000005e328be930902c92 #d,-,18,4664,2368,2012,142,0,286127,17739,4664,2369,2015,4664,2367,2009,97,100,0,501,4806;
@400000005e328be9309af238 #d,-,18,4664,2366,2014,143,0,286727,17777,4664,2369,2017,4664,2366,2011,97,100,0,501,4808;
@400000005e328beb30ac99ed #d,-,18,4665,2367,2015,144,0,286882,17786,4665,2369,2018,4664,2366,2013,96,100,0,501,4815;
@400000005e328beb30b79a3f #d,-,18,4665,2366,2012,146,0,287249,17809,4665,2368,2017,4665,2366,2011,96,100,0,501,4811;
@400000005e328bed30c8ec46 #d,-,18,4665,2367,2012,147,0,287613,17832,4665,2368,2017,4665,2366,2010,96,100,0,501,4811;
@400000005e328bed30d3a216 #d,-,18,4666,2365,2015,148,0,287970,17854,4666,2368,2016,4665,2365,2009,97,100,0,501,4808;
@400000005e328bef30e507ac #d,-,18,4666,2366,2017,149,0,288534,17889,4666,2368,2017,4666,2365,2011,97,100,0,501,4808;
@400000005e328bef30efe49a #d,-,18,4666,2367,2016,151,0,288881,17910,4666,2367,2019,4666,2364,2011,96,100,0,501,4813;
@400000005e328bf131020561 #d,-,18,4666,2367,2012,152,0,289010,17918,4666,2367,2020,4666,2365,2011,96,100,0,501,4811;
@400000005e328bf1310cd722 #d,-,18,4667,2367,2015,153,0,289347,17939,4667,2367,2019,4666,2364,2012,97,100,0,501,4811;
@400000005e328bf3311e0d39 #d,-,18,4667,2366,2015,155,0,289680,17960,4667,2367,2018,4667,2365,2013,97,100,0,501,4811;
@400000005e328bf331294faa #d,-,18,4667,2366,2015,156,0,290008,17980,4667,2366,2019,4667,2364,2013,96,100,0,501,4813;
@400000005e328bf5313b2237 #d,-,18,4667,2364,2016,157,0,290329,18000,4667,2366,2018,4667,2364,2010,97,100,0,501,4811;
@400000005e328bf53145ec84 #d,-,18,4667,2364,2016,159,0,290647,18020,4667,2367,2019,4667,2364,2010,97,100,0,501,4808;
@400000005e328bf7315754e5 #d,-,18,4667,2365,2016,160,0,290961,18039,4667,2367,2020,4667,2364,2012,97,100,0,501,4811;
@400000005e328bf7316206fc #d,-,18,4667,2365,2017,161,1,291270,18058,4667,2367,2018,4667,2364,2010,97,100,0,501,4811;
@400000005e328bf931735549 #d,-,18,4667,2365,2016,162,1,291573,18077,4667,2367,2018,4667,2365,2009,97,100,0,501,4808;
@400000005e328bf9317e1ea8 #d,-,18,4667,2364,2014,164,1,292073,18108,4667,2367,2019,4667,2363,2011,97,100,0,501,4808;
@400000005e328bfb318f70af #d,-,18,4667,2364,2014,165,1,292366,18126,4667,2366,2016,4667,2363,2011,97,100,0,501,4806;
@400000005e328bfb319a2a39 #d,-,18,4666,2365,2019,166,1,292459,18132,4667,2366,2019,4666,2364,2010,97,100,0,501,4806;
@400000005e328bfd31ab7886 #d,-,18,4666,2365,2009,168,1,292747,18150,4666,2366,2020,4666,2364,2009,96,100,0,501,4811;
@400000005e328bfd31b5fb1d #d,-,18,4666,2365,2013,169,1,293030,18167,4666,2367,2018,4666,2364,2008,97,100,0,501,4806;
@400000005e328bff31c73222 #d,-,18,4666,2365,2009,170,1,293502,18197,4666,2367,2016,4666,2364,2009,97,100,0,501,4804;
@400000005e328bff31d1f7c7 #d,-,18,4665,2365,2014,171,1,293777,18214,4666,2367,2015,4665,2365,2009,97,100,0,501,4804;
@400000005e328c0131e2d82f #d,-,18,4665,2365,2016,173,1,293856,18219,4665,2367,2018,4665,2365,2010,97,100,0,501,4808;
@400000005e328c0131ed8a46 #d,-,18,4665,2364,2014,174,1,294125,18235,4665,2367,2019,4665,2363,2009,97,100,0,501,4806;
@400000005e328c033209340d #d,-,18,4664,2364,2013,175,1,294388,18252,4665,2365,2017,4664,2362,2010,97,100,0,501,4804;
@400000005e328c03321f545b #d,-,18,4664,2366,1699,177,1,294561,18262,4664,2366,2016,4664,2362,1699,97,100,0,501,4801;
@400000005e328c053235688d #d,-,18,3936,2364,1672,178,1,294415,18253,4664,2366,1844,3936,2364,1512,93,100,0,501,4216;
@400000005e328c05323f14f0 #d,-,18,3627,2366,1192,178,1,293816,18216,3936,2368,1672,3627,2364,1055,94,100,0,501,3848;
@400000005e328c07324edc15 #d,-,18,2551,2368,1241,179,1,293373,18189,3627,2368,1259,2551,2365,1178,89,100,0,501,2846;
@400000005e328c073258140e #d,-,18,2717,2365,1242,180,1,292760,18151,2717,2368,1242,2551,2364,1231,91,100,0,501,2964;
@400000005e328c09326546e5 #d,-,18,2712,2364,1213,181,1,291946,18100,2717,2366,1254,2712,2363,1171,92,100,0,501,2936;
@400000005e328c09326e4f5e #d,-,18,2708,2364,1212,181,1,291322,18061,2712,2365,1222,2708,2363,1206,92,100,0,501,2929;
@400000005e328c0b327bff01 #d,-,18,2649,2362,1211,182,1,290702,18023,2708,2364,1215,2649,2361,1207,91,100,0,501,2900;
@400000005e328c0b32848aae #d,-,18,2649,2362,1212,183,1,290090,17985,2649,2363,1218,2649,2360,1209,91,100,0,501,2903;
@400000005e328c0d32912881 #d,-,18,2650,2363,1205,184,1,289484,17948,2650,2363,1217,2649,2360,1205,91,100,0,501,2907;
@400000005e328c0d3299df06 #d,-,18,2649,2361,1205,184,1,288880,17910,2650,2363,1208,2649,2360,1202,91,100,0,501,2893;
@400000005e328c0f32a77c08 #d,-,18,2647,2360,1199,185,1,288281,17873,2649,2361,1208,2647,2359,1199,91,100,0,501,2886;
@400000005e328c0f32b01b44 #d,-,18,2644,2360,1202,186,1,287685,17836,2647,2360,1204,2644,2358,1196,92,100,0,501,2872;
@400000005e328c1132bda010 #d,-,18,2642,2360,1205,187,1,287268,17810,2644,2361,1205,2642,2358,1200,91,100,0,501,2877;
@400000005e328c1132c651ec #d,-,18,2640,2358,1194,187,1,286513,17763,2642,2361,1205,2640,2358,1194,91,100,0,501,2879;
@400000005e328c1332d39cfa #d,-,18,2636,2359,1204,188,1,285934,17727,2640,2361,1204,2636,2358,1192,91,100,0,501,2867;
@400000005e328c1332dc820f #d,-,18,2633,2357,1194,189,1,285362,17692,2636,2360,1204,2633,2357,1194,91,100,0,501,2867;
@400000005e328c1532e9fbad #d,-,18,2631,2356,1195,189,1,284794,17657,2633,2358,1201,2631,2356,1190,91,100,0,501,2865;
@400000005e328c1532f27ef9 #d,-,18,2627,2355,1192,190,1,284229,17622,2631,2357,1197,2627,2355,1189,92,100,0,501,2851;
@400000005e328c17330172b5 #d,-,18,2625,2357,1197,191,1,283838,17597,2627,2357,1200,2625,2354,1192,91,100,0,501,2860;
@400000005e328c17330a5411 #d,-,18,2623,2359,1192,192,1,283125,17553,2625,2359,1198,2623,2356,1192,91,100,0,501,2858;
@400000005e328c193317bdda #d,-,18,2620,2362,1189,192,1,282576,17519,2623,2362,1192,2620,2359,1184,91,100,0,501,2853;
@400000005e328c1933204d41 #d,-,18,2616,2362,1193,193,1,282037,17486,2620,2362,1196,2616,2360,1187,91,100,0,501,2848;
@400000005e328c1b332daaef #d,-,18,2614,2361,1189,194,1,281504,17453,2616,2363,1194,2614,2361,1188,91,100,0,501,2858;
@400000005e328c1b333690f3 #d,-,18,2612,2361,1190,195,1,280975,17420,2614,2364,1194,2612,2361,1187,91,100,0,501,2853;
@400000005e328c1d3344294d #d,-,18,2611,2363,1187,195,1,280451,17388,2612,2363,1194,2611,2361,1185,91,100,0,501,2853;
@400000005e328c1d334cb8b4 #d,-,18,2608,2362,1184,196,1,279930,17355,2611,2364,1190,2608,2361,1182,91,100,0,501,2846;
@400000005e328c1f3359e7d1 #d,-,18,2605,2363,1186,197,1,279566,17333,2608,2363,1191,2605,2361,1183,91,100,0,501,2839;
@400000005e328c1f3362d45a #d,-,18,2603,2366,1185,197,1,278903,17292,2605,2366,1192,2603,2362,1182,91,100,0,501,2846;
@400000005e328c2133706187 #d,-,18,2601,2367,1185,198,1,278400,17260,2603,2368,1189,2601,2366,1182,91,100,0,501,2843;
@400000005e328c213378ed34 #d,-,18,2599,2367,1184,199,1,277901,17229,2601,2369,1188,2599,2366,1179,91,100,0,501,2846;
@400000005e328c233385fca7 #d,-,18,2597,2366,1184,200,1,277555,17208,2599,2368,1188,2597,2365,1180,91,100,0,501,2843;
@400000005e328c23338ee664 #d,-,18,2596,2367,1186,200,1,276917,17168,2597,2368,1186,2596,2365,1183,91,100,0,501,2843;
@400000005e328c25339c8278 #d,-,18,2594,2367,1178,201,1,276433,17138,2596,2368,1188,2594,2365,1178,91,100,0,501,2843;
