@400000005e5e06ef1ed98db7 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5e06f00d371663 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5e075e193f597d #d,-,18,4552,2385,1956,111,0,266617,16530,4552,2385,1958,4551,2382,1952,96,100,0,499,4713;
@400000005e5e075e194a6142 #d,-,18,4552,2382,1952,112,0,266928,16549,4552,2385,1960,4552,2382,1949,96,100,0,499,4713;
@400000005e5e0760195be593 #d,-,18,4553,2381,1953,113,0,267477,16583,4553,2382,1961,4552,2381,1952,96,100,0,499,4713;
@400000005e5e07601966bb0e #d,-,18,4554,2382,1956,115,0,268015,16616,4554,2383,1958,4553,2381,1952,96,100,0,499,4713;
@400000005e5e07621977d622 #d,-,18,4554,2382,1956,116,0,268542,16649,4554,2383,1960,4554,2380,1953,96,100,0,499,4713;
@400000005e5e0762198259a7 #d,-,18,4554,2383,1954,117,0,269059,16681,4554,2383,1961,4554,2381,1950,96,100,0,499,4711;
@400000005e5e07641992a153 #d,-,18,4555,2382,1953,119,0,269569,16713,4555,2384,1961,4554,2381,1951,96,100,0,499,4716;
@400000005e5e0764199d114a #d,-,18,4555,2382,1954,120,0,270069,16744,4555,2384,1958,4555,2380,1952,96,100,0,499,4713;
@400000005e5e076619ae24ea #d,-,18,4555,2382,1955,121,0,270562,16774,4555,2383,1959,4555,2381,1951,96,100,0,499,4713;
@400000005e5e076619b8fe1f #d,-,18,4555,2381,1957,122,0,271276,16819,4555,2382,1960,4555,2380,1951,96,100,0,499,4713;
@400000005e5e076819ca6b28 #d,-,18,4555,2382,1955,124,0,271520,16834,4555,2383,1959,4555,2380,1954,96,100,0,499,4711;
@400000005e5e076819d56b79 #d,-,18,4555,2381,1956,125,0,271986,16863,4555,2383,1957,4555,2380,1952,96,100,0,499,4711;
@400000005e5e076a19e63c0c #d,-,18,4554,2381,1955,126,0,272444,16891,4555,2383,1958,4554,2381,1951,96,100,0,499,4711;
@400000005e5e076a19f0f1dc #d,-,18,4555,2380,1955,127,0,272894,16919,4555,2383,1958,4554,2380,1952,96,100,0,499,4711;
@400000005e5e076c1a026b01 #d,-,18,4554,2383,1954,129,0,273338,16946,4555,2383,1959,4554,2380,1951,96,100,0,499,4709;
@400000005e5e076c1a0d72c6 #d,-,18,4554,2382,1955,130,0,273774,16974,4554,2383,1958,4554,2381,1952,96,100,0,499,4711;
@400000005e5e076e1a1efad1 #d,-,18,4554,2383,1951,131,0,274205,17000,4554,2384,1959,4554,2381,1949,96,100,0,499,4709;
@400000005e5e076e1a29fb23 #d,-,18,4555,2382,1955,132,0,274627,17026,4555,2384,1960,4554,2381,1949,96,100,0,499,4713;
@400000005e5e07701a3bb2ad #d,-,18,4554,2384,1955,134,0,275044,17052,4555,2384,1957,4554,2382,1950,96,100,0,499,4709;
@400000005e5e07701a46ddd6 #d,-,18,4555,2383,1959,135,0,275670,17091,4555,2385,1960,4554,2381,1948,96,100,0,499,4711;
@400000005e5e07721a589561 #d,-,18,4555,2382,1960,136,0,275858,17103,4555,2384,1960,4555,2380,1950,96,100,0,499,4709;
@400000005e5e07721a6402aa #d,-,18,4554,2380,1955,138,0,276255,17127,4555,2382,1960,4554,2380,1951,96,100,0,499,4709;
@400000005e5e07741a7738fa #d,-,18,4554,2383,1953,139,0,276647,17152,4554,2383,1958,4554,2380,1952,96,100,0,499,4711;
@400000005e5e07741a8273f8 #d,-,18,4555,2381,1955,140,0,277032,17176,4555,2384,1958,4554,2381,1951,96,100,0,499,4711;
@400000005e5e07761a945a14 #d,-,18,4555,2384,1954,141,0,277411,17199,4555,2384,1960,4555,2381,1950,96,100,0,499,4711;
@400000005e5e07761a9fb876 #d,-,18,4555,2384,1954,143,0,277785,17222,4555,2385,1956,4555,2382,1951,96,100,0,499,4711;
@400000005e5e07781ab207ce #d,-,18,4555,2384,1951,144,0,278154,17245,4555,2386,1958,4555,2383,1949,96,100,0,499,4709;
@400000005e5e07781abdda9b #d,-,18,4555,2384,1953,145,0,278515,17267,4555,2385,1956,4555,2383,1949,96,100,0,499,4711;
@400000005e5e077a1acffb63 #d,-,18,4555,2386,1952,146,0,278872,17290,4555,2386,1956,4555,2383,1948,96,100,0,499,4709;
@400000005e5e077a1adafbb4 #d,-,18,4554,2386,1951,148,0,279224,17311,4555,2386,1957,4554,2384,1949,96,100,0,499,4711;
@400000005e5e077c1aed3c26 #d,-,18,4554,2386,1952,149,0,279570,17333,4554,2386,1956,4554,2384,1948,96,100,0,499,4709;
@400000005e5e077c1af87ade #d,-,18,4554,2386,1951,150,0,280112,17366,4554,2386,1956,4554,2384,1948,96,100,0,499,4709;
@400000005e5e077e1b0b248d #d,-,18,4554,2386,1950,151,0,280246,17375,4554,2387,1955,4554,2383,1948,96,100,0,499,4709;
@400000005e5e077e1b164755 #d,-,18,4553,2386,1949,153,0,280578,17395,4554,2386,1956,4553,2384,1949,96,100,0,499,4706;
@400000005e5e07801b2900d9 #d,-,18,4553,2385,1949,154,0,280904,17416,4553,2386,1955,4553,2384,1949,96,100,0,499,4709;
@400000005e5e07801b34a15b #d,-,18,4553,2385,1953,155,0,281226,17436,4553,2386,1955,4553,2384,1947,96,100,0,499,4709;
@400000005e5e07821b4759f1 #d,-,18,4552,2384,1950,156,0,281737,17467,4553,2386,1956,4552,2383,1945,96,100,0,499,4704;
@400000005e5e07821b52a4c4 #d,-,18,4552,2386,1952,158,0,281855,17475,4552,2387,1957,4552,2383,1945,96,100,0,499,4709;
@400000005e5e07841b627805 #d,-,18,4552,2387,1948,159,0,282162,17494,4552,2387,1954,4552,2385,1946,96,100,0,499,4706;
@400000005e5e07841b6cdf9a #d,-,18,4552,2387,1950,160,0,282467,17512,4552,2387,1955,4552,2385,1946,96,100,0,499,4709;
@400000005e5e07861b7d61f2 #d,-,18,4552,2388,1950,162,1,282957,17543,4552,2388,1952,4552,2385,1947,96,100,0,499,4706;
@400000005e5e07861b87af73 #d,-,18,4552,2386,1951,163,1,283063,17549,4552,2388,1953,4552,2385,1947,96,100,0,499,4709;
@400000005e5e07881b9883bf #d,-,18,4551,2387,1948,164,1,283354,17567,4552,2388,1952,4551,2385,1946,96,100,0,499,4709;
