@400000005e81963533d3752b #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8196362223c746 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e81968c2bfebe00 #d,-,18,2577,2400,1120,59,0,180811,11210,2854,2400,1151,2577,2398,1086,89,100,0,500,2893;
@400000005e81968e2c0c8131 #d,-,18,2443,2400,1126,60,0,180743,11206,2577,2401,1126,2443,2399,1117,89,100,0,500,2744;
@400000005e81968e2c15180c #d,-,18,2442,2399,1120,60,0,180676,11201,2443,2401,1126,2442,2399,1119,89,100,0,500,2734;
@400000005e8196902c22286d #d,-,18,2442,2398,1123,61,0,180614,11198,2442,2400,1125,2442,2398,1120,89,100,0,500,2739;
@400000005e8196902c2b060f #d,-,18,2441,2397,1122,62,0,180548,11194,2442,2399,1124,2441,2397,1119,89,100,0,500,2734;
@400000005e8196922c38343d #d,-,18,2441,2399,1120,62,0,180486,11190,2441,2400,1126,2441,2397,1119,89,100,0,500,2737;
@400000005e8196922c4148d2 #d,-,18,2440,2396,1123,63,0,180622,11198,2441,2400,1124,2440,2396,1118,89,100,0,500,2734;
@400000005e8196942c4e3989 #d,-,18,2439,2396,1120,64,0,180557,11194,2440,2397,1125,2439,2396,1118,89,100,0,500,2737;
@400000005e8196942c56f00d #d,-,18,2439,2397,1121,64,0,180301,11178,2439,2397,1123,2439,2394,1119,89,100,0,500,2732;
@400000005e8196962c646d65 #d,-,18,2439,2398,1129,65,0,180252,11175,2439,2398,1131,2439,2396,1120,89,100,0,500,2732;
@400000005e8196962c6d5635 #d,-,18,2441,2398,1122,66,0,180208,11172,2441,2399,1132,2439,2397,1122,88,100,0,500,2746;
@400000005e8196982c7b1966 #d,-,18,2440,2401,1119,66,0,180145,11169,2441,2401,1122,2440,2398,1115,89,100,0,500,2739;
@400000005e8196982c83b12f #d,-,18,2438,2400,1039,67,0,179972,11158,2440,2401,1120,2438,2399,1013,89,100,0,500,2727;
@400000005e81969a2c909d3e #d,-,18,2290,2398,1120,68,0,179913,11154,2438,2402,1140,2290,2398,1039,88,100,0,500,2599;
@400000005e81969a2c99a1fd #d,-,18,2423,2401,1115,68,0,179854,11150,2423,2401,1120,2290,2398,1115,88,100,0,500,2723;
@400000005e81969c2ca74de6 #d,-,18,2423,2399,1120,69,0,179796,11147,2423,2401,1120,2423,2398,1113,88,100,0,500,2727;
@400000005e81969c2cafe5af #d,-,18,2423,2400,1119,70,0,179739,11143,2423,2400,1120,2423,2397,1115,88,100,0,500,2723;
@400000005e81969e2cbcca4a #d,-,18,2423,2400,1119,70,0,179683,11140,2423,2400,1122,2423,2399,1113,88,100,0,500,2725;
@400000005e81969e2cc63847 #d,-,18,2423,2398,1116,71,0,179626,11136,2423,2400,1121,2423,2397,1112,88,100,0,500,2725;
@400000005e8196a02cd3c486 #d,-,18,2423,2400,1115,72,0,179742,11144,2423,2401,1121,2423,2397,1111,88,100,0,500,2723;
@400000005e8196a02cdc6c24 #d,-,18,2423,2399,1113,72,0,179515,11129,2423,2401,1119,2423,2398,1112,89,100,0,500,2720;
@400000005e8196a22ce9f4a9 #d,-,18,2423,2400,1116,73,0,179459,11126,2423,2400,1117,2423,2398,1112,89,100,0,500,2718;
@400000005e8196a22cf2a774 #d,-,18,2422,2401,1112,74,0,179406,11123,2423,2403,1121,2422,2400,1112,89,100,0,500,2720;
@400000005e8196a42cff9be4 #d,-,18,2422,2403,1121,74,0,179356,11120,2422,2403,1121,2422,2401,1112,88,100,0,500,2725;
@400000005e8196a42d084a07 #d,-,18,2423,2404,1116,75,0,179308,11117,2423,2404,1122,2422,2402,1114,88,100,0,500,2727;
@400000005e8196a62d15d37b #d,-,18,2424,2402,1117,76,0,179264,11114,2424,2404,1126,2423,2401,1113,88,100,0,500,2734;
@400000005e8196a62d1e9c9f #d,-,18,2424,2404,1116,76,0,179216,11111,2424,2404,1118,2424,2401,1113,88,100,0,500,2725;
@400000005e8196a82d2bbcd6 #d,-,18,2424,2403,1118,77,0,179171,11108,2424,2404,1119,2424,2401,1115,88,100,0,500,2725;
@400000005e8196a82d34c909 #d,-,18,2424,2404,1117,78,0,179284,11115,2424,2404,1121,2424,2402,1113,88,100,0,500,2727;
