@400000005e255cfb0f208b75 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e255cfb390a33f8 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255db20c2c4db6 #d,-,18,4353,2354,1904,170,1,244344,15149,4353,2355,1904,4294,2354,1875,96,100,0,500,4505;
@400000005e255db40c3b58ba #d,-,18,4352,2354,1887,172,1,244720,15172,4353,2355,1911,4352,2353,1879,96,100,0,500,4498;
@400000005e255db40c450164 #d,-,18,4353,2353,1905,173,1,245091,15195,4353,2354,1907,4352,2353,1878,96,100,0,500,4512;
@400000005e255db60c5457d8 #d,-,18,4354,2353,1901,174,1,245465,15218,4354,2353,1912,4353,2352,1890,96,100,0,500,4512;
@400000005e255db60c5dc98f #d,-,18,4355,2353,1898,175,1,245829,15241,4355,2353,1909,4354,2352,1882,96,100,0,500,4517;
@400000005e255db80c6ca9bd #d,-,18,4356,2352,1906,177,1,246198,15264,4356,2353,1913,4355,2352,1895,96,100,0,500,4519;
@400000005e255db80c7681e5 #d,-,18,4359,2353,1896,178,1,246560,15286,4359,2353,1911,4356,2352,1895,96,100,0,500,4526;
@400000005e255dba0c850403 #d,-,18,4356,2353,1882,179,1,246887,15307,4359,2353,1904,4356,2352,1836,96,100,0,500,4503;
@400000005e255dba0c8e7e1b #d,-,18,4258,2352,1855,180,1,247206,15326,4356,2354,1894,4258,2352,1826,96,100,0,500,4415;
@400000005e255dbc0c9da510 #d,-,18,4262,2352,1870,181,1,247517,15346,4262,2352,1892,4258,2350,1830,96,100,0,500,4436;
