@400000005e3180872441d47a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3180881293052b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3180e21e4f71eb #d,-,18,4614,2352,2011,80,0,230645,14299,4614,2353,2014,4612,2352,2004,96,100,0,500,4773;
@400000005e3180e41e5ecfd3 #d,-,18,4616,2353,2009,81,0,231763,14369,4616,2353,2013,4614,2352,2003,96,100,0,500,4768;
@400000005e3180e41e68e1ba #d,-,18,4618,2351,2012,82,0,232861,14437,4618,2353,2013,4616,2351,2006,96,100,0,500,4770;
@400000005e3180e61e78d770 #d,-,18,4619,2349,2010,83,0,233680,14488,4619,2351,2013,4618,2349,2005,96,100,0,500,4768;
@400000005e3180e61e8385cd #d,-,18,4620,2352,2005,85,0,234729,14553,4620,2352,2012,4619,2349,2005,96,100,0,500,4768;
@400000005e3180e81e93457f #d,-,18,4622,2349,2016,86,0,235768,14617,4622,2352,2021,4620,2349,2004,96,100,0,500,4768;
@400000005e3180e81e9e55a6 #d,-,18,4625,2348,2018,87,0,236791,14681,4625,2349,2024,4622,2348,2013,96,100,0,500,4789;
@400000005e3180ea1ead5937 #d,-,18,4628,2350,2022,89,0,237789,14742,4628,2351,2022,4625,2348,2011,96,100,0,500,4782;
@400000005e3180ea1eb78e82 #d,-,18,4630,2348,2019,90,0,238769,14803,4630,2350,2022,4628,2348,2016,96,100,0,500,4785;
@400000005e3180ec1ec6c906 #d,-,18,4632,2348,2021,91,0,239724,14862,4632,2349,2022,4630,2348,2011,96,100,0,500,4785;
@400000005e3180ec1ed0f235 #d,-,18,4633,2351,2016,93,0,240662,14921,4633,2351,2021,4632,2347,2013,97,100,0,500,4775;
@400000005e3180ee1ede96ab #d,-,18,4634,2348,2018,94,0,241821,14992,4634,2351,2021,4633,2348,2012,96,100,0,500,4782;
@400000005e3180ee1ee8147d #d,-,18,4635,2351,2015,95,0,242480,15033,4635,2351,2022,4634,2348,2010,96,100,0,500,4780;
@400000005e3180f01ef7f2eb #d,-,18,4636,2348,2017,96,0,243600,15103,4636,2351,2020,4635,2347,2012,96,100,0,500,4780;
@400000005e3180f01f026e0f #d,-,18,4637,2347,2021,98,0,244235,15142,4637,2348,2024,4636,2347,2015,96,100,0,500,4785;
@400000005e3180f21f12f50e #d,-,18,4639,2349,2015,99,0,245088,15195,4639,2349,2024,4637,2346,2012,96,100,0,500,4789;
@400000005e3180f21f1dd5b6 #d,-,18,4639,2350,2017,100,0,245924,15247,4639,2350,2021,4639,2349,2013,96,100,0,500,4787;
@400000005e3180f41f2e0ac0 #d,-,18,4640,2350,2018,101,0,246746,15298,4640,2350,2022,4639,2349,2014,97,100,0,500,4782;
@400000005e3180f41f38b91d #d,-,18,4641,2347,2019,103,0,247555,15348,4641,2351,2024,4640,2347,2016,96,100,0,500,4787;
@400000005e3180f61f48a672 #d,-,18,4642,2348,2022,104,0,248574,15411,4642,2348,2023,4641,2346,2015,96,100,0,500,4787;
@400000005e3180f61f5349a2 #d,-,18,4642,2350,2023,105,0,249356,15460,4642,2350,2034,4642,2348,2011,97,100,0,500,4785;
@400000005e3180f81f6337e5 #d,-,18,4646,2352,2021,107,0,250130,15508,4646,2352,2030,4642,2350,2019,96,100,0,500,4808;
@400000005e3180f81f6dc698 #d,-,18,4648,2348,2020,108,0,250663,15541,4648,2353,2027,4646,2347,2016,96,100,0,500,4801;
@400000005e3180fa1f7d81a1 #d,-,18,4650,2351,2022,109,0,251409,15587,4650,2352,2026,4648,2348,2019,96,100,0,500,4799;
@400000005e3180fa1f885362 #d,-,18,4652,2352,2025,110,0,252367,15646,4652,2352,2031,4650,2349,2021,96,100,0,500,4808;
@400000005e3180fc1f9841a5 #d,-,18,4654,2352,2024,112,0,252870,15677,4654,2352,2030,4652,2351,2022,96,100,0,500,4806;
@400000005e3180fc1fa2f3bc #d,-,18,4656,2350,2030,113,0,253802,15735,4656,2352,2030,4654,2350,2020,96,100,0,500,4808;
@400000005e3180fe1fb2714e #d,-,18,4658,2351,2027,114,0,254283,15765,4658,2351,2030,4656,2350,2022,96,100,0,500,4804;
@400000005e3180fe1fbc8e62 #d,-,18,4659,2353,2022,116,0,254968,15808,4659,2353,2029,4658,2350,2020,96,100,0,500,4808;
@400000005e3181001fcc5de9 #d,-,18,4659,2351,2023,117,0,255640,15849,4659,2353,2028,4659,2351,2019,97,100,0,500,4801;
@400000005e3181001fd6d90d #d,-,18,4660,2353,2020,118,0,256299,15890,4660,2353,2026,4659,2350,2019,97,100,0,500,4801;
@400000005e3181021fe68530 #d,-,18,4660,2351,2023,119,0,256949,15930,4660,2353,2026,4660,2351,2019,97,100,0,500,4801;
@400000005e3181021ff13b00 #d,-,18,4660,2354,2015,121,0,257588,15970,4660,2355,2028,4660,2350,2014,97,100,0,500,4804;
@400000005e3181042000f251 #d,-,18,4660,2356,2020,122,0,258215,16009,4660,2356,2024,4660,2353,2013,97,100,0,500,4799;
@400000005e318104200b8d1f #d,-,18,4660,2355,2017,123,0,258832,16047,4660,2356,2023,4660,2355,2015,97,100,0,500,4799;
@400000005e318106201b6419 #d,-,18,4660,2356,2020,125,0,259441,16085,4660,2356,2023,4660,2354,2012,97,100,0,500,4796;
@400000005e3181062025b90e #d,-,18,4660,2354,2018,126,0,260039,16122,4660,2356,2023,4660,2354,2014,97,100,0,500,4801;
@400000005e3181082034e777 #d,-,18,4660,2356,2021,127,0,260629,16159,4660,2356,2025,4660,2354,2014,97,100,0,500,4796;
@400000005e318108203fb938 #d,-,18,4661,2358,2022,129,0,261212,16195,4661,2358,2026,4660,2355,2017,97,100,0,500,4804;
@400000005e31810a204f9b5f #d,-,18,4661,2355,2018,130,0,261783,16230,4661,2358,2024,4661,2355,2012,97,100,0,500,4804;
@400000005e31810a205a5130 #d,-,18,4661,2354,2020,131,0,262345,16265,4661,2356,2022,4661,2354,2015,97,100,0,500,4801;
@400000005e31810c206a89f4 #d,-,18,4661,2355,2017,132,0,262897,16299,4661,2355,2024,4661,2353,2013,97,100,0,500,4799;
@400000005e31810c2074d687 #d,-,18,4661,2354,2019,134,0,263443,16333,4661,2355,2023,4661,2352,2016,97,100,0,500,4799;
@400000005e31810e2084a166 #d,-,18,4661,2352,2024,135,0,264178,16379,4661,2354,2024,4661,2352,2015,97,100,0,500,4799;
@400000005e31810e208f1517 #d,-,18,4660,2352,2012,136,0,264505,16399,4661,2353,2029,4660,2351,2006,97,100,0,500,4794;
@400000005e318110209ee857 #d,-,18,4660,2354,2025,138,0,265028,16431,4660,2354,2027,4660,2351,2011,97,100,0,500,4799;
@400000005e31811020a9a1e1 #d,-,18,4660,2353,2019,139,0,265540,16463,4660,2354,2025,4660,2353,2017,97,100,0,500,4801;
@400000005e31811220b9ab27 #d,-,18,4660,2355,2018,140,0,266045,16494,4660,2355,2026,4660,2352,2014,97,100,0,500,4801;
@400000005e31811220c45210 #d,-,18,4660,2353,2021,141,0,266543,16525,4660,2355,2025,4660,2352,2012,97,100,0,500,4799;
@400000005e31811420d46ee4 #d,-,18,4660,2354,2021,143,0,267037,16556,4660,2354,2027,4660,2352,2017,97,100,0,500,4801;
@400000005e31811420df82c5 #d,-,18,4661,2353,2024,144,0,267523,16586,4661,2354,2024,4660,2353,2017,97,100,0,500,4799;
@400000005e31811620eff27c #d,-,18,4660,2352,2018,145,0,268000,16616,4661,2353,2025,4660,2351,2017,97,100,0,500,4801;
@400000005e31811620fa69e6 #d,-,18,4661,2353,2026,147,0,268473,16645,4661,2354,2027,4660,2352,2016,97,100,0,500,4799;
@400000005e318118210a4c0d #d,-,18,4661,2355,2022,148,0,268939,16674,4661,2355,2026,4661,2353,2018,97,100,0,500,4804;
@400000005e318118211502cc #d,-,18,4661,2353,2021,149,0,269397,16702,4661,2355,2024,4661,2353,2015,97,100,0,500,4801;
@400000005e31811a21250858 #d,-,18,4661,2355,2019,151,0,269848,16730,4661,2356,2023,4661,2353,2013,97,100,0,500,4799;
@400000005e31811a212fddd2 #d,-,18,4661,2355,2019,152,0,270296,16758,4661,2357,2026,4661,2354,2015,97,100,0,500,4804;
