@400000005e71d3f81dbb05d2 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e71d3f90c0b15ce #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71d4891878d514 #d,-,18,2424,2367,1134,106,0,192580,11939,2424,2367,1134,2421,2364,1128,89,100,0,500,2720;
@400000005e71d48b1887adce #d,-,18,2426,2366,1130,107,0,192459,11932,2426,2367,1134,2424,2366,1127,89,100,0,500,2723;
@400000005e71d48b1890c9d6 #d,-,18,2428,2365,1133,107,0,192341,11925,2428,2366,1134,2426,2364,1128,89,100,0,500,2718;
@400000005e71d48d18a0142f #d,-,18,2430,2367,1130,108,0,192223,11917,2430,2367,1135,2428,2364,1129,89,100,0,500,2723;
@400000005e71d48d18a8ed29 #d,-,18,2431,2365,1134,109,0,192107,11910,2431,2367,1135,2430,2365,1130,89,100,0,500,2720;
@400000005e71d48f18b85ae6 #d,-,18,2432,2364,1136,109,0,191993,11903,2432,2366,1136,2431,2364,1128,89,100,0,500,2723;
@400000005e71d48f18c10909 #d,-,18,2433,2366,1133,110,0,191881,11896,2433,2366,1138,2432,2364,1129,89,100,0,500,2723;
@400000005e71d49118cfce34 #d,-,18,2434,2363,1135,111,0,191770,11889,2434,2366,1136,2433,2362,1128,89,100,0,500,2723;
@400000005e71d49118d8fdcb #d,-,18,2435,2364,1131,111,0,191661,11883,2435,2365,1136,2434,2363,1128,89,100,0,500,2720;
@400000005e71d49318e857fa #d,-,18,2436,2364,1136,112,0,191555,11876,2436,2366,1136,2435,2363,1128,89,100,0,500,2720;
@400000005e71d49318f10e7e #d,-,18,2437,2363,1132,113,0,191449,11869,2437,2365,1137,2436,2363,1130,89,100,0,500,2723;
@400000005e71d49518ff4e7c #d,-,18,2438,2364,1134,113,0,191347,11863,2438,2364,1137,2437,2362,1130,89,100,0,500,2725;
@400000005e71d49519087a59 #d,-,18,2439,2363,1134,114,0,191367,11864,2439,2364,1137,2438,2363,1130,89,100,0,500,2723;
@400000005e71d49719197209 #d,-,18,2440,2361,1134,115,0,191143,11850,2440,2363,1136,2439,2361,1130,89,100,0,500,2723;
@400000005e71d4971922c14a #d,-,18,2441,2359,1762,116,0,191352,11863,2441,2363,1884,2440,2359,1132,89,100,0,500,2723;
@400000005e71d49919331c84 #d,-,18,3541,2366,1206,117,0,191744,11888,3541,2366,1762,2441,2359,1206,96,100,0,500,3678;
@400000005e71d499193da00a #d,-,18,3536,2362,1526,118,0,192072,11908,3541,2366,1935,3536,2362,1200,97,100,0,500,3630;
@400000005e71d49b195369bb #d,-,18,3244,2363,1657,119,0,192458,11932,3536,2365,1974,3244,2361,1175,89,100,0,500,3611;
@400000005e71d49b195f1a12 #d,-,18,3725,2364,1898,120,0,192737,11949,3725,2366,1898,3244,2362,1169,97,100,0,500,3839;
@400000005e71d49d196e9a6f #d,-,18,3545,2365,1444,120,0,193137,11974,3725,2366,1915,3545,2363,1443,93,100,0,500,3796;
@400000005e71d49d19774981 #d,-,18,2940,2364,1129,121,0,193035,11968,3545,2366,1444,2940,2364,1121,88,100,0,500,3310;
@400000005e71d49f1985b544 #d,-,18,2481,2366,1126,122,0,192954,11963,2940,2366,1175,2481,2364,1126,90,100,0,500,2751;
@400000005e71d49f198e5391 #d,-,18,2475,2366,1130,123,0,192835,11955,2481,2366,1145,2475,2365,1084,90,100,0,500,2723;
@400000005e71d4a1199d8a5c #d,-,18,2470,2366,1131,123,0,192726,11949,2475,2366,1134,2470,2364,1126,90,100,0,500,2720;
