@400000005e142b7004f662c6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e142b702ede850f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e142bc838c74ecf #d,-,18,2958,2339,1263,67,0,201854,12514,2961,2341,1265,2958,2339,1254,99,100,0,500,2961;
@400000005e142bc838d187d3 #d,-,18,2955,2340,1265,68,0,201953,12521,2958,2341,1265,2955,2339,1262,99,100,0,500,2965;
@400000005e142bca38e18d5f #d,-,18,2957,2341,1260,69,0,202070,12528,2957,2341,1293,2955,2340,1255,98,100,0,500,2991;
@400000005e142bca38ec62d9 #d,-,18,2954,2341,1263,70,0,202164,12534,2957,2341,1265,2954,2340,1260,99,100,0,500,2967;
@400000005e142bcc38fc1670 #d,-,18,2951,2340,1262,70,0,202479,12553,2954,2341,1265,2951,2340,1262,99,100,0,500,2965;
@400000005e142bcc390672d8 #d,-,18,2949,2339,1264,71,0,202346,12545,2951,2341,1264,2949,2339,1262,99,100,0,500,2965;
@400000005e142bce3915b116 #d,-,18,2948,2340,1264,72,0,202651,12564,2949,2341,1265,2948,2339,1261,99,100,0,500,2965;
@400000005e142bce391ff9ef #d,-,18,2949,2341,1257,73,0,202539,12557,2949,2341,1295,2948,2340,1255,98,100,0,500,2984;
@400000005e142bd0392d3c9b #d,-,18,2948,2341,1265,74,0,202623,12562,2949,2341,1265,2948,2341,1257,99,100,0,500,2974;
@400000005e142bd039380aa2 #d,-,18,2946,2341,1263,75,0,202705,12567,2948,2342,1265,2946,2341,1261,99,100,0,500,2965;
@400000005e142bd23947d1c7 #d,-,18,2945,2341,1264,75,0,202784,12572,2946,2341,1265,2945,2341,1260,99,100,0,500,2963;
@400000005e142bd239524932 #d,-,18,2943,2340,1265,76,0,202864,12577,2945,2341,1266,2943,2338,1262,99,100,0,500,2965;
@400000005e142bd43961779a #d,-,18,2945,2339,1256,77,0,202959,12583,2945,2341,1295,2943,2338,1256,98,100,0,500,2977;
@400000005e142bd4396bb547 #d,-,18,2944,2340,1263,78,0,203237,12600,2945,2341,1264,2944,2339,1255,98,100,0,500,2977;
@400000005e142bd6397b93b5 #d,-,18,2943,2341,1263,79,0,203308,12605,2944,2341,1264,2943,2339,1261,99,100,0,500,2965;
@400000005e142bd639866575 #d,-,18,2942,2341,1261,80,0,203378,12609,2943,2341,1263,2942,2340,1261,99,100,0,500,2965;
@400000005e142bd839942c61 #d,-,18,2941,2341,1262,80,0,203445,12613,2942,2341,1262,2941,2340,1259,99,100,0,500,2961;
@400000005e142bd8399e94e4 #d,-,18,2942,2341,1257,81,0,203337,12606,2942,2341,1292,2941,2341,1257,99,100,0,500,2970;
@400000005e142bda39af55a2 #d,-,18,2942,2339,1259,82,0,203595,12622,2942,2341,1265,2942,2339,1254,98,100,0,500,2984;
@400000005e142bda39b99619 #d,-,18,2941,2339,1263,83,0,203466,12614,2942,2340,1264,2941,2339,1259,99,100,0,500,2963;
@400000005e142bdc39c74a64 #d,-,18,2941,2341,1262,84,0,203723,12630,2941,2341,1265,2941,2339,1262,99,100,0,500,2965;
@400000005e142bdc39d22b0c #d,-,18,2940,2341,1261,84,0,203595,12622,2941,2341,1263,2940,2340,1261,99,100,0,500,2963;
@400000005e142bde39e096cf #d,-,18,2939,2340,1269,85,0,203680,12628,2940,2341,1298,2939,2340,1260,99,100,0,500,2963;
@400000005e142bde39eb0a7f #d,-,18,2942,2339,1262,86,0,203738,12631,2942,2341,1269,2939,2338,1256,98,100,0,500,2991;
@400000005e142be039fa5c4c #d,-,18,2941,2338,1264,87,0,203798,12635,2942,2339,1264,2941,2338,1261,99,100,0,500,2963;
@400000005e142be03a048ddd #d,-,18,2940,2340,1263,88,0,203857,12639,2941,2341,1265,2940,2338,1261,99,100,0,500,2965;
@400000005e142be23a12f13e #d,-,18,2939,2338,1254,88,0,203911,12642,2940,2341,1263,2939,2338,1254,99,100,0,500,2963;
