@400000005e70830f3479d28c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e70831022c8ebbb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e70837e2dae618f #d,-,18,2441,2378,1126,79,0,188420,11682,2441,2380,1132,2441,2378,1122,89,100,0,500,2732;
@400000005e70837e2db80a39 #d,-,18,2440,2379,1129,80,0,188298,11674,2441,2379,1131,2440,2377,1125,89,100,0,500,2725;
@400000005e7083802dc6b0a8 #d,-,18,2440,2377,1129,80,0,188178,11667,2440,2379,1130,2440,2377,1126,89,100,0,500,2727;
@400000005e7083802dcfe3f9 #d,-,18,2439,2380,1126,81,0,188058,11659,2440,2380,1132,2439,2376,1125,89,100,0,500,2725;
@400000005e7083822dde18c9 #d,-,18,2439,2376,1132,82,0,187943,11652,2439,2380,1134,2439,2376,1125,89,100,0,500,2727;
@400000005e7083822de74c1a #d,-,18,2439,2378,1125,82,0,187829,11645,2439,2379,1133,2439,2375,1125,89,100,0,500,2730;
@400000005e7083842df59bed #d,-,18,2439,2376,1131,83,0,187719,11638,2439,2378,1132,2439,2376,1125,89,100,0,500,2730;
@400000005e7083842dfed79f #d,-,18,2439,2377,1131,84,0,187772,11641,2439,2377,1133,2439,2375,1126,89,100,0,500,2727;
@400000005e7083862e0df633 #d,-,18,2439,2378,1129,84,0,187664,11635,2439,2378,1132,2439,2377,1126,89,100,0,500,2730;
@400000005e7083862e17070e #d,-,18,2440,2376,1131,85,0,187560,11628,2440,2378,1133,2439,2375,1125,89,100,0,500,2730;
@400000005e7083882e1f5bc8 #d,-,18,2440,2374,1128,86,0,187298,11612,2440,2376,1133,2440,2373,1125,89,100,0,500,2730;
@400000005e7083882e23c845 #d,-,18,2545,2375,1464,87,0,187696,11637,2545,2376,1809,2440,2373,1126,92,100,0,500,2765;
@400000005e70838a2e313e2a #d,-,18,3323,2376,1239,87,0,187842,11646,3323,2377,1464,2545,2375,1207,93,100,0,500,3571;
@400000005e70838a2e3a0395 #d,-,18,2828,2374,1524,88,0,187943,11652,3323,2377,1524,2828,2374,1175,91,100,0,500,3090;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
