@400000005e33dc6702d5ffaa #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e33dc672cba8f64 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33dceb3a26b7ea #d,-,18,3756,2351,1603,116,0,231280,14339,3759,2351,1604,3756,2349,1591,99,100,0,500,3757;
@400000005e33dceb3a38d8b2 #d,-,18,3754,2352,1599,117,0,231564,14356,3756,2352,1603,3754,2351,1595,99,100,0,500,3767;
@400000005e33dced3a526382 #d,-,18,3754,2351,1613,118,0,231851,14374,3754,2352,1613,3754,2351,1597,99,100,0,500,3771;
@400000005e33dced3a63c918 #d,-,18,3757,2353,1603,119,0,232142,14392,3757,2353,1627,3754,2350,1595,98,100,0,500,3796;
@400000005e33dcef3a754508 #d,-,18,3755,2352,1598,120,0,232413,14409,3757,2353,1603,3755,2351,1593,99,100,0,500,3766;
@400000005e33dcef3a8185b9 #d,-,18,3754,2352,1594,121,0,232683,14426,3755,2354,1602,3754,2352,1594,99,100,0,500,3769;
@400000005e33dcf13a9a369c #d,-,18,3753,2353,1604,122,0,232950,14442,3754,2353,1605,3753,2350,1594,99,100,0,500,3762;
@400000005e33dcf13aac00c7 #d,-,18,3752,2351,1606,123,0,233211,14459,3753,2353,1606,3752,2351,1594,99,100,0,500,3771;
@400000005e33dcf33abe1dd5 #d,-,18,3756,2350,1592,124,0,233482,14475,3756,2351,1635,3752,2350,1586,98,100,0,500,3801;
@400000005e33dcf33ac9d1e6 #d,-,18,3754,2353,1603,125,0,233907,14502,3756,2353,1604,3754,2350,1592,99,100,0,500,3760;
@400000005e33dcf53adbc7d6 #d,-,18,3753,2351,1601,126,0,233987,14507,3754,2353,1603,3753,2351,1593,99,100,0,500,3771;
@400000005e33dcf53ae6ef46 #d,-,18,3753,2351,1594,127,0,234235,14522,3753,2352,1605,3753,2350,1594,99,100,0,500,3771;
@400000005e33dcf73b006dfb #d,-,18,3752,2353,1602,128,0,234481,14537,3753,2353,1604,3752,2349,1594,99,100,0,500,3764;
@400000005e33dcf73b12196a #d,-,18,3755,2351,1596,129,0,234733,14553,3755,2353,1627,3752,2351,1590,98,100,0,500,3796;
@400000005e33dcf93b244a07 #d,-,18,3754,2352,1594,130,0,234970,14568,3755,2353,1605,3754,2350,1593,99,100,0,500,3773;
@400000005e33dcf93b2fa869 #d,-,18,3753,2353,1601,131,0,235205,14582,3754,2353,1603,3753,2352,1594,99,100,0,500,3764;
@400000005e33dcfb3b414403 #d,-,18,3752,2352,1600,132,0,235433,14596,3753,2353,1601,3752,2351,1593,99,100,0,500,3769;
@400000005e33dcfb3b4bcb42 #d,-,18,3752,2352,1594,133,0,235661,14611,3752,2352,1603,3752,2351,1593,99,100,0,500,3771;
@400000005e33dcfd3b648b0c #d,-,18,3754,2354,1592,135,0,235901,14625,3754,2354,1634,3752,2352,1592,99,100,0,500,3783;
@400000005e33dcfd3b761b79 #d,-,18,3753,2352,1600,135,0,236121,14639,3754,2354,1600,3753,2352,1591,99,100,0,500,3776;
@400000005e33dcff3b87bacd #d,-,18,3753,2350,1596,137,0,236338,14653,3753,2352,1604,3753,2350,1594,99,100,0,500,3771;
@400000005e33dcff3b93ec98 #d,-,18,3752,2350,1601,138,0,236557,14666,3753,2350,1604,3752,2350,1596,99,100,0,500,3767;
@400000005e33dd02001262e7 #d,-,18,3752,2350,1603,139,0,236769,14679,3752,2351,1603,3752,2350,1595,99,100,0,500,3769;
@400000005e33dd0200240e56 #d,-,18,3754,2352,1589,140,0,236993,14693,3754,2352,1629,3752,2350,1589,99,100,0,500,3785;
@400000005e33dd04003df737 #d,-,18,3754,2353,1599,141,0,237202,14706,3754,2353,1604,3754,2351,1589,99,100,0,500,3782;
@400000005e33dd0400510ddd #d,-,18,3753,2353,1603,142,0,237406,14719,3754,2354,1603,3753,2352,1593,99,100,0,500,3769;
@400000005e33dd060063d649 #d,-,18,3753,2353,1597,143,0,237606,14731,3753,2354,1603,3753,2352,1593,99,100,0,500,3773;
@400000005e33dd06006f4bf3 #d,-,18,3752,2352,1597,144,0,237807,14744,3753,2353,1602,3752,2351,1597,99,100,0,500,3764;
@400000005e33dd080088b808 #d,-,18,3753,2351,1605,145,0,238018,14757,3753,2352,1632,3752,2350,1593,99,100,0,500,3774;
@400000005e33dd08009aa951 #d,-,18,3755,2352,1594,146,0,238209,14768,3755,2353,1605,3753,2350,1592,98,100,0,500,3796;
@400000005e33dd0a00b53e7d #d,-,18,3754,2351,1597,147,0,238552,14790,3755,2353,1605,3754,2351,1594,99,100,0,500,3766;
@400000005e33dd0a00c8e1c5 #d,-,18,3752,2351,1602,148,0,238738,14801,3754,2352,1605,3752,2351,1587,99,100,0,500,3760;
@400000005e33dd0c00db8312 #d,-,18,3752,2351,1598,149,0,238923,14813,3752,2352,1602,3752,2351,1595,99,100,0,500,3774;
@400000005e33dd0c00e6cde5 #d,-,18,3753,2351,1610,150,0,239126,14825,3753,2351,1635,3752,2350,1598,99,100,0,500,3771;
@400000005e33dd0e010039fa #d,-,18,3754,2351,1602,151,0,239305,14836,3754,2351,1610,3753,2350,1586,98,100,0,500,3792;
@400000005e33dd0e01120c87 #d,-,18,3754,2352,1597,152,0,239482,14847,3754,2352,1603,3754,2351,1593,99,100,0,500,3773;
@400000005e33dd10012c85c3 #d,-,18,3753,2349,1597,153,0,239662,14859,3754,2352,1606,3753,2349,1597,99,100,0,500,3767;
@400000005e33dd10013f2711 #d,-,18,3752,2349,1603,154,0,239838,14869,3753,2349,1604,3752,2348,1596,99,100,0,500,3767;
@400000005e33dd1201517a23 #d,-,18,3752,2349,1627,155,0,239880,14872,3752,2350,1630,3752,2347,1598,99,100,0,500,3773;
@400000005e33dd12015d16eb #d,-,18,3755,2352,1594,156,0,240194,14892,3755,2352,1627,3752,2349,1594,98,100,0,500,3796;
@400000005e33dd1401764c0d #d,-,18,3754,2350,1603,157,0,240222,14893,3755,2352,1604,3754,2350,1593,99,100,0,500,3764;
@400000005e33dd1401886562 #d,-,18,3753,2351,1599,158,0,240387,14904,3754,2351,1604,3753,2350,1593,99,100,0,500,3769;
@400000005e33dd1601a21750 #d,-,18,3752,2349,1598,159,0,240554,14914,3753,2351,1605,3752,2348,1597,99,100,0,500,3769;
@400000005e33dd1601b414b4 #d,-,18,3751,2348,1636,160,0,240729,14925,3752,2349,1636,3751,2348,1597,99,100,0,500,3764;
@400000005e33dd1801c5eeb4 #d,-,18,3755,2350,1602,161,1,240891,14935,3755,2350,1636,3751,2347,1588,98,100,0,500,3799;
@400000005e33dd1801d242f5 #d,-,18,3754,2347,1596,163,1,241051,14945,3755,2350,1606,3754,2347,1596,99,100,0,500,3767;
@400000005e33dd1a01eb904e #d,-,18,3753,2347,1605,164,1,241210,14955,3754,2348,1605,3753,2346,1596,99,100,0,500,3764;
@400000005e33dd1a01fd2fa2 #d,-,18,3752,2348,1603,165,1,241364,14964,3753,2348,1605,3752,2346,1597,99,100,0,500,3771;
@400000005e33dd1c020fb9a7 #d,-,18,3752,2347,1628,166,1,241529,14974,3752,2348,1628,3752,2347,1603,99,100,0,500,3771;
@400000005e33dd1c021b330b #d,-,18,3754,2345,1608,167,1,241685,14984,3754,2348,1629,3752,2345,1595,98,100,0,500,3792;
@400000005e33dd1e022d6b1b #d,-,18,3753,2348,1604,168,1,241834,14993,3754,2348,1608,3753,2345,1597,99,100,0,500,3767;
@400000005e33dd1e0238928a #d,-,18,3753,2350,1595,169,1,241984,15003,3753,2351,1607,3753,2348,1594,99,100,0,500,3771;
@400000005e33dd200251b41e #d,-,18,3752,2349,1602,170,1,242132,15012,3753,2350,1605,3752,2348,1595,99,100,0,500,3762;
@400000005e33dd2002637f37 #d,-,18,3751,2352,1626,171,1,242414,15029,3752,2352,1626,3751,2348,1594,99,100,0,500,3771;
@400000005e33dd220275a772 #d,-,18,3755,2351,1596,172,1,242433,15030,3755,2352,1636,3751,2350,1589,98,100,0,500,3801;
@400000005e33dd220280f9b9 #d,-,18,3753,2350,1602,173,1,242577,15039,3755,2352,1603,3753,2350,1596,99,100,0,500,3760;
@400000005e33dd2402926308 #d,-,18,3753,2350,1601,174,1,242718,15048,3753,2350,1602,3753,2348,1597,99,100,0,500,3767;
@400000005e33dd24029cc6e4 #d,-,18,3752,2351,1596,175,1,242858,15057,3753,2351,1602,3752,2349,1595,99,100,0,500,3771;
