@400000005e255b3d062ebb56 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e255b3d3017e353 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255bba00fb4fc3 #d,-,18,3750,2351,1613,112,0,235880,14624,3750,2353,1699,3750,2351,1566,99,100,0,500,3778;
@400000005e255bbc010be1f0 #d,-,18,3751,2351,1590,113,0,236148,14641,3751,2352,1628,3750,2349,1584,99,100,0,500,3773;
@400000005e255bbc0117095f #d,-,18,3748,2353,1580,114,0,236398,14656,3751,2353,1605,3748,2351,1578,99,100,0,500,3758;
@400000005e255bbe0127f99c #d,-,18,3745,2351,1591,115,0,236647,14672,3748,2353,1604,3745,2350,1579,99,100,0,500,3753;
@400000005e255bbe0133349a #d,-,18,3744,2352,1602,116,0,237078,14698,3745,2353,1605,3744,2350,1580,99,100,0,500,3755;
@400000005e255bc001445f83 #d,-,18,3743,2351,1604,117,0,237319,14713,3744,2352,1605,3743,2350,1580,99,100,0,500,3758;
@400000005e255bc0014f771e #d,-,18,3745,2353,1589,118,0,237569,14729,3745,2353,1633,3743,2350,1588,99,100,0,500,3776;
@400000005e255bc20160ff29 #d,-,18,3744,2353,1580,119,0,237798,14743,3745,2354,1604,3744,2353,1577,99,100,0,500,3767;
@400000005e255bc2016c1f25 #d,-,18,3742,2352,1590,120,0,237848,14746,3744,2354,1603,3742,2351,1579,99,100,0,500,3755;
@400000005e255bc4017d4cd9 #d,-,18,3741,2353,1600,121,0,238076,14760,3742,2353,1604,3741,2352,1578,99,100,0,500,3758;
@400000005e255bc40188841e #d,-,18,3740,2352,1605,122,0,238301,14774,3741,2353,1605,3740,2352,1579,99,100,0,500,3757;
@400000005e255bc601998f5d #d,-,18,3742,2352,1592,123,0,238535,14789,3742,2353,1628,3740,2351,1581,99,100,0,500,3769;
@400000005e255bc601a44262 #d,-,18,3742,2351,1580,124,0,238748,14802,3742,2352,1603,3742,2351,1574,99,100,0,500,3774;
