@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b96d1ec745d2 #d,-,18,3032,2351,1298,63,0,199093,12343,3033,2351,1301,3032,2350,1296,99,99,0,500,3056;
@400000005e22b96d1ed1ad67 #d,-,18,3032,2352,1297,64,0,199312,12357,3032,2353,1299,3032,2351,1296,99,99,0,500,3061;
@400000005e22b96f1edabe42 #d,-,18,3032,2352,1298,65,0,199527,12370,3032,2352,1300,3032,2351,1296,99,99,0,500,3061;
@400000005e22b96f1ee12af9 #d,-,18,3033,2352,1316,66,0,199764,12385,3033,2352,1329,3032,2351,1296,99,99,0,500,3061;
@400000005e22b9711ef1b4c4 #d,-,18,3036,2352,1297,66,0,199963,12397,3036,2353,1316,3033,2351,1291,98,99,0,500,3088;
@400000005e22b9711efc0d73 #d,-,18,3035,2351,1298,67,0,200162,12410,3036,2352,1299,3035,2351,1296,99,99,0,500,3059;
@400000005e22b9731f0c7882 #d,-,18,3035,2352,1298,68,0,200356,12422,3035,2352,1299,3035,2351,1296,99,99,0,500,3061;
@400000005e22b9731f16aa13 #d,-,18,3035,2351,1298,69,0,200548,12433,3035,2352,1299,3035,2350,1297,99,99,0,500,3061;
@400000005e22b9751f26b711 #d,-,18,3034,2350,1326,70,0,200760,12447,3035,2351,1330,3034,2350,1297,99,99,0,500,3059;
@400000005e22b9751f310c06 #d,-,18,3037,2353,1299,71,0,200938,12458,3037,2353,1326,3034,2349,1288,98,99,0,500,3088;
@400000005e22b9771f3a1839 #d,-,18,3037,2353,1297,71,0,201114,12469,3037,2353,1299,3037,2353,1296,99,99,0,500,3059;
@400000005e22b9771f40ee2e #d,-,18,3036,2352,1296,72,0,201287,12479,3037,2353,1299,3036,2352,1295,99,99,0,500,3059;
@400000005e22b9791f507e60 #d,-,18,3036,2351,1297,73,0,201457,12490,3036,2353,1299,3036,2350,1296,99,99,0,500,3059;
@400000005e22b9791f5b05a0 #d,-,18,3035,2350,1329,74,0,201642,12501,3036,2351,1329,3035,2350,1296,99,99,0,500,3059;
@400000005e22b97b1f676d6f #d,-,18,3038,2350,1299,75,0,201807,12512,3038,2351,1329,3035,2350,1289,98,99,0,500,3089;
@400000005e22b97b1f719f00 #d,-,18,3037,2351,1299,76,0,201967,12521,3038,2352,1299,3037,2350,1296,99,99,0,500,3057;
@400000005e22b97d1f7a8c77 #d,-,18,3037,2350,1298,76,0,202123,12531,3037,2352,1300,3037,2350,1297,99,99,0,500,3059;
@400000005e22b97d1f85f606 #d,-,18,3036,2350,1298,77,0,202276,12541,3037,2350,1300,3036,2349,1297,99,99,0,500,3061;
@400000005e22b97f1f93f3e4 #d,-,18,3035,2349,1329,78,0,202439,12551,3036,2350,1329,3035,2349,1297,99,99,0,500,3059;
@400000005e22b97f1f9e2ce8 #d,-,18,3039,2351,1300,79,0,202594,12560,3039,2351,1331,3035,2349,1290,98,99,0,500,3091;
@400000005e22b9811fa6e36d #d,-,18,3037,2349,1300,80,0,202736,12569,3039,2351,1300,3037,2349,1296,99,99,0,500,3054;
@400000005e22b9811fb0bb96 #d,-,18,3036,2349,1299,81,0,202876,12578,3037,2350,1301,3036,2348,1297,99,99,0,500,3057;
@400000005e22b9831fc174e0 #d,-,18,3036,2349,1272,81,0,203007,12586,3036,2349,1301,3036,2348,1272,99,99,0,500,3059;
@400000005e22b9831fcc2e6a #d,-,18,2962,2347,1294,82,0,203095,12591,3036,2350,1304,2962,2347,1242,98,99,0,500,3002;
@400000005e22b9851fdc18f3 #d,-,18,2963,2348,1246,83,0,203159,12595,2963,2348,1294,2962,2346,1241,98,99,0,500,2999;
@400000005e22b9851fe6fa89 #d,-,18,2960,2346,1279,84,0,203234,12600,2963,2348,1283,2960,2346,1234,99,99,0,500,2970;
@400000005e22b9871ff7747f #d,-,18,2955,2347,1235,85,0,203289,12603,2960,2347,1282,2955,2346,1234,100,99,0,500,2955;
@400000005e22b9872001ecd7 #d,-,18,2954,2348,1281,86,0,203358,12608,2955,2349,1281,2954,2347,1232,99,99,0,500,2974;
@400000005e22b989200ace33 #d,-,18,2949,2350,1246,86,0,203415,12611,2954,2350,1281,2949,2348,1232,100,99,0,500,2949;
@400000005e22b9892012111f #d,-,18,2952,2348,1273,87,0,203490,12616,2952,2350,1308,2949,2348,1225,98,99,0,500,2995;
@400000005e22b98b201b296d #d,-,18,2947,2348,1247,88,0,203732,12631,2952,2349,1282,2947,2347,1232,99,99,0,500,2951;
@400000005e22b98b20228c03 #d,-,18,2947,2346,1263,89,0,203784,12634,2947,2349,1281,2947,2346,1233,99,99,0,500,2963;
@400000005e22b98d202bdefe #d,-,18,2943,2347,1257,90,0,203845,12638,2947,2347,1281,2943,2346,1233,99,99,0,500,2959;
@400000005e22b98d203316bc #d,-,18,2942,2347,1250,90,0,203716,12630,2943,2348,1280,2942,2347,1232,99,99,0,500,2956;
