@400000005e7b0e2629c0ad29 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7b0e2718117c11 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7b0e9d237f6f41 #d,-,18,2419,2363,1128,85,0,189728,11763,2419,2364,1131,2417,2362,1126,89,100,0,500,2711;
@400000005e7b0e9d23881237 #d,-,18,2420,2361,1129,86,0,189598,11755,2420,2363,1131,2419,2361,1127,89,100,0,500,2711;
@400000005e7b0e9f23965234 #d,-,18,2421,2360,1129,86,0,189469,11747,2421,2362,1131,2420,2360,1127,89,100,0,500,2708;
@400000005e7b0e9f239f533a #d,-,18,2422,2361,1130,87,0,189343,11739,2422,2361,1133,2421,2360,1127,89,100,0,500,2711;
@400000005e7b0ea123adfc75 #d,-,18,2423,2361,1127,88,0,189218,11731,2423,2361,1133,2422,2360,1126,89,100,0,500,2711;
@400000005e7b0ea123b697f7 #d,-,18,2423,2363,1128,88,0,189095,11723,2423,2363,1132,2423,2361,1125,89,100,0,500,2713;
@400000005e7b0ea323c3baf9 #d,-,18,2424,2363,1129,89,0,188974,11716,2424,2364,1134,2423,2362,1126,89,100,0,500,2708;
@400000005e7b0ea323ccdabb #d,-,18,2425,2363,1130,90,0,188857,11709,2425,2363,1132,2424,2362,1125,89,100,0,500,2715;
@400000005e7b0ea523daf489 #d,-,18,2425,2362,1127,90,0,188737,11701,2425,2364,1131,2425,2361,1126,89,100,0,500,2708;
@400000005e7b0ea523e377d5 #d,-,18,2425,2363,1128,91,0,188621,11694,2425,2363,1131,2425,2361,1127,89,100,0,500,2711;
@400000005e7b0ea723f0b6c7 #d,-,18,2425,2362,1125,92,0,188508,11687,2425,2364,1133,2425,2362,1124,89,100,0,500,2708;
@400000005e7b0ea723f99bdc #d,-,18,2425,2363,1128,92,0,188395,11680,2425,2363,1133,2425,2361,1124,89,100,0,500,2708;
@400000005e7b0ea924087cf8 #d,-,18,2425,2363,1125,93,0,188281,11673,2425,2364,1131,2425,2362,1124,89,100,0,500,2706;
@400000005e7b0ea924111c34 #d,-,18,2424,2362,1128,94,0,188170,11666,2425,2364,1129,2424,2361,1125,89,100,0,500,2706;
@400000005e7b0eab24248889 #d,-,18,2424,2363,1129,94,0,188059,11659,2424,2363,1129,2424,2361,1124,89,100,0,500,2706;
@400000005e7b0eab242f6dd8 #d,-,18,2424,2359,1710,95,0,188165,11666,2424,2363,1710,2424,2359,1125,89,100,0,500,2706;
@400000005e7b0ead243bf0aa #d,-,18,3316,2360,1222,96,0,188621,11694,3316,2360,1738,2424,2356,1222,96,100,0,500,3426;
@400000005e7b0ead2441e095 #d,-,18,3188,2361,1329,97,0,188782,11704,3316,2362,1426,3188,2359,1159,92,100,0,500,3457;
@400000005e7b0eaf244e28ba #d,-,18,2852,2358,1570,98,0,188886,11710,3188,2362,1570,2852,2358,1163,91,100,0,500,3130;
@400000005e7b0eaf2455a298 #d,-,18,3339,2362,1228,99,0,189457,11746,3339,2362,1838,2852,2356,1228,95,100,0,500,3481;
@400000005e7b0eb12464f0ab #d,-,18,3240,2360,1332,100,0,189582,11754,3339,2362,1476,3240,2359,1052,92,100,0,500,3500;
@400000005e7b0eb1246e0cb3 #d,-,18,2836,2357,1782,100,0,189746,11764,3240,2361,1782,2836,2357,1162,90,100,0,500,3130;
@400000005e7b0eb32479ff2a #d,-,18,3395,2364,1123,101,0,190220,11793,3395,2364,1853,2836,2357,1123,96,100,0,500,3528;
@400000005e7b0eb3248050df #d,-,18,3230,2364,1319,102,0,190369,11802,3395,2364,1450,3230,2361,1098,91,100,0,500,3514;
@400000005e7b0eb52490e30c #d,-,18,2791,2360,1858,103,0,190573,11815,3230,2365,1858,2791,2360,1180,90,100,0,500,3076;
@400000005e7b0eb5249aa6b7 #d,-,18,3515,2364,1102,104,0,190941,11838,3515,2364,1861,2791,2359,1067,96,100,0,500,3626;
@400000005e7b0eb724aa8525 #d,-,18,3136,2364,1283,105,0,191115,11849,3515,2364,1504,3136,2363,1102,90,100,0,500,3455;
@400000005e7b0eb724b3e34d #d,-,18,2789,2365,1156,105,0,191044,11844,3136,2366,1283,2789,2364,1052,91,100,0,500,3062;
@400000005e7b0eb924c21bd7 #d,-,18,2405,2365,1129,106,0,190927,11837,2789,2365,1156,2405,2364,1117,88,100,0,500,2704;
@400000005e7b0eb924cad704 #d,-,18,2408,2364,1130,107,0,190814,11830,2408,2365,1134,2405,2363,1125,88,100,0,500,2713;
@400000005e7b0ebb24d83c25 #d,-,18,2410,2363,1127,107,0,190703,11823,2410,2364,1135,2408,2362,1125,88,100,0,500,2713;
@400000005e7b0ebb24e1608f #d,-,18,2413,2363,1132,108,0,190720,11824,2413,2363,1132,2410,2361,1126,88,100,0,500,2713;
@400000005e7b0ebd24ef3b09 #d,-,18,2415,2367,1126,109,0,190611,11817,2415,2367,1134,2413,2362,1125,89,100,0,500,2713;
@400000005e7b0ebd24f7ce29 #d,-,18,2417,2366,1132,109,0,190376,11803,2417,2367,1133,2415,2366,1120,89,100,0,500,2715;
@400000005e7b0ebf2506265e #d,-,18,2418,2363,1123,110,0,190395,11804,2418,2366,1133,2417,2363,1123,89,100,0,500,2713;
@400000005e7b0ebf250f4266 #d,-,18,2420,2362,1130,111,0,190289,11797,2420,2364,1132,2418,2362,1123,89,100,0,500,2711;
@400000005e7b0ec1251d8e7f #d,-,18,2420,2365,1126,111,0,190184,11791,2420,2365,1134,2420,2362,1123,89,100,0,500,2708;
@400000005e7b0ec125264c77 #d,-,18,2422,2365,1125,112,0,189957,11777,2422,2367,1134,2420,2365,1122,89,100,0,500,2713;
@400000005e7b0ec32533d142 #d,-,18,2422,2363,1127,113,0,189855,11771,2422,2365,1131,2422,2363,1121,89,100,0,500,2708;
@400000005e7b0ec3253cf966 #d,-,18,2423,2364,1123,113,0,189752,11764,2423,2364,1130,2422,2363,1123,89,100,0,500,2708;
@400000005e7b0ec5254afafd #d,-,18,2423,2364,1128,114,0,189653,11758,2423,2365,1131,2423,2363,1123,89,100,0,500,2708;
@400000005e7b0ec52553bd9d #d,-,18,2423,2362,1124,115,0,189551,11752,2423,2364,1129,2423,2362,1123,89,100,0,500,2708;
@400000005e7b0ec72561795b #d,-,18,2423,2363,1128,115,0,189454,11746,2423,2363,1131,2423,2362,1123,89,100,0,500,2708;
@400000005e7b0ec7256ab41f #d,-,18,2423,2362,1126,116,0,189356,11740,2423,2363,1130,2423,2362,1123,89,100,0,500,2706;
@400000005e7b0ec92578a317 #d,-,18,2423,2364,1124,117,0,189259,11734,2423,2364,1131,2423,2362,1122,89,100,0,500,2708;
@400000005e7b0ec925814253 #d,-,18,2423,2363,1132,117,0,189164,11728,2423,2364,1133,2423,2363,1121,89,100,0,500,2706;
@400000005e7b0ecb258e7529 #d,-,18,2423,2363,1127,118,0,189071,11722,2423,2363,1133,2423,2363,1122,89,100,0,500,2708;
@400000005e7b0ecb2597b3a7 #d,-,18,2423,2361,1131,119,0,188981,11716,2423,2363,1133,2423,2361,1123,89,100,0,500,2708;
@400000005e7b0ecd25a5e104 #d,-,18,2423,2361,1129,120,0,188890,11711,2423,2362,1131,2423,2361,1122,89,100,0,500,2708;
@400000005e7b0ecd25aeaed1 #d,-,18,2424,2363,1124,120,0,188800,11705,2424,2363,1133,2423,2360,1123,89,100,0,500,2708;
@400000005e7b0ecf25bf4871 #d,-,18,2424,2362,1132,121,0,188712,11700,2424,2363,1132,2424,2362,1122,89,100,0,500,2708;
@400000005e7b0ecf25c9b4ae #d,-,18,2424,2362,1127,122,0,188625,11694,2424,2363,1135,2424,2362,1125,89,100,0,500,2708;
@400000005e7b0ed125d939b4 #d,-,18,2763,2358,1744,122,0,188992,11717,2763,2363,1744,2424,2358,1126,95,100,0,500,2903;
@400000005e7b0ed125e2cb15 #d,-,18,3557,2360,1346,123,0,189223,11731,3557,2360,1770,2763,2357,1187,92,100,0,500,3863;
@400000005e7b0ed325f2bd11 #d,-,18,2988,2361,1154,124,0,189278,11735,3557,2361,1346,2988,2359,1154,93,100,0,500,3201;
@400000005e7b0ed325fc55e6 #d,-,18,2986,2356,1760,125,0,189686,11760,2988,2361,1772,2986,2356,1139,95,100,0,500,3121;
@400000005e7b0ed5260cc0f5 #d,-,18,3441,2361,1326,126,0,189829,11769,3441,2361,1768,2986,2356,1096,90,100,0,500,3801;
@400000005e7b0ed52616da4f #d,-,18,2936,2359,1224,127,0,189892,11773,3441,2361,1326,2936,2359,1223,93,100,0,500,3128;
@400000005e7b0ed7262672e3 #d,-,18,3180,2358,1761,128,0,190478,11809,3180,2360,1793,2936,2357,1224,95,100,0,500,3313;
@400000005e7b0ed7263007fe #d,-,18,3401,2362,1301,129,0,190590,11816,3401,2363,1761,3180,2358,1166,91,100,0,500,3697;
@400000005e7b0ed926404835 #d,-,18,2914,2359,1785,129,0,190618,11818,3401,2363,1785,2914,2359,1166,91,100,0,500,3180;
@400000005e7b0ed92649e96b #d,-,18,3403,2363,1096,130,0,190965,11839,3403,2363,1848,2914,2359,1096,96,100,0,500,3538;
@400000005e7b0edb26596256 #d,-,18,3192,2362,1311,131,0,191078,11846,3403,2364,1469,3192,2362,1062,91,100,0,500,3472;
@400000005e7b0edb26630657 #d,-,18,2809,2364,1121,132,0,191038,11844,3192,2365,1311,2809,2362,1109,90,100,0,500,3102;
@400000005e7b0edd267175d4 #d,-,18,2423,2362,1130,133,0,190942,11838,2809,2364,1139,2423,2361,1107,88,100,0,500,2730;
@400000005e7b0edd267a3012 #d,-,18,2424,2361,1126,133,0,190851,11832,2424,2363,1134,2423,2361,1123,89,100,0,500,2711;
@400000005e7b0edf2688267c #d,-,18,2424,2363,1131,134,0,190761,11827,2424,2365,1132,2424,2361,1123,89,100,0,500,2713;
@400000005e7b0edf2690f449 #d,-,18,2425,2362,1127,135,0,190669,11821,2425,2364,1131,2424,2362,1123,89,100,0,500,2708;
@400000005e7b0ee1269fe092 #d,-,18,2425,2363,1128,135,0,190580,11815,2425,2363,1132,2425,2362,1124,89,100,0,500,2711;
@400000005e7b0ee126a89717 #d,-,18,2425,2365,1125,136,0,190490,11810,2425,2365,1130,2425,2363,1123,89,100,0,500,2711;
