@400000005e6744412738312f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6744421582c699 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e67449c1fd913f4 #d,-,18,3926,2344,1679,82,0,237752,14740,3926,2345,1684,3925,2343,1675,99,100,0,500,3952;
@400000005e67449e1fe7a5e6 #d,-,18,3925,2344,1681,83,0,238236,14770,3926,2345,1682,3925,2343,1675,99,100,0,500,3945;
@400000005e67449e1ff1b7cd #d,-,18,3925,2344,1679,84,0,238707,14799,3925,2345,1685,3925,2343,1673,99,100,0,500,3942;
@400000005e6744a020015061 #d,-,18,3926,2345,1690,85,0,239196,14830,3926,2346,1711,3925,2344,1677,99,100,0,500,3952;
@400000005e6744a0200ab243 #d,-,18,3928,2345,1684,86,0,239652,14858,3928,2345,1690,3926,2344,1676,98,100,0,500,3976;
@400000005e6744a2201a338f #d,-,18,3928,2344,1679,87,0,240096,14885,3928,2345,1684,3928,2343,1678,99,100,0,500,3952;
@400000005e6744a220237a6e #d,-,18,3928,2344,1681,88,0,240529,14912,3928,2345,1682,3928,2344,1675,99,100,0,500,3945;
@400000005e6744a42033c5d3 #d,-,18,3927,2346,1678,89,0,240953,14939,3928,2346,1681,3927,2344,1676,99,100,0,500,3945;
@400000005e6744a4203da1b5 #d,-,18,3927,2344,1703,90,0,241646,14982,3927,2346,1713,3927,2344,1677,99,100,0,500,3947;
@400000005e6744a6204ce766 #d,-,18,3930,2343,1680,91,0,242049,15007,3930,2344,1703,3927,2342,1669,98,100,0,500,3977;
@400000005e6744a6205642c3 #d,-,18,3929,2342,1683,92,0,242451,15031,3930,2343,1686,3929,2342,1679,99,100,0,500,3949;
@400000005e6744a82064964f #d,-,18,3929,2345,1683,94,0,242843,15056,3929,2345,1683,3929,2342,1678,99,100,0,500,3954;
@400000005e6744a8206e6616 #d,-,18,3929,2345,1684,95,0,242990,15065,3929,2345,1686,3929,2344,1678,99,100,0,500,3947;
@400000005e6744aa207dd78d #d,-,18,3931,2342,1719,96,0,243643,15105,3931,2345,1720,3929,2342,1684,99,100,0,500,3968;
@400000005e6744aa2087a2ac #d,-,18,3935,2343,1631,97,0,243763,15113,3935,2343,1719,3931,2341,1631,98,100,0,500,3992;
@400000005e6744ac2097a837 #d,-,18,3808,2345,1616,98,0,244008,15128,3935,2345,1631,3808,2343,1596,98,100,0,500,3849;
@400000005e6744ac20a12250 #d,-,18,3803,2346,1622,99,0,244264,15144,3808,2347,1623,3803,2345,1614,100,100,0,500,3803;
@400000005e6744ae20b087ab #d,-,18,3800,2344,1618,100,0,244517,15160,3803,2346,1622,3800,2344,1617,99,100,0,500,3805;
@400000005e6744ae20bab582 #d,-,18,3798,2345,1653,101,0,244783,15176,3800,2345,1653,3798,2343,1617,99,100,0,500,3805;
@400000005e6744b020ca45b5 #d,-,18,3799,2346,1618,102,0,245031,15191,3799,2346,1653,3798,2345,1612,99,100,0,500,3837;
@400000005e6744b020d3ceb4 #d,-,18,3797,2344,1621,103,0,245273,15206,3799,2346,1623,3797,2344,1614,99,100,0,500,3803;
@400000005e6744b220e37ad7 #d,-,18,3795,2344,1618,104,0,245507,15221,3797,2345,1621,3795,2344,1616,99,100,0,500,3805;
@400000005e6744b220ecd18c #d,-,18,3793,2346,1619,105,0,245739,15235,3795,2346,1622,3793,2344,1618,99,100,0,500,3805;
@400000005e6744b420fbc18e #d,-,18,3792,2345,1649,106,0,245976,15250,3793,2346,1649,3792,2345,1618,99,100,0,500,3807;
@400000005e6744b42106256a #d,-,18,3795,2344,1624,107,0,246211,15265,3795,2346,1653,3792,2343,1613,98,100,0,500,3837;
@400000005e6744b62115f8ab #d,-,18,3793,2345,1618,108,0,246429,15278,3795,2345,1624,3793,2343,1616,99,100,0,500,3807;
@400000005e6744b6211f98f2 #d,-,18,3791,2344,1617,109,0,246645,15292,3793,2345,1620,3791,2344,1617,99,100,0,500,3803;
@400000005e6744b8212f2dcd #d,-,18,3790,2347,1618,110,0,246857,15305,3791,2347,1621,3790,2344,1617,99,100,0,500,3805;
@400000005e6744b821387c20 #d,-,18,3789,2347,1637,112,0,247279,15331,3790,2347,1637,3789,2346,1615,99,100,0,500,3803;
@400000005e6744ba214745f3 #d,-,18,3792,2344,1617,113,0,247495,15344,3792,2347,1651,3789,2344,1611,98,100,0,500,3839;
@400000005e6744ba21515f4d #d,-,18,3790,2344,1617,114,0,247695,15357,3792,2346,1620,3790,2344,1616,99,100,0,500,3801;
@400000005e6744bc21623fb5 #d,-,18,3789,2345,1616,115,0,247889,15369,3790,2346,1619,3789,2344,1616,99,100,0,500,3801;
@400000005e6744bc216c9863 #d,-,18,3787,2345,1618,116,0,247877,15368,3789,2345,1623,3787,2344,1613,99,100,0,500,3799;
@400000005e6744be217c0532 #d,-,18,3786,2347,1625,117,0,248070,15380,3787,2348,1625,3786,2344,1615,99,100,0,500,3807;
@400000005e6744be21858304 #d,-,18,3790,2348,1608,118,0,248269,15392,3790,2348,1647,3786,2347,1605,98,100,0,500,3831;
@400000005e6744c02194966b #d,-,18,3788,2349,1615,119,0,248657,15416,3790,2349,1630,3788,2348,1608,99,100,0,500,3807;
@400000005e6744c0219efeee #d,-,18,3787,2348,1616,120,0,248836,15427,3788,2349,1617,3787,2347,1613,99,100,0,500,3799;
@400000005e6744c221afa864 #d,-,18,3786,2348,1613,121,0,248815,15426,3787,2349,1616,3786,2347,1613,99,100,0,500,3801;
@400000005e6744c221ba5307 #d,-,18,3785,2350,1618,122,0,248991,15437,3786,2350,1619,3785,2348,1613,99,100,0,500,3801;
@400000005e6744c421ca0a57 #d,-,18,3788,2350,1609,123,0,249177,15448,3788,2351,1647,3785,2349,1604,98,100,0,500,3831;
@400000005e6744c421d3f166 #d,-,18,3786,2347,1617,124,0,249346,15459,3788,2350,1618,3786,2347,1609,99,100,0,500,3801;
@400000005e6744c621e415ae #d,-,18,3784,2347,1615,125,0,249511,15469,3786,2348,1617,3784,2347,1613,99,100,0,500,3798;
@400000005e6744c621ed58d3 #d,-,18,3783,2349,1618,126,0,249676,15479,3784,2350,1618,3783,2347,1612,99,100,0,500,3799;
