@400000005e6899751cf51a25 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6899760b444a9d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6899d815c81091 #d,-,18,2826,2369,1195,69,0,184360,11430,2826,2369,1293,2551,2368,1191,92,100,0,500,3052;
@400000005e6899da15d6f921 #d,-,18,2747,2370,1169,69,0,184622,11446,2826,2370,1273,2747,2368,1169,91,100,0,500,3005;
@400000005e6899da15e0302b #d,-,18,2559,2369,1232,70,0,184460,11436,2747,2370,1232,2559,2369,1123,90,100,0,500,2829;
@400000005e6899dc15ee3a24 #d,-,18,2757,2370,1262,71,0,184834,11459,2757,2370,1302,2559,2369,1232,92,100,0,500,2990;
@400000005e6899dc15f7712e #d,-,18,2705,2370,1167,72,0,184845,11460,2757,2371,1262,2705,2369,1118,90,100,0,500,2988;
@400000005e6899de1606462f #d,-,18,2581,2369,1224,72,0,184836,11459,2705,2370,1227,2581,2368,1129,90,100,0,500,2841;
@400000005e6899de160f6a99 #d,-,18,2586,2368,1270,73,0,184792,11457,2586,2369,1302,2581,2368,1199,90,100,0,500,2858;
@400000005e6899e0161e13d4 #d,-,18,2836,2369,1223,74,0,184868,11461,2836,2370,1282,2586,2367,1123,92,100,0,500,3073;
@400000005e6899e01627b8c3 #d,-,18,2597,2369,1160,75,0,184860,11461,2836,2370,1223,2597,2369,1129,90,100,0,500,2870;
@400000005e6899e21636cc2a #d,-,18,2596,2367,1290,75,0,184981,11468,2597,2369,1308,2596,2367,1160,90,100,0,500,2855;
@400000005e6899e21640366d #d,-,18,2822,2370,1132,76,0,185104,11476,2822,2370,1290,2596,2367,1132,92,100,0,500,3043;
@400000005e6899e4164ef425 #d,-,18,2659,2369,1192,77,0,185118,11477,2822,2370,1238,2659,2368,1099,90,100,0,500,2929;
@400000005e6899e416580058 #d,-,18,2539,2370,1047,78,0,184937,11466,2659,2371,1192,2539,2368,1014,89,100,0,500,2829;
@400000005e6899e6166648b8 #d,-,18,2288,2369,1131,78,0,184838,11459,2539,2370,1150,2288,2369,1045,88,100,0,500,2578;
@400000005e6899e6166fd1b7 #d,-,18,2431,2372,1127,79,0,184747,11454,2431,2372,1131,2288,2369,1124,89,100,0,500,2715;
@400000005e6899e8167ed18e #d,-,18,2431,2370,1128,80,0,184826,11459,2431,2372,1130,2431,2369,1125,89,100,0,500,2718;
@400000005e6899e8168814b4 #d,-,18,2432,2372,1125,80,0,184737,11453,2432,2372,1128,2431,2369,1124,89,100,0,500,2715;
@400000005e6899ea1697148c #d,-,18,2433,2374,1129,81,0,184653,11448,2433,2375,1129,2432,2372,1123,89,100,0,500,2715;
@400000005e6899ea16a05b6b #d,-,18,2433,2375,1125,82,0,184570,11443,2433,2375,1130,2433,2374,1124,89,100,0,500,2720;
@400000005e6899ec16af8261 #d,-,18,2434,2375,1126,82,0,184488,11438,2434,2375,1132,2433,2374,1125,89,100,0,500,2723;
@400000005e6899ec16b896f6 #d,-,18,2435,2373,1126,83,0,184407,11433,2435,2375,1131,2434,2372,1123,89,100,0,500,2720;
@400000005e6899ee16c66642 #d,-,18,2436,2372,1208,84,0,184256,11423,2436,2373,1241,2435,2371,1126,89,100,0,500,2720;
@400000005e6899ee16d01a19 #d,-,18,2747,2372,1287,84,0,184416,11433,2747,2373,1309,2436,2371,1207,92,100,0,500,2955;
@400000005e6899f016df1e99 #d,-,18,2750,2373,1217,85,0,184505,11439,2750,2373,1287,2747,2372,1185,90,100,0,500,3043;
@400000005e6899f016e887ee #d,-,18,2689,2372,1223,86,0,184509,11439,2750,2374,1223,2689,2371,1126,91,100,0,500,2943;
@400000005e6899f216f76cc3 #d,-,18,2601,2372,1267,87,0,184620,11446,2689,2373,1298,2601,2371,1203,91,100,0,500,2858;
@400000005e6899f217007cb0 #d,-,18,2828,2374,1155,87,0,184682,11450,2828,2374,1282,2601,2372,1121,92,100,0,500,3057;
@400000005e6899f4170ea653 #d,-,18,2595,2374,1150,88,0,184692,11450,2828,2374,1228,2595,2374,1150,90,100,0,500,2881;
@400000005e6899f41717f94e #d,-,18,2592,2373,1286,89,0,184748,11454,2595,2374,1286,2592,2372,1137,91,100,0,500,2827;
@400000005e6899f61726aea5 #d,-,18,2777,2374,1229,90,0,184883,11462,2777,2374,1302,2592,2372,1229,92,100,0,500,3016;
@400000005e6899f6172fe5af #d,-,18,2673,2375,1212,90,0,184888,11463,2777,2375,1229,2673,2373,1118,90,100,0,500,2945;
@400000005e6899f8173dd4a6 #d,-,18,2573,2375,1223,91,0,184886,11462,2673,2375,1234,2573,2375,1130,90,100,0,500,2853;
@400000005e6899f817470bb0 #d,-,18,2685,2374,1278,92,0,185010,11470,2685,2376,1301,2573,2373,1203,92,100,0,500,2905;
@400000005e6899fa17561b5d #d,-,18,2817,2375,1220,93,0,185054,11473,2817,2375,1280,2685,2374,1101,91,100,0,500,3076;
@400000005e6899fa175f201d #d,-,18,2579,2376,1120,93,0,185172,11480,2817,2376,1220,2579,2375,1120,90,100,0,500,2848;
@400000005e6899fc176be154 #d,-,18,2443,2374,1128,94,0,184944,11466,2579,2376,1136,2443,2374,1110,88,100,0,500,2746;
@400000005e6899fc1774fd5c #d,-,18,2441,2377,1121,95,0,184861,11461,2443,2377,1128,2441,2374,1116,89,100,0,500,2713;
@400000005e6899fe1782a946 #d,-,18,2439,2376,1120,95,0,184779,11456,2441,2377,1123,2439,2374,1118,90,100,0,500,2706;
@400000005e6899fe178b4882 #d,-,18,2437,2374,1121,96,0,184699,11451,2439,2377,1126,2437,2373,1119,90,100,0,500,2706;
@400000005e689a0017978ced #d,-,18,2435,2373,1121,97,0,184619,11446,2437,2374,1124,2435,2373,1117,89,100,0,500,2706;
@400000005e689a0017a09cda #d,-,18,2434,2373,1120,97,0,184541,11441,2435,2374,1124,2434,2373,1119,90,100,0,500,2704;
@400000005e689a0217af8569 #d,-,18,2432,2374,1124,98,0,184465,11436,2434,2374,1125,2432,2372,1119,89,100,0,500,2704;
@400000005e689a0217b916ca #d,-,18,2431,2373,1122,99,0,184391,11432,2432,2375,1127,2431,2373,1118,89,100,0,500,2704;
@400000005e689a0417c6d9fb #d,-,18,2431,2372,1138,99,0,184320,11427,2431,2373,1138,2431,2371,1118,89,100,0,500,2708;
@400000005e689a0417d05b87 #d,-,18,2541,2372,1298,100,0,184412,11433,2541,2373,1309,2431,2370,1138,90,100,0,500,2794;
@400000005e689a0617df096a #d,-,18,2820,2372,1178,101,0,184646,11448,2820,2373,1298,2541,2371,1177,92,100,0,500,3045;
@400000005e689a0617e85c65 #d,-,18,2751,2375,1173,101,0,184700,11451,2820,2375,1275,2751,2372,1173,91,100,0,500,3012;
@400000005e689a0817f66dd2 #d,-,18,2559,2372,1219,102,0,184712,11452,2751,2376,1227,2559,2372,1122,90,100,0,500,2836;
