@400000005e33da4336d1f362 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e33da442530c889 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33dac631e10ee8 #d,-,18,4516,2356,1960,136,0,272839,16916,4516,2358,1965,4516,2356,1943,96,100,0,500,4661;
@400000005e33dac831f16a22 #d,-,18,4515,2356,1958,137,0,273232,16940,4516,2359,1968,4515,2356,1943,96,100,0,500,4661;
@400000005e33dac831fb846a #d,-,18,4515,2356,1953,138,0,273622,16964,4515,2359,1970,4515,2356,1943,96,100,0,500,4664;
@400000005e33daca320ae252 #d,-,18,4516,2358,1956,139,0,274007,16988,4516,2359,1969,4515,2356,1945,96,100,0,500,4666;
@400000005e33daca3214829a #d,-,18,4516,2358,1949,141,0,274385,17011,4516,2359,1964,4516,2357,1949,96,100,0,500,4661;
@400000005e33dacc32245132 #d,-,18,4516,2359,1958,142,0,274759,17035,4516,2359,1962,4516,2357,1948,96,100,0,500,4666;
@400000005e33dacc322e7f0a #d,-,18,4516,2358,1957,143,0,275329,17070,4516,2360,1962,4516,2358,1946,96,100,0,500,4664;
@400000005e33dace323f09c3 #d,-,18,4515,2357,1959,144,0,275488,17080,4516,2360,1964,4515,2356,1948,96,100,0,500,4664;
@400000005e33dace324979ba #d,-,18,4516,2358,1964,146,0,275845,17102,4516,2360,1964,4515,2357,1951,96,100,0,500,4664;
@400000005e33dad0325a4e06 #d,-,18,4516,2359,1958,147,0,276195,17124,4516,2360,1964,4516,2357,1952,96,100,0,500,4666;
@400000005e33dad032658191 #d,-,18,4516,2358,1963,148,0,276541,17145,4516,2360,1963,4516,2357,1950,96,100,0,500,4664;
@400000005e33dad23276424e #d,-,18,4515,2359,1952,149,0,276882,17166,4516,2360,1964,4515,2357,1949,96,100,0,500,4664;
@400000005e33dad2327f892e #d,-,18,4515,2358,1953,151,0,277218,17187,4515,2361,1961,4515,2358,1948,96,100,0,500,4664;
@400000005e33dad4328f9e8e #d,-,18,4515,2361,1952,152,0,277549,17208,4515,2361,1961,4515,2358,1947,96,100,0,500,4661;
@400000005e33dad43299eb21 #d,-,18,4515,2361,1949,153,0,277876,17228,4515,2361,1959,4515,2358,1949,96,100,0,500,4666;
@400000005e33dad632aa9cf8 #d,-,18,4515,2361,1949,155,0,278199,17248,4515,2361,1962,4515,2359,1948,96,100,0,500,4664;
@400000005e33dad632b477ec #d,-,18,4515,2360,1951,156,0,278518,17268,4515,2361,1967,4515,2358,1949,96,100,0,500,4666;
@400000005e33dad832c44ee7 #d,-,18,4515,2359,1955,157,0,279024,17299,4515,2361,1963,4515,2358,1951,96,100,0,500,4664;
@400000005e33dad832cee5fb #d,-,18,4515,2358,1957,158,0,279332,17318,4515,2361,1965,4515,2358,1949,96,100,0,500,4664;
@400000005e33dada32df8355 #d,-,18,4515,2359,1955,160,0,279450,17325,4515,2360,1963,4515,2358,1947,96,100,0,500,4664;
@400000005e33dada32e9ff67 #d,-,18,4516,2359,1957,161,1,279752,17344,4516,2361,1962,4515,2359,1949,96,100,0,500,4668;
@400000005e33dadc32fb357d #d,-,18,4515,2361,1959,162,1,280051,17363,4516,2361,1962,4515,2358,1949,96,100,0,500,4664;
@400000005e33dadc3305e021 #d,-,18,4516,2360,1961,163,1,280346,17381,4516,2361,1963,4515,2358,1950,96,100,0,500,4668;
@400000005e33dade33165ebf #d,-,18,4517,2361,1955,165,1,280822,17410,4517,2361,1962,4516,2358,1953,96,100,0,500,4671;
@400000005e33dade3320b2c5 #d,-,18,4517,2361,1959,166,1,280925,17417,4517,2361,1961,4517,2358,1951,96,100,0,500,4668;
@400000005e33dae033306ebd #d,-,18,4517,2361,1956,167,1,281210,17435,4517,2361,1962,4517,2359,1949,96,100,0,500,4668;
@400000005e33dae0333a2af5 #d,-,18,4518,2360,1958,168,1,281491,17452,4518,2361,1963,4517,2358,1950,96,100,0,500,4673;
@400000005e33dae23349fd48 #d,-,18,4519,2359,1958,170,1,281769,17469,4519,2361,1963,4518,2358,1954,96,100,0,500,4671;
@400000005e33dae23353e811 #d,-,18,4519,2359,1955,171,1,282042,17486,4519,2361,1964,4519,2358,1952,96,100,0,500,4668;
@400000005e33dae433650f40 #d,-,18,4519,2358,1958,172,1,282314,17503,4519,2360,1961,4519,2358,1952,96,100,0,500,4671;
@400000005e33dae4336faa0f #d,-,18,4519,2359,1954,173,1,282581,17520,4519,2360,1960,4519,2358,1954,96,100,0,500,4668;
@400000005e33dae6338125fe #d,-,18,4520,2360,1957,175,1,282846,17536,4520,2362,1961,4519,2358,1952,96,100,0,500,4668;
@400000005e33dae6338c0794 #d,-,18,4520,2363,1956,176,1,283106,17552,4520,2363,1962,4520,2359,1953,96,100,0,500,4671;
@400000005e33dae8339d12d3 #d,-,18,4520,2361,1954,177,1,283363,17568,4520,2363,1960,4520,2359,1953,96,100,0,500,4671;
@400000005e33dae833a7b515 #d,-,18,4520,2360,1958,178,1,283618,17584,4520,2362,1959,4520,2359,1952,96,100,0,500,4671;
@400000005e33daea33b83c14 #d,-,18,4520,2359,1955,180,1,283868,17599,4520,2361,1961,4520,2359,1953,96,100,0,500,4668;
@400000005e33daea33c2bbe0 #d,-,18,4520,2362,1962,181,1,284116,17615,4520,2362,1963,4520,2359,1949,96,100,0,500,4671;
@400000005e33daec33d326ef #d,-,18,4520,2361,1960,182,1,284359,17630,4520,2362,1962,4520,2359,1951,96,100,0,500,4671;
@400000005e33daec33dd1dd4 #d,-,18,4520,2359,1954,183,1,284599,17645,4520,2361,1964,4520,2358,1953,96,100,0,500,4668;
@400000005e33daee33ec6af8 #d,-,18,4521,2357,1958,185,1,284841,17660,4521,2359,1967,4520,2356,1954,96,100,0,500,4671;
@400000005e33daee33f613a2 #d,-,18,4520,2356,1951,186,1,285076,17674,4521,2358,1968,4520,2356,1951,96,100,0,500,4671;
@400000005e33daf03406aa77 #d,-,18,4521,2356,1960,187,1,285311,17689,4521,2358,1966,4520,2356,1951,96,100,0,500,4671;
@400000005e33daf03410e734 #d,-,18,4521,2356,1958,188,1,285541,17703,4521,2358,1967,4521,2355,1952,96,100,0,500,4668;
@400000005e33daf234219463 #d,-,18,4520,2356,1959,190,1,285770,17717,4521,2358,1967,4520,2356,1953,96,100,0,500,4671;
@400000005e33daf2342c045a #d,-,18,4520,2357,1963,191,1,285997,17731,4520,2358,1966,4520,2356,1952,96,100,0,500,4671;
@400000005e33daf4343d36b7 #d,-,18,4520,2358,1958,192,1,286218,17745,4520,2358,1965,4520,2355,1953,96,100,0,500,4668;
@400000005e33daf43447b683 #d,-,18,4520,2358,1964,193,1,286439,17759,4520,2358,1965,4520,2356,1951,96,100,0,500,4671;
@400000005e33daf634582192 #d,-,18,4520,2357,1962,195,1,286818,17782,4520,2358,1964,4520,2355,1952,96,100,0,500,4668;
@400000005e33daf634623378 #d,-,18,4520,2358,1962,196,1,286870,17785,4520,2358,1965,4520,2355,1954,96,100,0,500,4671;
@400000005e33daf8347248d9 #d,-,18,4520,2357,1963,197,1,287083,17799,4520,2358,1965,4520,2355,1954,96,100,0,500,4668;
