@400000005e1ebc9816ce51c0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1ebc9905203630 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1ebd091070fc2c #d,-,18,3053,2323,1350,89,0,205933,12767,3054,2323,1350,3053,2322,1321,99,100,0,500,3075;
@400000005e1ebd0b108026db #d,-,18,3056,2321,1324,89,0,206055,12775,3056,2323,1355,3053,2321,1314,98,100,0,500,3111;
@400000005e1ebd0b108aa6a7 #d,-,18,3055,2321,1321,90,0,206164,12782,3056,2323,1324,3055,2320,1320,99,100,0,500,3072;
@400000005e1ebd0d10935883 #d,-,18,3054,2321,1321,91,0,206271,12788,3055,2321,1323,3054,2319,1320,99,100,0,500,3073;
@400000005e1ebd0d109c70d1 #d,-,18,3053,2319,1322,92,0,206376,12795,3054,2321,1326,3053,2318,1321,99,100,0,500,3075;
@400000005e1ebd0f10ad460c #d,-,18,3053,2319,1342,93,0,206485,12802,3053,2320,1342,3053,2318,1321,99,100,0,500,3077;
@400000005e1ebd0f10b7c130 #d,-,18,3056,2317,1326,94,0,206777,12820,3056,2319,1358,3053,2316,1316,98,100,0,500,3109;
@400000005e1ebd1110c067e0 #d,-,18,3055,2319,1324,95,0,206877,12826,3056,2319,1327,3055,2315,1322,99,100,0,500,3073;
@400000005e1ebd1110c63467 #d,-,18,3054,2321,1322,95,0,206976,12832,3055,2321,1325,3054,2319,1321,99,100,0,500,3077;
@400000005e1ebd1310d4d275 #d,-,18,3053,2320,1323,96,0,206901,12827,3054,2322,1324,3053,2320,1321,99,100,0,500,3077;
@400000005e1ebd1310dfcf0d #d,-,18,3053,2320,1327,97,0,206999,12833,3053,2321,1327,3053,2318,1322,99,100,0,500,3077;
@400000005e1ebd1510eef248 #d,-,18,3056,2321,1320,98,0,207108,12840,3056,2322,1355,3053,2320,1316,98,100,0,500,3104;
@400000005e1ebd1510f98d17 #d,-,18,3055,2321,1323,99,0,207201,12846,3056,2322,1325,3055,2319,1320,99,100,0,500,3077;
@400000005e1ebd171109e850 #d,-,18,3054,2321,1322,100,0,207290,12852,3055,2322,1324,3054,2320,1319,99,100,0,500,3073;
@400000005e1ebd1711147f65 #d,-,18,3053,2319,1323,100,0,207380,12857,3054,2321,1324,3053,2319,1321,99,100,0,500,3075;
@400000005e1ebd191124b381 #d,-,18,3052,2320,1323,101,0,207468,12863,3053,2321,1325,3052,2319,1321,99,100,0,500,3077;
@400000005e1ebd19112f0c30 #d,-,18,3056,2318,1319,102,0,207571,12869,3056,2320,1358,3052,2317,1315,98,100,0,500,3098;
@400000005e1ebd1b1137ca28 #d,-,18,3055,2320,1325,103,0,207818,12884,3056,2320,1327,3055,2317,1319,99,100,0,500,3082;
@400000005e1ebd1b113e4a6e #d,-,18,3054,2319,1325,104,0,207742,12880,3055,2320,1325,3054,2317,1322,99,100,0,500,3075;
@400000005e1ebd1d114ddf48 #d,-,18,3053,2322,1322,105,0,207824,12885,3054,2323,1326,3053,2319,1320,99,100,0,500,3077;
@400000005e1ebd1d11590a71 #d,-,18,3052,2322,1322,106,0,207905,12890,3053,2324,1323,3052,2322,1320,99,100,0,500,3075;
@400000005e1ebd1f1169e277 #d,-,18,3055,2323,1314,106,0,208000,12896,3055,2323,1354,3052,2321,1314,98,100,0,500,3091;
@400000005e1ebd1f1174d79c #d,-,18,3054,2348,1309,107,0,208077,12900,3055,2348,1323,3054,2322,1299,98,100,0,500,3089;
@400000005e1ebd211180d62e #d,-,18,3053,2346,1308,108,0,208153,12905,3054,2348,1309,3053,2345,1306,99,100,0,500,3072;
@400000005e1ebd21118b4d99 #d,-,18,3052,2348,1307,109,0,208228,12910,3053,2349,1309,3052,2346,1306,99,100,0,500,3073;
@400000005e1ebd2311940b90 #d,-,18,3051,2349,1256,110,0,208437,12923,3052,2350,1308,3051,2346,1256,99,100,0,500,3075;
