@400000005e58c53526373c02 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e58c53614849f79 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e58c5b6204264cf #d,-,18,3257,2371,1439,106,0,216617,13430,3257,2373,1443,3256,2371,1438,94,100,0,500,3464;
@400000005e58c5b8205164a7 #d,-,18,3257,2373,1444,107,0,216753,13438,3257,2373,1445,3257,2371,1439,94,100,0,500,3464;
@400000005e58c5b8205aeda6 #d,-,18,3257,2370,1439,108,0,216886,13446,3257,2373,1444,3257,2370,1438,93,100,0,500,3467;
@400000005e58c5ba2069d635 #d,-,18,3257,2373,1440,108,0,217184,13465,3257,2373,1445,3257,2370,1439,94,100,0,500,3464;
@400000005e58c5ba20731d15 #d,-,18,3257,2373,1442,109,0,217146,13463,3257,2373,1444,3257,2372,1438,93,100,0,500,3467;
@400000005e58c5bc20813a9d #d,-,18,3257,2372,1441,110,0,217273,13470,3257,2373,1443,3257,2371,1439,94,100,0,500,3464;
@400000005e58c5bc208abc28 #d,-,18,3257,2372,1444,111,0,217395,13478,3257,2373,1444,3257,2371,1430,93,100,0,500,3467;
@400000005e58c5be2099d349 #d,-,18,3257,2374,1437,112,0,217516,13486,3257,2374,1445,3257,2371,1433,94,100,0,500,3457;
@400000005e58c5be20a364aa #d,-,18,3256,2373,1439,113,0,217636,13493,3257,2374,1446,3256,2373,1432,93,100,0,500,3464;
@400000005e58c5c020b28f59 #d,-,18,3257,2372,1443,114,0,217756,13500,3257,2374,1445,3256,2371,1438,94,100,0,500,3464;
@400000005e58c5c020bc04c9 #d,-,18,3257,2373,1438,115,0,217875,13508,3257,2373,1446,3257,2371,1438,94,100,0,500,3464;
@400000005e58c5c220cafd2d #d,-,18,3257,2371,1443,116,0,217993,13515,3257,2373,1446,3257,2371,1436,93,100,0,500,3467;
@400000005e58c5c220d48ad5 #d,-,18,3258,2372,1444,117,0,218108,13522,3258,2372,1445,3257,2370,1436,93,100,0,500,3469;
@400000005e58c5c420e3c559 #d,-,18,3257,2373,1447,117,0,218222,13529,3258,2374,1447,3257,2372,1435,94,100,0,500,3464;
@400000005e58c5c420ed0ff2 #d,-,18,3257,2373,1440,118,0,218333,13536,3257,2374,1449,3257,2372,1437,93,100,0,500,3467;
@400000005e58c5c620fb215e #d,-,18,3258,2374,1441,119,0,218596,13552,3258,2374,1446,3257,2372,1435,93,100,0,500,3469;
@400000005e58c5c62104a2ea #d,-,18,3258,2374,1441,120,0,218550,13550,3258,2374,1444,3258,2373,1438,93,100,0,500,3467;
@400000005e58c5c82113645c #d,-,18,3258,2372,1439,121,0,218809,13566,3258,2374,1445,3258,2371,1434,93,100,0,500,3467;
@400000005e58c5c8211cd259 #d,-,18,3258,2373,1447,122,0,218763,13563,3258,2373,1447,3258,2370,1437,94,100,0,500,3464;
@400000005e58c5ca212bc25c #d,-,18,3258,2373,1440,123,0,218866,13569,3258,2374,1447,3258,2373,1439,94,100,0,500,3464;
@400000005e58c5ca21358aaf #d,-,18,3258,2372,1440,124,0,218969,13576,3258,2373,1447,3258,2371,1438,93,100,0,500,3467;
@400000005e58c5cc214486cd #d,-,18,3258,2371,1444,125,0,219070,13582,3258,2373,1446,3258,2371,1434,93,100,0,500,3469;
@400000005e58c5cc214e1386 #d,-,18,3258,2373,1441,126,0,219171,13588,3258,2374,1447,3258,2371,1438,93,100,0,500,3467;
@400000005e58c5ce215d3308 #d,-,18,3258,2371,1443,127,0,219271,13594,3258,2374,1446,3258,2371,1439,93,100,0,500,3469;
@400000005e58c5ce2166762e #d,-,18,3259,2372,1442,127,0,219369,13600,3259,2373,1446,3258,2371,1438,93,100,0,500,3472;
@400000005e58c5d021756630 #d,-,18,3259,2372,1447,128,0,219467,13606,3259,2372,1447,3259,2371,1439,94,100,0,500,3467;
@400000005e58c5d0217ee7bc #d,-,18,3259,2371,1440,129,0,219561,13612,3259,2372,1447,3259,2371,1438,93,100,0,500,3469;
@400000005e58c5d2218d3b49 #d,-,18,3259,2370,1445,130,0,219656,13618,3259,2371,1446,3259,2369,1438,94,100,0,500,3467;
@400000005e58c5d22196a58c #d,-,18,3260,2367,1442,131,0,219750,13624,3260,2371,1447,3259,2367,1439,94,100,0,500,3464;
@400000005e58c5d421a591d5 #d,-,18,3260,2369,1443,132,0,219842,13630,3260,2369,1447,3260,2367,1440,94,100,0,500,3467;
@400000005e58c5d421af7d8c #d,-,18,3260,2370,1447,133,0,219933,13635,3260,2371,1448,3260,2369,1439,94,100,0,500,3464;
@400000005e58c5d621be0f7f #d,-,18,3259,2368,1440,134,0,220020,13641,3260,2371,1449,3259,2368,1435,93,100,0,500,3469;
@400000005e58c5d621c7b0b5 #d,-,18,3260,2369,1445,135,0,220110,13646,3260,2369,1447,3259,2368,1439,94,100,0,500,3464;
@400000005e58c5d821d6df1d #d,-,18,3259,2369,1445,136,0,220196,13652,3260,2370,1446,3259,2368,1440,94,100,0,500,3467;
@400000005e58c5d821e05936 #d,-,18,3260,2368,1441,136,0,220281,13657,3260,2369,1447,3259,2367,1440,94,100,0,500,3467;
@400000005e58c5da21ee7216 #d,-,18,3260,2367,1444,137,0,220502,13671,3260,2368,1448,3260,2367,1438,94,100,0,500,3464;
@400000005e58c5da21f80377 #d,-,18,3259,2369,1439,138,0,220450,13667,3260,2369,1447,3259,2367,1439,94,100,0,500,3464;
@400000005e58c5dc2206ff95 #d,-,18,3259,2368,1447,139,0,220534,13673,3259,2369,1447,3259,2367,1439,94,100,0,500,3464;
@400000005e58c5dc22106d92 #d,-,18,3260,2369,1445,140,0,220615,13678,3260,2369,1447,3259,2367,1438,94,100,0,500,3467;
@400000005e58c5de221f5d94 #d,-,18,3260,2369,1446,141,0,220697,13683,3260,2370,1446,3260,2368,1439,94,100,0,500,3464;
@400000005e58c5de222929a2 #d,-,18,3259,2370,1442,142,0,220775,13688,3260,2370,1447,3259,2369,1436,94,100,0,500,3467;
@400000005e58c5e02237a44c #d,-,18,3259,2371,1443,143,0,220855,13693,3259,2372,1447,3259,2370,1441,93,100,0,500,3469;
@400000005e58c5e0224135ad #d,-,18,3260,2370,1445,144,0,220934,13697,3260,2372,1447,3259,2370,1441,93,100,0,500,3469;
