@400000005e786b431b8d600a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e786b4409ea34f7 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786bb4152fa138 #d,-,18,2822,2368,1220,82,0,193310,11985,3471,2368,1341,2822,2367,1220,91,99,0,500,3088;
@400000005e786bb41538d489 #d,-,18,2649,2365,1594,83,0,193425,11992,2822,2368,1607,2649,2365,1147,90,99,0,500,2936;
@400000005e786bb61545d515 #d,-,18,3254,2365,1565,84,0,193940,12024,3254,2366,1606,2649,2365,1454,96,99,0,500,3384;
@400000005e786bb6154c9eee #d,-,18,3557,2367,1365,85,0,194215,12041,3557,2368,1574,3254,2365,1184,94,99,0,500,3758;
@400000005e786bb8155ab503 #d,-,18,2832,2365,1233,86,0,194431,12054,3557,2367,1365,2832,2364,1231,90,99,0,500,3128;
@400000005e786bb815642300 #d,-,18,2671,2365,1076,86,0,194284,12045,2832,2366,1233,2671,2365,1071,90,99,0,500,2955;
@400000005e786bba15715990 #d,-,18,2411,2365,1127,87,0,194116,12035,2671,2366,1143,2411,2365,1076,88,99,0,500,2711;
@400000005e786bba1579c94d #d,-,18,2413,2365,1127,88,0,193782,12014,2413,2365,1131,2411,2365,1126,88,99,0,500,2713;
@400000005e786bbc15866455 #d,-,18,2415,2364,1127,88,0,193618,12004,2415,2365,1130,2413,2364,1126,89,99,0,500,2713;
@400000005e786bbc158f1e93 #d,-,18,2416,2365,1128,89,0,193457,11994,2416,2365,1130,2415,2364,1123,89,99,0,500,2713;
@400000005e786bbe159c1a77 #d,-,18,2418,2365,1125,90,0,193458,11994,2418,2365,1129,2416,2365,1124,89,99,0,500,2711;
@400000005e786bbe15a48b22 #d,-,18,2419,2365,1130,90,0,193142,11974,2419,2366,1131,2418,2365,1122,89,99,0,500,2713;
@400000005e786bc015b1834c #d,-,18,2420,2365,1126,91,0,192988,11965,2420,2366,1134,2419,2364,1123,89,99,0,500,2711;
@400000005e786bc015ba0b40 #d,-,18,2421,2365,1127,92,0,192993,11965,2421,2365,1131,2420,2364,1124,89,99,0,500,2711;
@400000005e786bc215c6d893 #d,-,18,2422,2362,1124,92,0,192841,11956,2422,2365,1130,2421,2362,1122,89,99,0,500,2708;
@400000005e786bc215cf9a44 #d,-,18,2422,2366,1126,93,0,192691,11946,2422,2366,1129,2422,2362,1123,89,99,0,500,2711;
@400000005e786bc415dc829a #d,-,18,2423,2365,1126,94,0,192392,11928,2423,2366,1130,2422,2365,1125,89,99,0,500,2708;
@400000005e786bc415e4ef8b #d,-,18,2423,2364,1128,94,0,192248,11919,2423,2366,1131,2423,2364,1125,89,99,0,500,2711;
@400000005e786bc615f1a0ed #d,-,18,2423,2365,1126,95,0,192106,11910,2423,2367,1129,2423,2364,1124,89,99,0,500,2711;
@400000005e786bc615fa53b8 #d,-,18,2423,2364,1123,96,0,192112,11911,2423,2366,1130,2423,2364,1122,89,99,0,500,2704;
@400000005e786bc816076f46 #d,-,18,2423,2364,1126,96,0,191974,11902,2423,2367,1130,2423,2364,1123,89,99,0,500,2708;
@400000005e786bc8160fdb49 #d,-,18,2423,2362,1129,97,0,191691,11884,2423,2365,1129,2423,2362,1121,89,99,0,500,2704;
@400000005e786bca161ccc00 #d,-,18,2423,2364,1127,98,0,191556,11876,2423,2364,1131,2423,2361,1121,89,99,0,500,2706;
