@400000005e82e9d71d1d1fa0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e82e9d80b714ecc #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e82ea32150856f0 #d,-,18,2726,2369,1153,66,0,195713,12134,2729,2370,1156,2726,2367,1147,99,100,0,500,2749;
@400000005e82ea3215128ff4 #d,-,18,2723,2369,1153,67,0,195691,12132,2726,2370,1154,2723,2366,1152,99,100,0,500,2737;
@400000005e82ea3415219af9 #d,-,18,2721,2370,1153,68,0,195672,12131,2723,2370,1154,2721,2367,1153,99,100,0,500,2739;
@400000005e82ea34152ca766 #d,-,18,2719,2370,1154,68,0,195652,12130,2721,2371,1154,2719,2367,1153,99,100,0,500,2739;
@400000005e82ea36153cb90d #d,-,18,2718,2368,1149,69,0,195654,12130,2719,2370,1182,2718,2367,1149,98,100,0,500,2746;
@400000005e82ea36154710cd #d,-,18,2718,2368,1153,70,0,195633,12129,2718,2370,1156,2718,2367,1147,98,100,0,500,2757;
@400000005e82ea38155601be #d,-,18,2717,2368,1154,71,0,195823,12141,2718,2370,1155,2717,2367,1152,99,100,0,500,2739;
@400000005e82ea3815602aed #d,-,18,2715,2367,1153,71,0,195596,12127,2717,2369,1154,2715,2367,1152,99,100,0,500,2737;
@400000005e82ea3a15706b25 #d,-,18,2714,2367,1154,72,0,195578,12125,2715,2370,1154,2714,2367,1153,99,100,0,500,2739;
@400000005e82ea3a157aded5 #d,-,18,2713,2367,1159,73,0,195581,12126,2714,2369,1182,2713,2367,1153,98,100,0,500,2741;
@400000005e82ea3c158a504c #d,-,18,2714,2366,1153,74,0,195759,12137,2714,2369,1159,2713,2366,1147,98,100,0,500,2760;
@400000005e82ea3c1594cf2a #d,-,18,2713,2366,1154,74,0,195738,12135,2714,2369,1154,2713,2365,1151,99,100,0,500,2737;
@400000005e82ea3e15a211d6 #d,-,18,2712,2366,1154,75,0,195524,12122,2713,2368,1155,2712,2366,1153,99,100,0,500,2737;
