@400000005e22b5b51b12d0b6 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e22b5b609667e6e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b60e137ad8c5 #d,-,18,3248,2363,1448,69,0,206237,12786,3248,2363,1449,3247,2361,1420,93,100,0,500,3457;
@400000005e22b610138a3e20 #d,-,18,3247,2362,1435,70,0,206544,12805,3248,2363,1448,3247,2362,1435,94,100,0,500,3445;
@400000005e22b610139394d5 #d,-,18,3245,2361,1454,71,0,206838,12823,3247,2363,1474,3245,2361,1386,94,100,0,500,3429;
@400000005e22b61213a269d5 #d,-,18,3247,2361,1464,72,0,207138,12842,3247,2361,1465,3245,2360,1422,93,100,0,500,3469;
@400000005e22b61213ac0a1d #d,-,18,3250,2360,1437,73,0,207443,12861,3250,2361,1464,3247,2360,1437,93,100,0,500,3462;
@400000005e22b61413bad037 #d,-,18,3253,2362,1455,74,0,207742,12880,3253,2362,1467,3250,2360,1431,93,100,0,500,3474;
@400000005e22b61413c3e797 #d,-,18,3252,2362,1455,74,0,208015,12896,3253,2362,1469,3252,2361,1415,94,100,0,500,3455;
@400000005e22b61613d2a195 #d,-,18,3256,2360,1444,75,0,208303,12914,3256,2362,1460,3252,2359,1443,93,100,0,500,3474;
@400000005e22b61613dbd4e6 #d,-,18,3259,2360,1457,76,0,208812,12946,3259,2361,1464,3256,2359,1444,93,100,0,500,3479;
@400000005e22b61813ea6f3a #d,-,18,3261,2362,1448,77,0,208870,12949,3261,2362,1460,3259,2360,1438,93,100,0,500,3472;
@400000005e22b61813f3a644 #d,-,18,3263,2361,1454,78,0,209354,12979,3263,2362,1455,3261,2361,1444,93,100,0,500,3476;
@400000005e22b61a14029ea9 #d,-,18,3265,2361,1455,79,0,209405,12983,3265,2362,1459,3263,2361,1451,93,100,0,500,3474;
@400000005e22b61a140bca86 #d,-,18,3265,2359,1452,80,0,209873,13012,3265,2362,1457,3265,2359,1443,94,100,0,500,3472;
@400000005e22b61c1419d839 #d,-,18,3267,2358,1460,81,0,209916,13014,3267,2360,1460,3265,2358,1442,93,100,0,500,3476;
@400000005e22b61c1423699a #d,-,18,3268,2360,1444,82,0,210162,13030,3268,2361,1460,3267,2358,1444,94,100,0,500,3472;
@400000005e22b61e1432a32f #d,-,18,3268,2361,1453,83,0,210406,13045,3268,2361,1458,3268,2360,1444,94,100,0,500,3476;
@400000005e22b61e143c2963 #d,-,18,3268,2360,1449,84,0,210642,13059,3268,2361,1461,3268,2359,1440,94,100,0,500,3469;
@400000005e22b620144b6b5b #d,-,18,3269,2359,1448,84,0,211073,13086,3269,2360,1457,3268,2359,1441,94,100,0,500,3474;
@400000005e22b62014551b78 #d,-,18,3269,2360,1457,85,0,211303,13100,3269,2360,1462,3269,2358,1445,94,100,0,500,3472;
@400000005e22b62214641022 #d,-,18,3269,2360,1457,86,0,211330,13102,3269,2360,1470,3269,2359,1437,94,100,0,500,3464;
@400000005e22b622146ce1a9 #d,-,18,3272,2360,1461,87,0,211752,13128,3272,2361,1461,3269,2360,1447,93,100,0,500,3490;
@400000005e22b624147bcdf2 #d,-,18,3272,2360,1450,88,0,211776,13130,3272,2361,1461,3272,2360,1449,94,100,0,500,3476;
@400000005e22b6241484bf23 #d,-,18,3273,2360,1458,89,0,211993,13143,3273,2361,1461,3272,2360,1444,94,100,0,500,3476;
@400000005e22b626149339cd #d,-,18,3274,2360,1456,90,0,212399,13168,3274,2361,1459,3273,2360,1449,93,100,0,500,3483;
@400000005e22b626149c98e3 #d,-,18,3275,2363,1449,91,0,212606,13181,3275,2363,1458,3274,2359,1449,94,100,0,500,3476;
@400000005e22b62814aba02e #d,-,18,3276,2363,1460,92,0,212624,13182,3276,2363,1460,3275,2362,1448,94,100,0,500,3479;
@400000005e22b62814b502fe #d,-,18,3276,2363,1451,93,0,212825,13195,3276,2364,1460,3276,2362,1446,94,100,0,500,3479;
@400000005e22b62a14c36660 #d,-,18,3277,2363,1461,94,0,213213,13219,3277,2364,1461,3276,2363,1447,94,100,0,500,3483;
@400000005e22b62a14ccf7c0 #d,-,18,3278,2363,1455,95,0,213409,13231,3278,2364,1461,3277,2363,1449,94,100,0,500,3483;
@400000005e22b62c14db8d6d #d,-,18,3279,2361,1455,95,0,213418,13231,3279,2363,1460,3278,2360,1450,94,100,0,500,3483;
@400000005e22b62c14e49e48 #d,-,18,3279,2360,1457,96,0,213786,13254,3279,2361,1458,3279,2360,1439,94,100,0,500,3481;
@400000005e22b62e14f3303a #d,-,18,3279,2359,1446,97,0,213968,13266,3279,2361,1458,3279,2359,1446,94,100,0,500,3474;
@400000005e22b62e14fcf11a #d,-,18,3279,2362,1461,98,0,214154,13277,3279,2362,1465,3279,2358,1445,94,100,0,500,3481;
@400000005e22b630150bcd8e #d,-,18,3279,2361,1445,99,0,214147,13277,3279,2362,1461,3279,2361,1441,94,100,0,500,3483;
@400000005e22b63015153b8b #d,-,18,3279,2359,1451,100,0,214322,13287,3279,2361,1459,3279,2359,1445,94,100,0,500,3474;
@400000005e22b632152427d4 #d,-,18,3279,2359,1459,101,0,214498,13298,3279,2360,1460,3279,2358,1451,94,100,0,500,3479;
@400000005e22b632152d6afa #d,-,18,3278,2360,1450,102,0,214666,13309,3279,2361,1462,3278,2359,1446,94,100,0,500,3479;
@400000005e22b634153ca57e #d,-,18,3279,2359,1465,102,0,214831,13319,3279,2360,1465,3278,2358,1441,94,100,0,500,3481;
@400000005e22b63415458e4d #d,-,18,3278,2359,1451,103,0,214997,13329,3279,2359,1465,3278,2358,1451,94,100,0,500,3474;
@400000005e22b6361554adcf #d,-,18,3279,2360,1461,104,0,215162,13340,3279,2360,1466,3278,2358,1442,94,100,0,500,3479;
@400000005e22b636155dd14b #d,-,18,3280,2360,1460,105,0,215326,13350,3280,2360,1465,3279,2359,1451,94,100,0,500,3488;
@400000005e22b638156c509d #d,-,18,3281,2359,1449,106,0,215486,13360,3281,2361,1463,3280,2358,1449,94,100,0,500,3486;
@400000005e22b6381575e971 #d,-,18,3282,2358,1459,107,0,215644,13369,3282,2359,1463,3281,2357,1449,94,100,0,500,3481;
@400000005e22b63a1584dd2d #d,-,18,3281,2358,1453,108,0,215797,13379,3282,2359,1462,3281,2358,1446,94,100,0,500,3479;
@400000005e22b63a158dde33 #d,-,18,3282,2359,1460,109,0,215950,13388,3282,2360,1461,3281,2358,1452,94,100,0,500,3486;
@400000005e22b63c159c613f #d,-,18,3283,2359,1456,110,0,216102,13398,3283,2360,1462,3282,2359,1454,94,100,0,500,3483;
@400000005e22b63c15a5798d #d,-,18,3282,2357,1460,111,0,216250,13407,3283,2359,1462,3282,2357,1443,94,100,0,500,3479;
@400000005e22b63e15b42b2a #d,-,18,3283,2357,1464,112,0,216556,13426,3283,2358,1464,3282,2356,1446,94,100,0,500,3483;
@400000005e22b63e15bd69a8 #d,-,18,3283,2359,1450,113,0,216538,13425,3283,2359,1466,3283,2357,1450,94,100,0,500,3483;
@400000005e22b64015cc6e27 #d,-,18,3284,2355,1460,113,0,216682,13434,3284,2359,1462,3283,2355,1447,94,100,0,500,3479;
@400000005e22b64015d59916 #d,-,18,3284,2357,1458,114,0,216821,13442,3284,2357,1464,3284,2355,1451,94,100,0,500,3481;
@400000005e22b64215e3ca2d #d,-,18,3285,2360,1459,115,0,217121,13461,3285,2360,1465,3284,2356,1453,94,100,0,500,3490;
@400000005e22b64215edd85a #d,-,18,3286,2360,1458,116,0,217101,13460,3286,2360,1461,3285,2359,1456,94,100,0,500,3486;
@400000005e22b64415fd1698 #d,-,18,3286,2359,1459,117,0,217235,13468,3286,2360,1461,3286,2358,1452,94,100,0,500,3483;
@400000005e22b644160632a0 #d,-,18,3286,2359,1463,118,0,217371,13477,3286,2360,1463,3286,2358,1455,94,100,0,500,3486;
@400000005e22b6461614a5d7 #d,-,18,3286,2360,1452,119,0,217501,13485,3286,2360,1464,3286,2358,1452,94,100,0,500,3488;
@400000005e22b646161e71e4 #d,-,18,3287,2361,1460,120,0,217631,13493,3287,2361,1460,3286,2360,1451,94,100,0,500,3483;
@400000005e22b648162d5e2d #d,-,18,3286,2364,1454,121,0,217758,13501,3287,2364,1462,3286,2361,1451,94,100,0,500,3481;
@400000005e22b648163666a6 #d,-,18,3287,2364,1451,122,0,217884,13508,3287,2364,1461,3286,2364,1451,94,100,0,500,3490;
@400000005e22b64a16454b7c #d,-,18,3287,2363,1457,123,0,218009,13516,3287,2364,1462,3287,2363,1448,94,100,0,500,3483;
@400000005e22b64a164e63ca #d,-,18,3286,2363,1456,123,0,218129,13524,3287,2363,1461,3286,2362,1450,94,100,0,500,3486;
@400000005e22b64c165d43f8 #d,-,18,3287,2363,1461,124,0,218249,13531,3287,2363,1461,3286,2362,1451,94,100,0,500,3486;
@400000005e22b64c1666b1f5 #d,-,18,3286,2362,1452,125,0,218366,13538,3287,2363,1462,3286,2362,1452,94,100,0,500,3486;
@400000005e22b64e1675e8bf #d,-,18,3286,2364,1459,126,0,218483,13545,3286,2364,1462,3286,2362,1451,94,100,0,500,3486;
@400000005e22b64e167f5e30 #d,-,18,3286,2364,1455,127,0,218598,13553,3286,2365,1459,3286,2364,1451,94,100,0,500,3486;
@400000005e22b650168de8af #d,-,18,3286,2364,1453,128,0,218711,13560,3286,2365,1459,3286,2364,1452,94,100,0,500,3483;
@400000005e22b650169762c7 #d,-,18,3286,2364,1457,129,0,218824,13567,3286,2365,1461,3286,2364,1449,94,100,0,500,3483;
@400000005e22b65216a64b56 #d,-,18,3285,2363,1455,130,0,219075,13582,3286,2364,1459,3285,2363,1451,94,100,0,500,3483;
@400000005e22b65216af578a #d,-,18,3285,2364,1460,131,0,219184,13589,3285,2364,1462,3285,2363,1451,94,100,0,500,3486;
@400000005e22b65416be01b3 #d,-,18,3286,2364,1454,132,0,219155,13587,3286,2364,1463,3285,2363,1454,94,100,0,500,3493;
@400000005e22b65416c728e8 #d,-,18,3287,2363,1458,133,0,219263,13594,3287,2364,1459,3286,2363,1450,94,100,0,500,3488;
@400000005e22b65616d62d68 #d,-,18,3287,2361,1456,134,0,219367,13600,3287,2364,1458,3287,2361,1451,94,100,0,500,3483;
@400000005e22b65616dfa2d8 #d,-,18,3287,2362,1457,134,0,219475,13607,3287,2362,1462,3287,2361,1456,94,100,0,500,3486;
@400000005e22b65816ee5cd7 #d,-,18,3288,2361,1459,135,0,219579,13613,3288,2362,1460,3287,2361,1452,94,100,0,500,3490;
@400000005e22b65816f79b54 #d,-,18,3287,2364,1455,136,0,219680,13620,3288,2364,1460,3287,2361,1450,94,100,0,500,3483;
