@400000005e7476fa17cf8199 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7476fb062be8a1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e74779f1315e0d8 #d,-,18,2438,2360,1136,115,0,185167,11480,2438,2361,1136,2438,2359,1132,89,100,0,500,2720;
@400000005e74779f131f9d10 #d,-,18,2438,2357,1630,116,0,185263,11486,2438,2360,1630,2438,2356,1132,89,100,0,500,2720;
@400000005e7477a11327d6c8 #d,-,18,3248,2357,1161,117,0,185474,11499,3248,2358,1630,2438,2357,1134,96,100,0,500,3370;
@400000005e7477a1132c20d0 #d,-,18,2755,2359,1212,118,0,185639,11509,3248,2360,1274,2755,2357,1161,89,100,0,500,3085;
@400000005e7477a3133a9b7a #d,-,18,2669,2358,1170,119,0,185536,11503,2755,2359,1221,2669,2357,1154,91,100,0,500,2922;
@400000005e7477a31344d837 #d,-,18,2545,2361,1140,119,0,185496,11500,2669,2362,1175,2545,2357,1134,90,100,0,500,2825;
@400000005e7477a513522e72 #d,-,18,2539,2357,1546,120,0,185771,11517,2545,2361,1799,2539,2355,1140,92,100,0,500,2753;
@400000005e7477a51356e570 #d,-,18,3487,2358,1228,121,0,185905,11526,3487,2361,1653,2539,2357,1091,93,100,0,500,3737;
@400000005e7477a71366f717 #d,-,18,2693,2361,1215,122,0,185932,11527,3487,2362,1228,2693,2358,1202,92,100,0,500,2926;
@400000005e7477a71371959f #d,-,18,2599,2361,1154,122,0,185902,11525,2693,2362,1215,2599,2360,1154,90,100,0,500,2872;
@400000005e7477a9137f6c5f #d,-,18,2483,2358,1454,123,0,186006,11532,2599,2363,1454,2483,2358,1129,89,100,0,500,2765;
@400000005e7477a913874cb0 #d,-,18,3140,2363,1058,124,0,186293,11550,3140,2364,1737,2483,2357,1056,95,100,0,500,3294;
@400000005e7477ab1392d9a3 #d,-,18,2888,2363,1216,125,0,186242,11547,3140,2363,1325,2888,2360,1058,90,100,0,500,3199;
@400000005e7477ab1396d929 #d,-,18,2665,2361,1168,126,0,186248,11547,2888,2363,1224,2665,2361,1161,90,100,0,500,2929;
